Block Lot,Address,Planning Neighborhood,Best Stat,Best Date,Units,Units Net,Planning Project Description,DBI Project Description,Zoning_Generalized,Zoning_Simplified,newtaz,Total GSF (Commercial),MIPS,CIE,MED,PDR,RET,VISIT,Net GSF (Commercial),CIENET,MEDNET,MIPSNET,PDRNET,RETNET,VISITNET,CASENO,BPAPPLNO,Planning Filed,DBI Filed,HEIGHTLIMIT,ZONING,FirstFiled,Longitude,Latitude,AFFORDABLE,AFFORDABLENET
6611014,538 VALLEY ST,Central,BP Filed,12/19/07,1,1,,ERECT A NEW 3 STORY ONE FAMILY DWELLING UNIT WITH BASEMENT,Residential,RH-1,461,0,,,,,,,0,,,,,,,,200712190876,,12/19/07,40-X,RH-1,19-Dec-07,-122.43408,37.744223,,
165022,717 BATTERY ST,Northeast,BP Filed,12/1/08,0,0,"Two story penthouse addition to three-story office building, for office use, new three-story bldg of 9,000-gsf office over retail; 24,870-sf additions to historic Musto Bldg.","ALTERNATION TO EXISTING BUILD, NEW 2 STORY VERTICAL ADDITION ON THE EXISTING BUILD, 3 STORY HORIZONT",Commercial,C-2,826,"59,700","56,700",,,,"3,000",,"27,870",,,"24,870",,"3,000",,2007.146,200812017534,12/20/07,12/1/08,65-A,C-2,20-Dec-07,-122.401084,37.797868,,
956004,2531 BAKER ST,Marina,BP Filed,12/20/07,1,-1,,"ADDITIONAL DEMOLITION DO TO STRUCTURAL DEFICIENCES, DRY ROT/PEST INFESTATION OF (E) 2ND FLOOR FRAMIN",Residential,RH-1(D),796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,200712201012,,12/20/07,40-X,RH-1,20-Dec-07,-122.445263,37.794268,,
6549021,168 CLIPPER ST,Central,BP Filed,12/20/07,2,1,The proposal is to demolish the existing single-family dwelling and construct a two-family dwelling.  Mandatory Discretionary Review under the Planning Commission's policy requiring review of residential demolition and associated new construction.,ERECT A NEW 3 STORY 2 FAMILY DWELLING UNITS.,Residential,RH-2,127,0,,,,,,,0,,,,,,,2008.0278,200712201032,3/4/08,12/20/07,40-X,RH-2,20-Dec-07,-122.428656,37.749346,,
6655030,176 RANDALL ST,Central,BP Filed,12/26/07,2,1,"Demo existing 1,410 sqft, 22-feet in height single-family residence with one parking space and replace with a 4,986 sqft, 35-feet in height 2-unit building with 4 parking spaces.","ERECT A NEW 3 STORIES 2 FAMILY DWELLING, OVER BASEMENT.",Residential,RH-2,104,0,,,,,,,0,,,,,,,2008.0069,200712261296,1/16/08,12/26/07,40-X,RH-2,26-Dec-07,-122.427176,37.739847,,
133012,414 VALLEJO ST,Northeast,BP Filed,12/28/07,3,1,RELOCATION AND UPGRADE OF EGRESS STAIRS IN REAR YARD.  UPGRADE HOUSE KEEPING UNIT INTO 3RD DWELLING UNIT,"Seismic reinforcement front and rear, partial relocation of (e) interior stairway. Construction of (",Residential,RH-3,372,0,,,,,,,0,,,,,,,2008.0221,200712281517,2/25/08,12/28/07,40-X,RH-3,28-Dec-07,-122.404869,37.799224,,
4093007,838 KANSAS ST,Showpl/Potrero,BP Filed,5/23/08,2,1,"Existing 11-foot residential building with 1,250 sqft with off-street parking. Proposed 40-foot 4,700 sqft 2-unit resdential building with 2 off-street parking spaces.",ERECT A 4 STORIES 2 FAMILY DWELLING.,Residential,RH-2,606,0,,,,,,,0,,,,,,,2007.1484,200805232798,12/31/07,5/23/08,40-X,RH-2,31-Dec-07,-122.40316,37.758981,,
3736114,525 HOWARD ST,TB Combo,BP Filed,9/8/08,0,0,"309/321 - Modification to previous approval (98.902X) of Foundry Square Building 3. Previous approval would allow the construction of 178,000 gsf office and 7,400 gsf of retail, with a height of 144'. Proposed modification would incorporate adjacent parce",DEMOLITION OF 1 STORY BUILDING (NIGHT CLUB).,Commercial,C-3-O(SD),730,"262,018","252,500",,,,"9,518",,"251,788",0,0,"252,500","-10,230","9,518",0,2008.0001,200809080946,1/2/08,9/8/08,200-S/350-S,C-3-O(SD),2-Jan-08,-122.396586,37.78793,,
2822022,23 MIDCREST WY,Inner Sunset,BP Filed,1/9/08,1,1,,CONSTRUCT THREE-STORY SINGLE FAMILY DWELLING.,Residential,RH-1,154,0,,,,,,,0,,,,,,,,200801092182,,1/9/08,,RH-1,9-Jan-08,-122.449781,37.747356,,
2716013,86 STANTON ST,Central,BP Filed,6/20/08,1,1,"Construction of 3,081 sqft, 25'-11"" in height single-family residence with existing secondary structure. Parking provided on adjacent lot per ZA's letter of determination.",CONSTRUCTION OF A NEW THREE-STORY WOOD FRAME NON-RATED SINGLE FAMILY DWELLING AT FRONT PORTION.,Residential,RH-1(S),178,0,,,,,,,0,,,,,,,2008.004,200806204941,1/10/08,6/20/08,,RH-1(S),10-Jan-08,-122.4422,37.75695,,
491020,3342 STEINER ST,Marina,BP Filed,1/17/08,1,1,,Interior remodel of (E) second floor. Convert (E) office use to residential (1 unit).,Mixed Use,NC-2,815,0,,,,,,,0,,,,,,,,200801172733,,1/17/08,,NC-2,17-Jan-08,-122.4376,37.800086,,
2923078,112 KENSINGTON WY,Inner Sunset,BP Filed,1/23/08,1,1,,ERECT A NEW 3 STORY SINGLE FAMILY DWELLING.,Residential,RH-1(D),118,0,,,,,,,0,,,,,,,,200801233118,,1/23/08,,RH-1(D),23-Jan-08,-122.45995,37.741392,,
1802010A,1373 47TH AV,Outer Sunset,BP Filed,1/25/08,2,1,,"Multiple Permits.
 	ERECT A FOUR-STORY TWO UNITS RESIDENTIAL BUILDING.
 	DEMOLITION OF ONE-STORY SINGLE FAMILY DWELLING.",Residential,RH-2,206,0,,,,,,,0,,,,,,,,200801253322,,1/25/08,,RH-2,25-Jan-08,-122.507227,37.760955,,
1802011,1379 47TH AV,Outer Sunset,BP Filed,2/4/08,2,1,,"TO ERECT 4 STORY, 2 DWELLING UNITS NEW BLDG",Residential,RH-2,206,0,,,,,,,0,,,,,,,,200802043968,,2/4/08,,RH-2,4-Feb-08,-122.507221,37.760866,,
807022,543 GROVE ST,Market Octavia,BP Filed,2/26/08,3,-3,"Construction of a new approx. 5,555 sq. ft., 4-story-over-basement, 40' tall, 3-unit residential building on vacant lot, w/ three off-street parking spaces.",ERECT 4 STORIES 3 DWELLING UNITS,Residential,RTO,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006.1224,200802265608,,2/26/08,50-X,RTO,26-Feb-08,-122.42551,37.777394,,
5524045,3301 FOLSOM ST,Bernal Heights,BP Filed,3/6/08,2,1,,ADD ONE ADDITIONAL UNIT ON 1ST FLOOR AND BASEMENT. NO EXTERIOR EXPANSION,Residential,RH-2,454,0,,,,,,,0,,,,,,,,200803066478,,3/6/08,,RH-2,6-Mar-08,-122.413265,37.745062,,
1534026,474 11TH AV,Richmond,BP Filed,3/10/08,2,1,Horizontal and Vertical (2 stories) addition and creation of a second unit.  ,CONVERT SINGLE FAMILY DWELLING TO 2 UNITS BY HORIZONTAL EXTENSION IN FRONT AND REAR AND 2 FLOOR VERT,Residential,RH-2,284,0,,,,,,,0,,,,,,,2008.1151,200803106731,,3/10/08,,RH-2,10-Mar-08,-122.469374,37.77942,,
4224035,1047 TEXAS ST,Showpl/Potrero,BP Filed,3/12/08,3,3,"Vacant lot. Proposed 38'-6"" 4-story over basement with 3 residential units at 5,145 sqft.",ERECT A NEW 4 STORIES (1 STORY OVER GARAGE) 3 FAMILY DWELLING UNITS,Residential,RH-3,519,0,,,,,,,0,,,,,,,2008.0665,200803126893,6/5/08,3/12/08,,RH-3,12-Mar-08,-122.394507,37.753082,,
540017,2948 FILLMORE ST,Marina,BP Filed,7/28/08,3,1,"Existing 2-unit, 2,000 sqft, 30-foot in height residential building with 2 parking spaces. Proposed 3-unit, 4,500 sqft, 40-foot in height residnetial building with 6 parking spaces.",TO ERECT 3 DWELLING UNITS WITH 4 STORY NEW BLDG,Residential,RH-3,359,0,,,,,,,0,,,,,,,2008.0322,200807287807,3/17/08,7/28/08,,RH-3,17-Mar-08,-122.43522,37.796645,,
3757045,44 MCLEA CT,WSoMa,BP Filed,3/26/08,0,0,,VERTICAL ADDITION OF 3RD FLOOR OFFICE SPACE AND MEZZANINE AND INTERIOR RENOVATION TO INCLUDE RESTROO,Industrial,SLI,599,"6,075","6,075",,,,,,"2,025",,,"2,025",,,,,200803268024,,3/26/08,,SLI,26-Mar-08,-122.408823,37.772121,,
2719B003,125 CROWN TR,Central,BP Filed,3/27/08,1,1,Mnadatory DR for demo/new construction,NEW SINGLE FAMILY RESIDENCE,Residential,RM-1,177,0,,,,,,,0,,,,,,,2008.116,200803278181,,3/27/08,,RH-1,27-Mar-08,-122.446899,37.757425,,
2630018,1169 STANYAN ST,Inner Sunset,BP Filed,3/28/08,2,2,,"New construction of two residential units, 3 STORIES.",Residential,RH-2,546,0,,,,,,,0,,,,,,,,200803288288,,3/28/08,,RH-2,28-Mar-08,-122.452286,37.762717,,
6727016,564 CHENERY ST,Central,BP Filed,4/2/08,2,1,3-story fron addition to existing 2-story residnetial house.,3RD STORY NEW ADDITION TO BE CONSTRUCTED & ATTACHED TO THE FRONT OF (E) BLDG.,Residential,RH-2,403,0,,,,,,,0,,,,,,,2009.0069,200804028581,,4/2/08,,RH-2,2-Apr-08,-122.431482,37.734904,,
1462006,439 30TH AV,Richmond,BP Filed,4/3/08,2,1,,TO CONVERT SINGLE FAMILY DWELLING INTO A 2 UNITS RESIDENTIAL WITH BOTH VERTICAL & HORIZONTAL EXTENSI,Residential,RH-2,660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,200804038657,,4/3/08,40-X,RH-2,3-Apr-08,-122.490327,37.780995,,
3722008,140 NEW MONTGOMERY ST,TB Combo,BP Filed,4/8/08,118,118,Section 309 Review and Request for one exception (freight loading). A variance from Section 155 is also required as the project sponsor proposes a porte cochere at the Natoma Street frontage. The project would convert the existing building from office to ,"CONVERSION OF HISTORIC OFFICE BUILDING TO RESIDENTIAL (118 UNITS), SITE PERMIT TO REMODEL ALL FLOORS",Commercial,C-3-O,743,0,,,,,,,"-365,778",0,0,"-365,778",0,0,0,2007.1337,200804089139,,4/8/08,,C-3-O,8-Apr-08,-122.399969,37.786826,,
1428027,274 06TH AV,Richmond,BP Filed,4/8/08,3,2,,CONSTRUCT NEW 3 RESIDENTIAL DWELLING UNITS,Residential,RM-1,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,200804089107,,4/8/08,40-X,RM-1,8-Apr-08,-122.464291,37.783519,,
156034,138 BERNARD ST,Northeast,BP Filed,4/8/08,1,-1,,"COMBINE 2 UNITS INTO 1, REMODEL 2 (E) BATHROOMS, RELOCATE KITCHEN, ADD 2 (N) BATHROOMS & 1 (N) STAIR",Residential,RH-3,355,0,,,,,,,0,,,,,,,,200804089105,,4/8/08,,RH-3,8-Apr-08,-122.415789,37.796385,,
5594014,2801 OAKDALE AV,"BVHP Area A,B",BP Filed,4/11/08,0,0,,ERECT A 2 STORIES OFFICE BUILDING.,Industrial,M-1,484,"6,000","6,000",,,,,,"6,000",,,"6,000",,,,,200804119488,,4/11/08,,M-1,11-Apr-08,-122.404407,37.742526,,
5662017B,707 CORTLAND AV,Bernal Heights,BP Filed,4/14/08,3,0,,REMODEL EX. OFFICE INTO A FULL SERVICE RESTAURANT,Mixed Use,NC-2,432,"1,706",,,,,"1,706",,0,0,0,"-1,706",0,"1,706",0,,200804149589,,4/14/08,,NC-2,14-Apr-08,-122.415083,37.738982,,
1460024,411 28TH AV,Richmond,BP Filed,4/15/08,2,1,,"Add 2 stories over(e) 2 story S.F.D.convert into 2 units.1st flr: retain 2 car parking,bedrm,fam, ba",Residential,RH-2,660,0,,,,,,,0,,,,,,,,200804159772,,4/15/08,,RH-2,15-Apr-08,-122.488225,37.781507,,
5525018,98 NORWICH ST,Bernal Heights,BP Filed,5/5/08,1,1,Variance for parking requirement and proposed structure in rear yard.,ERECT A NEW 3 STORY RESIDENTIAL UNITS WITH GARAGE,Residential,RH-1,454,0,,,,,,,0,,,,,,,2007.1168,200805051348,,5/5/08,,RH-2,5-May-08,-122.411804,37.745246,,
3027A001,207 LOS PALMOS DR,"Ingleside, Other",BP Filed,5/6/08,3,3,,CONSTRUCTION OF THREE-STORY SINGLE FAMILY DWELLING.,Residential,RH-1,436,0,,,,,,,0,,,,,,,,200805061381,,5/6/08,,RH-1,6-May-08,-122.449054,37.735778,,
4273018,1331 FLORIDA ST,Mission,BP Filed,5/14/08,2,1,,CONVERT EX. SINGLE FAMILY HOME INTO A 2UNIT BLDG. ADD A 240SF HORIZONTAL ADDITION TO THE EXISTING BL,Public,P,134,0,,,,,,,0,,,,,,,,200805142097,,5/14/08,,RH-2,14-May-08,-122.409664,37.750589,,
3197010,1446 OCEAN AV,Balboa Park,BP Filed,10/31/08,13,13,Demolition of an existing gas station with accessory use and construction of a 4-story building with 13 residential units over commercial space and a 13-car garage.,"ERECT 4 STORIES COMMERCIAL & RESIDENTIAL, 13 DWELLING UNITS BUILDING.",Mixed Use,NCT,915,0,,,,,0,,"-2,500",0,0,0,0,"-2,500",0,2008.0538,200810315636,5/15/08,10/31/08,,Ocean Avenue NCT,15-May-08,-122.45772,37.724356,,
1607025,3615 BALBOA ST,Richmond,BP Filed,6/3/08,4,4,,"TO ERECT 4 STORY, TYPE 5, 1 HR RATED, COMMERCIAL WITH 4 CONDOMINIUMS BUILDING. ;TO DEMOLISH 1 STORY COMMERCIAL RETAIL BUILDING.",Mixed Use,NC-2,257,"1,000",,,,,"1,000",,"-1,125",0,0,0,0,"-1,125",0,,200806033495,,6/3/08,,NC-2,3-Jun-08,-122.497542,37.775567,,
2349036,2322 21ST AV,Outer Sunset,BP Filed,6/3/08,2,1,,"VERTICAL AND HORIZONTAL ADDITION, CONVERT 2 STORY SINGLE FAMILY DWELLING INTO 4 STORY, 2 UNITS. GROU",Residential,RH-2,452,0,,,,,,,0,,,,,,,,200806033455,,6/3/08,,RH-2,3-Jun-08,-122.477759,37.744283,,
101004,1741 POWELL ST,Northeast,BP Filed,8/12/09,17,17,"The project would renovate a gutted theater into 3,500 square feet of commercial space and 17 residential condominiums with 20 parking spaces.",PER SF PLANNING MOTION 17797 PERMITTING THE CONVERSION OF EXISTING THEATER TO MIX USE BUILDING WITH ,Mixed Use,NCD,376,"3,525",,,,,"3,525",,"-11,795",,,,,"-11,795",,2007.1117,200908124639,6/4/08,8/12/09,40-X,NO BEACH,4-Jun-08,-122.411045,37.800478,,
5744075,347 CRESCENT AV,Bernal Heights,BP Filed,6/4/08,2,2,,CONSTRUCTION OF NEW 2 UNIT RESIDENTIAL BLDG IN A VACANT LOT,Residential,RH-2,87,0,,,,,,,0,,,,,,,,200806043667,,6/4/08,,RH-2,4-Jun-08,-122.417761,37.735063,,
3509027,49 GRACE ST,WSoMa,BP Filed,7/30/08,2,1,DEMOLITION OF EXISTING ONE-STORY OVER GARAGE SINGLE-FAMILY HOME. CONSTRUCTION OF A 5-STORY BUILDING WITH TWO RESIDENTIAL UNITS AND TWO OFFICES.,TO ERECT A NEW 5 STORY 2 UNIT BUILDING WITH OFFICES.,Industrial,SLR,609,0,0,,,,,,0,,,0,,,,2007.123,200807308027,6/5/08,7/30/08,50-X,SLR,5-Jun-08,-122.414618,37.775088,,
3582089,412 NOE ST,Central,BP Filed,6/5/08,3,1,3 new condominiums,TO ERECT THREE STORIES THREE UNITS RESIDENTIAL BUILDING. ;DEMOLISH TWO FAMILIES 3 STORIES BUILDING.,Residential,RH-3,201,0,,,,,,,0,,,,,,,2009.0026,200806053754,,6/5/08,,RH-3,5-Jun-08,-122.433097,37.762368,,
3731102,48 HARRIET ST,East SoMa,BP Filed,6/6/08,4,4,,ERECT A 4 STORIES 4 UNITS RESIDENTIAL DWELLINGS,Residential,RED,627,0,,,,,,,0,,,,,,,,200806063801,,6/6/08,,RED,6-Jun-08,-122.407056,37.778626,,
6942004,1173 PLYMOUTH AV,"Ingleside, Other",BP Filed,6/11/08,2,1,,CONSTRUCTION OF TWO FAMILY DWELLING THREE-STORY WOOD FRAME NON-RATED BLDG.,Residential,RH-2,53,0,,,,,,,0,,,,,,,,200806114219,,6/11/08,,RH-2,11-Jun-08,-122.456332,37.723243,,
8709006,1500 OWENS ST,Mission Bay,BP Filed,8/28/09,0,0,"TWO PROJECTS ON LOT: (1) 2008.0690 New construction of a 61,581 square foot building with laboratory and office uses; (2) 2006.1212. <N> laboratory/office building with ground-flr retail approx 160,600 gr sf, 89' hi, 6 stories, no on-site parking (provide",PROVIDE NE INTERIOR LAB AND OFFICE SPACE ON 5TH FLOOR (PARTIAL) AND 6TH FLOOR (ENTIRE).,Mixed Use,MB-RA,652,"222,181","222,181",,,,,,"222,181",,,"222,181",,,,2008.069,200908285736,6/12/08,8/28/09,MB-RA,MB-RA,12-Jun-08,-122.393959,37.76919,,
7114035,283 BROAD ST,"Ingleside, Other",BP Filed,6/12/08,1,1,,ERECT 2 STORY SINGLE FAMILY DWELLING.,Residential,RH-1,10,0,,,,,,,0,,,,,,,,200806124272,,6/12/08,,RH-1,12-Jun-08,-122.461749,37.713033,,
1611001,3201 BALBOA ST,Richmond,BP Filed,6/13/08,3,3,,"ERECT A 3 STORY, 3 DWELLING UNITS AND MIXED USE BUILDING; DEMOLISH A FITNESS AND OFFICE BUILDING",Mixed Use,NC-2,273,"1,000",,,,,"1,000",,"-2,171","-1,071",0,0,"-2,100","1,000",0,,200806134390,,6/13/08,,NC-2,13-Jun-08,-122.493129,37.775832,,
3731003,226 06TH ST,East SoMa,BP Filed,6/16/08,76,37,,"VERTICAL ADDITION AND REVONATION OF A HOTEL. MECH, ELEC,PLUMBING, FIRE SPRINKLER UNDER SEPARATE PERMIT",Mixed Use,NCT,627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,200806164548,,6/16/08,40-X,SoMa NCT,16-Jun-08,-122.406813,37.779331,,
3788012,166 TOWNSEND ST,East SoMa,BP Filed,8/19/08,0,0,"Adaptive reuse and construction of a five-story, mixed use project with 66 dwelling units, appx. 74 parking spaces, and appx. 1,715 square feet of ground floor retail use.  The existing building on the project site is an historic resource.","STRUCTURAL PERMIT FOR EARTHQUAKE RETROFIT AND FOR BASE BUILDING. VERTICAL ADDITION, RESIDENTIAL CONV",Industrial,SLI,694,"1,715",,,,,"1,715",,"-73,625",0,0,0,"-75,340","1,715",0,2005.047,200808199486,6/19/08,8/19/08,50-X,SLI,19-Jun-08,-122.391989,37.779665,,
1450008,5400 GEARY BL,Richmond,BP Filed,6/27/08,39,39,Existing theater building would be preserved - second floor would be expanded to create a full second floor full-service restaurant (preserving one theater screen) and ground floor would be for retail use.   New four-story mixed-use building would be cons,"ERECT  A 4 STORIES, 39 DWELLING UNITS (RESIDENTIAL CONDO/COMM & GARAGE.)",Mixed Use,NC-3,297,"2,500",,,,,"2,500",,"-10,748",0,0,0,0,"-10,748",0,2004.0482,200806275522,,6/27/08,40-X,NC-3,27-Jun-08,-122.477372,37.780557,,
6503024,437 HOFFMAN AV,Central,BP Filed,6/27/08,1,-1,"Dwelling unit merger, from two dwelling units to one.",MERGE 2 UNITS INTO 1 UNIT.  REMOVE KITCHEN @ 1ST FLOOR. CONSTRUCT STAIRS BETWEEN 1ST & 2ND FLOOR.,Residential,RH-2,477,0,,,,,,,0,,,,,,,2008.0572,200806275494,,6/27/08,,RH-2,27-Jun-08,-122.44039,37.750256,,
1450007,339 18TH AV,Richmond,BP Filed,6/27/08,2,2,Existing theater building would be preserved - second floor would be expanded to create a full second floor full-service restaurant (preserving one theater screen) and ground floor would be for retail use.   New four-story mixed-use building would be cons,"ERECT A 3 STORIES, 2 FAMILY DWELLING",Residential,RH-2,297,0,,,,,,,0,,,,,,,2004.0482,200806275518,,6/27/08,,RH-2,27-Jun-08,-122.477495,37.781576,,
839025,335 OAK ST,Market Octavia,BP Filed,6/30/08,16,4,"Insert 4 new dwelling units in partial basement of existing residential buildings. Lot has two buildings, 335-341 Oak and 230 Lily. 230 Lily is a contributory building to the California register. Requires CU for density and V for open space",230 LILY STREET-CONVERT (E) STORAGE AT 1ST FLOOR INTO 2 NEW DWELLING UNITS,Residential,RTO,587,0,,,,,,,0,,,,,,,2008.0988,200806305670,8/18/08,6/30/08,,RTO,30-Jun-08,-122.424848,37.774648,,
2039044,427 MORAGA ST,Inner Sunset,BP Filed,7/3/08,2,1,,"NEW 3RD FLOOR ADDITION TO (E); ADD MASTER BEDROOM W/BATH, BEDROOM AND FULL BATH AT GROUND FLOOR, INT",Residential,RH-2,513,0,,,,,,,0,,,,,,,,200807035945,,7/3/08,,RH-2,3-Jul-08,-122.467188,37.756377,,
1505026,538 40TH AV,Richmond,BP Filed,7/3/08,2,1,Horizontal addition at the rear and one story vertical addition flush with facade.  Addition of a dwelling unit for a total of 2 DUs.,"HORIZONTAL & VERTICAL ADDITION, REMODEL EXISTING TWO STORY SINGLE FAMILY HOUSE TO TWO FAMILY THREE S",Residential,RH-2,294,0,,,,,,,0,,,,,,,2008.1031,200807035957,8/27/08,7/3/08,,RH-2,3-Jul-08,-122.500534,37.778526,,
5296007,1646 MCKINNON AV,"BVHP Area A,B",BP Filed,7/9/08,2,1,"Establishing 2nd dwelling unit, requires variance for parking",SITE PERMIT - INSTALL KITCHEN FOR 2ND UNIT AND CREATE TANDEM INTERIOR PARKING AREA.,Mixed Use,NC-3,407,0,,,,,,,0,,,,,,,2008.0086,200807096279,,7/9/08,,RH-2,9-Jul-08,-122.390267,37.736569,,
6753063,483 BOSWORTH ST,"South Central, Other",BP Filed,7/10/08,2,2,,ERECT A 2 FAMILY 3 STORIES NEW RESIDENTIAL UNITS.,Residential,RH-2,80,0,,,,,,,750,,,,,750,,,200807106426,,7/10/08,,RH-2,10-Jul-08,-122.431608,37.732897,,
1294027,1560 SHRADER ST,Central,BP Filed,7/14/08,2,1,,"Change use from one to two units: 1st floor -new 12x20 rear addition incl new stairs, remodel (E) ba",Residential,RH-2,195,0,,,,,,,0,,,,,,,,200807146619,,7/14/08,,RH-2,14-Jul-08,-122.450208,37.760534,,
1519022B,3436 ANZA ST,Richmond,BP Filed,7/18/08,2,1,,"HORIZONTAL FOUR STORY & VERTICAL TWO STORY ADDITION, CONVERT SINGLE FAMILY TO TWO RESIDENTIAL UNITS.",Residential,RM-1,280,0,,,,,,,0,,,,,,,,200807187057,,7/18/08,,RM-1,18-Jul-08,-122.485029,37.77828,,
4266013,1280 HAMPSHIRE ST,Mission,BP Filed,7/18/08,3,3,Demolition of a garage and new construction of 3 DUs; 4-story building.,TO ERECT A NEW 3 STORIES 3 FAMILY DWELLING UNITS.,Residential,RH-3,150,0,,,,0,,,"-1,060",,,,"-1,060",,,2008.1063,200807187072,9/9/08,7/18/08,,RH-3,18-Jul-08,-122.407349,37.751717,,
4792029,1212 THOMAS AV,"BVHP Area A,B",BP Filed,7/23/08,0,0,,"ERECT A SINGLE STORY COMMERCIAL BUILDING(OFFICE & WAREHOUSE)WITH APPROX. 30,000 SQUARE FEET AT 24' H",Industrial,PDR-1-B,904,"30,000","5,000",,,"25,000",,,"30,000",,,"5,000","25,000",0,,,200807237371,,7/23/08,40-X,PDR-1-B,23-Jul-08,-122.384104,37.726506,,
317005,436 OFARRELL ST,Downtown,BP Filed,8/5/08,9,9,Conversion of nine offices into nine residential units.  One on-site BMR unit will be provided on-site.  All work will occur within the existing building.  Conditional Use Authorization required for reduction of off-street parking requirements in NOMARSUD,CONVERTING OF NINE OFFICES TO NINE RESIDENTIAL UNITS,Mixed Use,RC-4,711,0,0,,,,,,"-9,709",,,"-9,709",0,0,0,2009.0258,200808058406,,8/5/08,,RC-4,5-Aug-08,-122.411993,37.786031,,
2695026A,143 COLLINGWOOD ST,Central,BP Filed,8/6/08,2,1,,"3RD FLOOR ADDITION AND ENTIRE REMODEL, LATERAL STRENGTHENING , GROUND FLOOR:ADD NEW UNIT W/ BEDROOM,",Residential,RH-3,190,0,,,,,,,0,,,,,,,,200808068563,,8/6/08,,RH-3,6-Aug-08,-122.435867,37.760132,,
1288005,1427 SHRADER ST,Buena Vista,BP Filed,8/6/08,2,1,Horizontal and vertical addition; modification to the facade.  Addiing one more unit.  ,VERTICAL & HORIZONTAL ADDITION: REMODEL OF THE EXISTING STRUCTURE & CONSTRUCTION OF AN ADDITION TO I,Residential,RH-2,210,0,,,,,,,0,,,,,,,2008.1087,200808068583,9/17/08,8/6/08,,RH-2,6-Aug-08,-122.450863,37.762055,,
2395017,2908 ULLOA ST,Outer Sunset,BP Filed,8/8/08,1,1,"The proposal is to construct a new, single-family dwelling on a 25-foot wide by 100-foot deep lot fronting along Ulloa Street in zoning district RH-1. The new structure would be one-story over garage at the front and the third level would be set back 15 f","HORIZONTAL & VERTICAL ADDITION 1,743 SQ FT ON 1ST FLOOR, 1,430 SQ FT. ON 2ND FLOOR, 840 SQ FT ON 3RD",Residential,RH-1,435,0,,,,,,,0,,,,,,,2007.0162,200808088722,,8/8/08,40-X,RH-1,8-Aug-08,-122.487545,37.740769,,
3601073,3927 19TH ST,Central,BP Filed,8/13/08,1,1,Addition to single-family residence to create an additional unit and three off-street parking spaces.,ERECT 5 STORY SINGLE FAMILY DWELLING. (3 STORY OCCUPANCY & 2 BASEMENTS),Residential,RH-2,181,0,,,,,,,0,,,,,,,2007.1264,200808139076,,8/13/08,40-X,RH-2,13-Aug-08,-122.431086,37.759399,,
5355010,38 FLORA ST,Other S Bayshore,BP Filed,8/13/08,1,1,,TO ERECT A NEW 2 STORY SINGLE FAMILY DWELLING UNIT,Residential,RH-1,76,0,,,,,,,0,,,,,,,,200808139097,,8/13/08,,RH-1,13-Aug-08,-122.394453,37.732057,,
1568008B,665 25TH AV,Richmond,BP Filed,8/14/08,2,1,,"HORIZONTAL & VERTICAL ADDITION, CONVERT ONE SFD TO TWO UNITS RESIDENTIAL.",Residential,RH-2,274,0,,,,,,,0,,,,,,,,200808149207,,8/14/08,,RH-2,14-Aug-08,-122.484666,37.777002,,
502009,50 GRENARD TR,Northeast,BP Filed,10/24/08,3,1,Demolishing existing 2-unit residential building and replace it with a 3-unit residenital building,DEMOLISHING 2 FAMILY DWELLING,Residential,RM-3,817,0,,,,,,,0,,,,,,,2008.0788,200810245033,8/15/08,10/24/08,,RH-3,15-Aug-08,-122.422959,37.800872,,
5450020,2775 SAN BRUNO AV,"South Central, Other",BP Filed,8/21/08,2,1,,VERTICAL AND HORIZONTAL EXTENSIONS OF THE EXISTING BUILDING. WORK INCLUDES RAISING THE EXISTING BUIL,Mixed Use,NC-2,57,"6,375","4,250",0,0,0,"2,125",0,"6,375",0,0,"4,250",0,"2,125",0,,200808219735,,8/21/08,40-X,NC-2,21-Aug-08,-122.403104,37.726841,,
6941063,1415 OCEAN AV,Balboa Park,BP Filed,8/29/08,6,6,,ADD THREE STORIES ON TOP OF ONE STORY BLDG. - ADD SIX RESIDENTIAL UNITS ON TOP OF COMMERCIAL RETAIL ,Mixed Use,NCT,53,"5,285",0,,,,"5,285",,0,,,0,0,0,0,,200808290369,,8/29/08,,Ocean Avenue NCT,29-Aug-08,-122.457572,37.724066,,
1608012,762 37TH AV,Richmond,BP Filed,9/4/08,2,1,,"VERTICAL ADDITION OF TWO FLOORS ABOVE TWO STORIES (E)-ADD ONE FULL DWELLING UNIT. ELECTRICAL, PLUMBI",Residential,RH-2,257,0,,,,,,,0,,,,,,,,200809040762,,9/4/08,,RH-2,4-Sep-08,-122.497065,37.774595,,
