APN,Entitlement,BESTSTAT,BESTDATE,NAMEADDR,Alias,PLN_CASENO,BP_APPLNO,UNITS,NET_UNITS,AFF_UNITS,NET_AFF_UNITS,SECTION415,TENURE_TYPE,COST,PROPUSE,TOTAL_GSF,NET_GSF,CIE,NET_CIE,MED,NET_MED,MIPS,NET_MIPS,PDR,NET_PDR,RET,NET_RET,VISIT,NET_VISIT,FirstFiled,PLN_DESC,BP_DESC,PLANNER,SPONSOR,SP_CONTACT,SP_CONTACTPH,NEIGHBORHOOD,PLAN_AREA,PLAN_DISTRICT,HEIGHT_DISTRICT,ZONING_SIM,ZONING_DISTRICT,SUPE_DISTRICT,Location
APN 2318005,0,BP FILED,3/9/15,2219 31ST AV,,,2.01503E+11,2,1,0,0,,,"$7,000.00 ",2 FAMILY DWELLING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/9/15,,"LEGALIZE IN-LAW UNIT AS PER ORDINANCE 43-14. 2 NEW BEDROOMS, 1 NEW KITCHN & 1 NEW BATH.",DISALVOJ,,,,Parkside,,Outer Sunset,40-X,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",SUPERVISORIAL DISTRICT 4,"(37.74578349660, -122.48910772000)"
APN 3525083,0,PL FILED,12/4/15,222 DORE ST,,2015-003229PRJ,2.01605E+11,23,23,0,0,,,"$4,828,375.00 ",APARTMENTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9/4/15,"The proposed project is to demolish the existing front faâ”œÂºade of the building, except the columns, demolish the interior of the building, raise and re-use the roof to a height of 40 feet, and construct 16,648 square feet of residential use and open spac","DEMO (E) FRONT FACADE OF BLDG EXCEPT COLUMNS, RAISE & RE-USE PARTIAL ROOF ASSEMBLY, ADD APPROX. 8.25 SF OF WALL HEIGHT AT PERIMETER WALLS, PROVIDE NEW FACADE WINDOW WALL WITH BALCONIES AND DEMO INTERIOR OFFICE AND CONVERT (E) WAREHOUSE TO (23) TOTAL RESI",SIROISDA,UNDER REVIEW,UNDER REVIEW,UNDER REVIEW,South of Market,Western SoMa (EN); South of Market,South of Market,40-X,RED,SOUTH OF MARKET RESIDENTIAL ENCLAVE,SUPERVISORIAL DISTRICT 6,"(37.77158360420, -122.41039483600)"
APN 0287009,0,BP FILED,7/27/15,222 SUTTER ST,,2015-009997PRJ,2.01507E+11,0,0,0,0,,,$1.00 ,OFFICE,113770,2025,0,0,0,0,83958,11958,0,0,29812,-9933,0,0,7/27/15,Change of Use from 3rd floor retail establishment to office space.,CHANGE OF USE OF EXISTING 3RD FLOOR FROM RETAIL TO OFFICE. FOR FUTURE OFFICE TENANT SPACE NOT TO BE USED FOR POST SECONDARY EDUCATION USE OR MEDICAL INSTITUTION USE. ALL ABOVE WORK PER PLANNING CODE ONLY. FOR ARCHITECTURAL BLDG SCOPE OF WORK REFER APPROV,CASBAGH,CUA ON HOLD,CUA ON HOLD,CUA ON HOLD,Financial District,Downtown,Downtown,80-130-F,C-3-R,DOWNTOWN- RETAIL,SUPERVISORIAL DISTRICT 3,"(37.79003153400, -122.40448823100)"
APN 1410021,1,PL APPROVED,5/12/16,2224 CLEMENT ST,,2014-001676PRJ,,12,12,0,0,Fee Payment,,$0.00 ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/23/15,New construction of a 16 unit condominium building comprised of a parking garage at 5' below grade and four floors of units on podium at 5' above grade.  The site is currently used as a parking lot.,,SLAI,CUA PENDING,CUA PENDING,CUA PENDING,Outer Richmond,,Richmond,40-X,NCD,OUTER CLEMENT STREET NEIGHBORHOOD COMMERCIAL,SUPERVISORIAL DISTRICT 1,"(37.78233459060, -122.48341729900)"
APN 0927036,1,CONSTRUCTION,6/14/16,2225 BAY ST,,2015-012480PRJ,2.01509E+11,2,1,0,0,,,"$70,000.00 ",2 FAMILY DWELLING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9/15/15,,"UNIT LEGALIZATION PER ORD 43-14. ALL WORK TO BE DONE @ 1ST FL REAR UNIT, RELOCATING KITCHEN, REMODEL BATHROOM ""INKIND"", REPLACE SLIDING GLASS DOOR ""INKIND"", ADD WINDOW @ REAR OF PROPERTY IN (E) OPENING.",SAMONSKY,Closed,Closed,Closed,Marina,,Marina,40-X,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",SUPERVISORIAL DISTRICT 2,"(37.80154539860, -122.44368163900)"
APN 2316001F,0,BP FILED,10/8/14,2227 33RD AV,,,2.0141E+11,2,1,0,0,,,"$10,500.00 ",2 FAMILY DWELLING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/8/14,,LEGALIZE IN-LAW UNIT @ FIRST FLOOR PER ORDINANCE 43-14.,NFOSTER,,,,Parkside,,Outer Sunset,40-X,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",SUPERVISORIAL DISTRICT 4,"(37.74552948950, -122.49124491200)"
APN 4059001C,0,PL FILED,3/6/14,2230 3RD ST,,2013,,37,37,0,0,,,"$9,000,000.00 ",,2399,-3201,0,0,0,0,0,0,0,0,2399,-3201,0,0,4/29/13,The proposed project would result in the demolition of an existing commercial warehouse building (Tire Dealer) and construct a new 7-story mixed-use commercial and residential building with ground floor commercial/residential flex space and residential p,,JBANALES,UNDER REVIEW,UNDER REVIEW,UNDER REVIEW,Potrero Hill,Central Waterfront (EN),South of Market,68-X,UMU,URBAN MIXED USE,SUPERVISORIAL DISTRICT 10,"(37.76124702980, -122.38894070000)"
APN 5414006,0,PL FILED,6/28/16,2230 LANE ST,,2016-008445PRJ,,1,1,0,0,,,$0.00 ,,0,-1000,0,0,0,0,0,-1000,0,0,0,0,0,0,6/28/16,Legalizing the existing dwelling unit on the second floor and permit an approximately 640 gsf addition to the unit.,,RSUCRE,Application Accepted,Application Accepted,Application Accepted,Bayview,Bayview Hunters Point,South Bayshore,65-J,M-1,LIGHT INDUSTRIAL,SUPERVISORIAL DISTRICT 10,"(37.72826954070, -122.39356778400)"
APN 0539032,1,BP FILED,1/16/13,2231 UNION ST,,2009,2.01301E+11,2,-1,0,0,,,$0.00 ,OFFICE,1480,1480,0,0,0,0,1480,1480,0,0,0,0,0,0,8/11/09,Convert Residential Unit to Business and Professional use,REMOVAL OF DWELLING UNIT ON THE 3RED FLOOR OF 2233 UNION ST THROUGH CONVERSION TO A NON-RESIDENTIAL USE/CHANGE OF USE.  THE FLOOR PLAN SHOWS THE EXISTING LEGAL USE OF THE UNIT. THIS APPLICAITON IS REQUIRED TO BE FILED AS A PREREQUISTE TO SECTION 317(F) A,ASTARR,Closed,Closed,Closed,Marina,,Marina,40-X,NCD,UNION STREET NEIGHBORHOOD COMMERCIAL,SUPERVISORIAL DISTRICT 2,"(37.79672618780, -122.43608704800)"
APN 0539031,1,CONSTRUCTION,7/5/16,2237 UNION ST,,,2.01405E+11,2,1,0,0,,,"$1,000,000.00 ",2 FAMILY DWELLING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5/8/14,,"HORIZONTAL ADDITION & REMODEL. WK INCL ADD ELEVATOR, REBUILD IN-KIND PREVIOUSLY (E) CONICAL ROOF OVER (E)TURRET, REPAIR/REPLACE (E)SIDING, CORNICE & DETAIL AT FRONT FACADE. HORIZONTAL ADDITION AT REAR,(N)MEDIA ROOM & BATHROOM AT 1/FL, REBUILD (E) INT.STA",MWOODS,,,,Marina,,Marina,40-X,NCD,UNION STREET NEIGHBORHOOD COMMERCIAL,SUPERVISORIAL DISTRICT 2,"(37.79671531690, -122.43617248000)"
APN 3559008,1,PL APPROVED,2/11/16,2238 - 2254 MARKET ST,,2014,,48,45,5,5,On-site BMR Project,Rental,$0.00 ,,11146,-7654,5573,-3827,0,0,0,0,0,0,5573,-3827,0,0,9/30/14,"This is a Priority Processing Application for Type 3: LEED Platinum.  The project includes a vertical addition of 3-4 floors of residential dwelling units on top of an existing building at 2248-2254 Market Street, which is to be retained.  A new construc",,DWASHING,Closed,Closed,Closed,Castro/Upper Market,Market and Octavia,Central,40-X,NCT,UPPER MARKET NEIGHBORHOOD COMMERCIAL TRANSIT,SUPERVISORIAL DISTRICT 8,"(37.76453931250, -122.43121464300)"
APN 1827019,0,BP FILED,1/15/16,2238 KIRKHAM ST,,2016-000906PRJ,2.01601E+11,2,1,0,0,,,"$10,000.00 ",2 FAMILY DWELLING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/15/16,,LEGALIZATION OF DWELLING UNITS INSTALLED WITHOUT A PERMIT.,JIMENEZS,UNDER REVIEW,UNDER REVIEW,UNDER REVIEW,Outer Sunset,,Outer Sunset,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",SUPERVISORIAL DISTRICT 4,"(37.75972046320, -122.48509112900)"
APN 5081002,0,BP FILED,4/28/15,224 NUEVA AV,,,2.01504E+11,2,1,0,0,,,"$7,000.00 ",2 FAMILY DWELLING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4/28/15,,"LEGALIZE IN-LAW UNIT AT 1ST FLOOR PER ORDINANCE 43-14. NEW 1 BEDROOM, NEW 1 BATH, NEW 1 KITCHEN.",NKWIATKO,,,,Visitacion Valley,,South Bayshore,40-X,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",SUPERVISORIAL DISTRICT 10,"(37.71088559010, -122.39775076200)"
APN 1416003,0,BP FILED,3/26/14,225 17TH AV,,,2.01403E+11,2,1,0,0,,,"$733,000.00 ",2 FAMILY DWELLING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/26/14,,2-STORY VERTICAL ADDITION & HORIZONTAL ADDITION AT FRONT.,SYOUNG,,,,Inner Richmond,,Richmond,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",SUPERVISORIAL DISTRICT 1,"(37.78378307080, -122.47673397600)"
APN 3753099,0,BP FILED,12/31/15,225 SHIPLEY ST,,2016-000601PRJ,2.01512E+11,9,9,0,0,,,"$1,080,000.00 ",APARTMENTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/31/15,,TO ERECT 4 STORIES OF 9 DWELLING UNITS - MAHER ORDINANCE - EXTENDED ORDINANCE NO.155-13 NOT REQUIRED,SOUTHWES,UNDER REVIEW,UNDER REVIEW,UNDER REVIEW,South of Market,Central SoMa; East SoMa (EN); South of Market,South of Market,45-X,MUR,MIXED USE-RESIDENTIAL,SUPERVISORIAL DISTRICT 6,"(37.77927668360, -122.40326443000)"
APN 0515031,1,BP REINSTATED,7/8/15,2251 GREENWICH ST,,,2.01312E+11,1,1,0,0,,,"$6,100,000.00 ",SFPD OR SFFD STATION,5749,5749,0,0,0,0,0,0,5749,5749,0,0,0,0,12/20/13,,"ERECT 2-STORY, 1 ACCESSORY USE DWELLING UNIT, NEW FIRE STATION.",SVELLVE,,,,Marina,,Marina,40-X,P,PUBLIC,SUPERVISORIAL DISTRICT 2,"(37.79858184830, -122.43672028800)"
APN 7537002,0,BP FILED,10/23/15,2306 CASTRO ST,,,2.0151E+11,1,1,0,0,,,"$350,000.00 ",1 FAMILY DWELLING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/23/15,,"TO ERECT 3 STORIES, NO BASEMENT, SINGLE FAMILY BUILDING.",HORNJEFF,,,,Noe Valley,,Central,40-X,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",SUPERVISORIAL DISTRICT 8,"(37.74308458920, -122.43357714200)"
APN 2393040,1,BP APPROVED,11/17/15,2255 TARAVAL ST,,2013,2.01206E+11,7,7,0,0,,,"$4,100,000.00 ",APARTMENTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4/8/13,"Demolish existing auto service structure.  Erect new 5-story, 7-units residential, 3-units commercial mixed use building with 8 parking spaces.","TO ERECT 5 STORIES, 7 UNITS, NO BASEMENT, MIXED USE BUILDING.",EJACKSON,Closed,Closed,Closed,Parkside,,Outer Sunset,50-X,NCD,TARAVAL STREET NEIGHBORHOOD COMMERCIAL DISTRICT,SUPERVISORIAL DISTRICT 4,"(37.74215315100, -122.49045470300)"
APN 3731003,1,CONSTRUCTION,10/20/14,226 06TH ST,,2009,2.00806E+11,76,37,0,0,,,"$875,000.00 ",APARTMENTS,16425,5445,0,0,0,0,0,0,0,0,0,0,16425,5445,6/16/08,Vertical addition of 4th floor to existing hotel.,"VERTICAL ADDITION AND REVONATION OF A HOTEL. MECH, ELEC,PLUMBING, FIRE SPRINKLER UNDER SEPARATE PERMIT",PLAVALLE,Closed,Closed,Closed,South of Market,East SoMa (EN); South of Market,South of Market,65-X,NCT,SOMA NEIGHBORHOOD COMMERCIAL TRANSIT,SUPERVISORIAL DISTRICT 6,"(37.77915909870, -122.40682647800)"
APN 2046040A,0,PL FILED,10/21/14,227 NORIEGA ST,,2010,2.00902E+11,2,1,0,0,,,"$475,000.00 ",2 FAMILY DWELLING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/12/09,,"REMODELING (E) FIRST AND SECOND FLOOR AND EXTENDING THESE 2 FLOORS OUT TOWARDS REAR YARD. 1ST FL. TO HAVE FAMILY ROOM, BEDROOM & FULL BATHROOM. 2ND FL. 2 BEDROOMS, STUDY ROOM, 2 FULL BATHROOMS, LIVING ROOM, DINING ROOM & KITCHEN. ADDITION  OF 3RD & 4TH F",APERRY,UNDER REVIEW,UNDER REVIEW,UNDER REVIEW,Inner Sunset,,Inner Sunset,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",SUPERVISORIAL DISTRICT 7,"(37.75444553530, -122.46617715900)"
APN 2303016,0,BP FILED,5/8/15,2277 46TH AV,,,2.01505E+11,2,1,0,0,,,"$6,000.00 ",2 FAMILY DWELLING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5/8/15,,(N) KITCHEN ON 1ST FL & LEGALIZE IN-LAW DWELLING UNIT UNDER ORD #43-14,NKWIATKO,,,,Parkside,,Outer Sunset,40-X,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",SUPERVISORIAL DISTRICT 4,"(37.74406387170, -122.50511170900)"
APN 1417029,1,PL APPROVED,5/6/14,228 17TH AV,,2014,,2,1,0,0,,,"$650,000.00 ",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5/6/14,The proposal is to demolish the existing building and build a 3-story over basement duplex,,SVELLVE,Closed,Closed,Closed,Inner Richmond,,Richmond,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",SUPERVISORIAL DISTRICT 1,"(37.78374356110, -122.47607426500)"
APN 4059009,1,BP APPROVED,12/26/14,2290 03RD ST,2298 03RD ST,2005,2.01309E+11,69,69,0,0,Fee Payment,Ownership,"$11,910,000.00 ",APARTMENTS,796,-3204,0,0,0,0,0,0,0,0,796,-3204,0,0,4/26/05,"Demolition of an existing one-story, commercial building and construction of a six-story, mixed-use building with 80 dwelling units, 80 off street parking spaces and appx. 14,000 GSF of ground floor commercial use.","TO ERECT 6 STORIES, 1 BASEMENT, 71 UNITS RESIDENTIAL, COMMERCIAL & PARKING BUILDING.",CTEAGUE,Closed,Closed,Closed,Potrero Hill,Central Waterfront (EN),South of Market,68-X,UMU,URBAN MIXED USE,SUPERVISORIAL DISTRICT 10,"(37.76079824980, -122.38890195900)"
APN 0041001,1,PL APPROVED,11/20/15,2293 POWELL ST,311 BAY ST,2013,2.01508E+11,17,17,0,0,,,"$6,750,000.00 ",APARTMENTS,5199,-4195,0,0,0,0,0,-2519,0,0,5199,-1676,0,0,3/20/13,The proposed project would remove an existing vacant structure previously containing ground floor restaurant and second floor office and merge 2 lots into single parcel.  The project would construct a new 4-story over basement concrete structure with bel,"ERECT 4-STORY, TYPE 5A OVER TYPE 1A PODIUM, RESIDENTIAL, RETAIL & PARKING WITH 1 BASEMENT BUILDING.  MAHER ORD #155-13 APPLIED.",NFOSTER,Closed,Closed,Closed,North Beach,,Northeast,40-X,C-2,COMMUNITY BUSINESS,SUPERVISORIAL DISTRICT 3,"(37.80561720190, -122.41219978900)"
APN 6435012,1,BP ISSUED,9/23/15,23 CANYON DR,,,2.01312E+11,1,1,0,0,,,"$820,000.00 ",1 FAMILY DWELLING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/26/13,,ERECT 3-STORY SINGLE FAMILY RESIDENCE.,TCHANG,,,,Crocker Amazon,,South Central,40-X,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",SUPERVISORIAL DISTRICT 11,"(37.70845909950, -122.43192305200)"
APN 3730004,0,PL FILED,7/30/14,230 07TH ST,,2014,,44,44,0,0,,,$0.00 ,,718,718,0,0,0,0,0,0,0,0,718,718,0,0,2/14/14,"The proposed project is to demolish the existing 14,230 square foot single-story garage parking building and construct two new buildings with an at grade inner court between the two buildings and an underground parking garage with 29 spaces.  The new bui",,EJACKSON,UNDER REVIEW,UNDER REVIEW,UNDER REVIEW,South of Market,Western SoMa (EN); South of Market,South of Market,65-X,WMUG,WSOMA MIXED USE-GENERAL,SUPERVISORIAL DISTRICT 6,"(37.77729529940, -122.40912349400)"
APN 1091013,0,BP FILED,6/13/16,230 ANZA ST,,2016-005365PRJ,2.01606E+11,3,1,0,0,,,"$100,000.00 ",APARTMENTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6/13/16,,"CHANGE OF USE FROM R-3 TO R-2, INTERIOR REMODEL FOR ALL FLR. THREE STORY REAR HORIZONTAL ADDITION, 3RD AND 4TH FLR. VERTICAL ADDITION WITH ROOF DECK, EXCAVATE EARTH FOR NEW BASEMENT, INCREASE UNIT FROM 2 TO 3.",NORTHWES,Application Accepted,Application Accepted,Application Accepted,Inner Richmond,,Western Addition,40-X,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",SUPERVISORIAL DISTRICT 1,"(37.78105346630, -122.44941238500)"
APN 0041037,0,PL FILED,5/24/16,2300 MASON ST,,2016-005563PRJ,,1,1,0,0,,,$0.00 ,,800,-2546,0,0,0,0,800,-2546,0,0,0,0,0,0,4/29/16,Proposed change of use of office building into mixed-use building. Addition of (N) dwelling unit & garage.,,ERUSSELL,Application Accepted,Application Accepted,Application Accepted,North Beach,,Northeast,40-X,NCD,NORTH BEACH NEIGHBORHOOD COMMERCIAL,SUPERVISORIAL DISTRICT 3,"(37.80487892060, -122.41330518000)"
APN 0512031,0,PL FILED,6/24/16,2301 LOMBARD ST,,2015-014040PRJ,,22,22,0,0,,,$0.00 ,,3092,3092,0,0,0,0,0,0,0,0,3092,3092,0,0,6/24/16,Construction of a new 4 story 22 unit multi-family residential structure over retail and parking for vehicles and bikes.,,,,,,Marina,,Marina,40-X,NC-3,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE",SUPERVISORIAL DISTRICT 2,"(37.79909581720, -122.43961099900)"
APN 2349038,1,BP ISSUED,12/18/15,2308 21ST AV,,,2.01411E+11,2,1,0,0,,,"$260,000.00 ",2 FAMILY DWELLING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11/21/14,,"REAR ADDITION AND INTERIOR REMODELING, ADD 2ND UNIT AT GROUND FL, 1 BEDROOM, 1 FAMILY ROOM & 1 BATHROOM, KITCHEN & DINING RM. UPSTAIR REMODEL & EXTENSION INCLUDES; ADD NEW BEDROOM AND BATHROOM AT 2ND FL.",MPUTRA,,,,Parkside,,Outer Sunset,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",SUPERVISORIAL DISTRICT 4,"(37.74462138330, -122.47764031400)"
APN 0331001A,0,PL FILED,2/28/13,231 ELLIS ST,,2009,,7,4,0,0,,,$0.00 ,,5704,5704,0,0,0,0,0,0,0,0,5704,5704,0,0,5/4/09,"Interior structural improvements and addition of 4 stories to existing 3-story building. Revised application rec'd 7/25/11: reduced addition to 3 stories, total 77.5' in ht, 14 res units (11,720 sf), and 8,685 sf retail. Revised drawings rec'd 3/7/13: 18",,JPOLING,UNDER REVIEW,UNDER REVIEW,UNDER REVIEW,Downtown/Civic Center,,Downtown,80-T-130-T,RC-4,"RESIDENTIAL- COMMERCIAL, HIGH DENSITY",SUPERVISORIAL DISTRICT 6,"(37.78501273140, -122.40994766000)"
APN 3123004,0,BP FILED,6/1/16,231 GENNESSEE ST,,2016-008159PRJ,2.01606E+11,2,1,0,0,,,"$20,000.00 ",2 FAMILY DWELLING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6/1/16,,UNIT LEGALIZATION ORDINANCE# 43-14. LEGALIZE (E) ILLEGAL UNIT ON GROUND FLOOR. ORDINANCE# 33-16 SEE DETAIL ON BACK.,CAMPBELL,Application Accepted,Application Accepted,Application Accepted,Outer Mission,,Ingleside,40-X,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",SUPERVISORIAL DISTRICT 7,"(37.73034298910, -122.45141426600)"
APN 6940012,1,BP ISSUED,7/9/15,231 JULES AV,,,2.0141E+11,2,1,0,0,,,"$5,000.00 ",2 FAMILY DWELLING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/30/14,,"REVISION TO PA 201403060090, LEGALIZED 2ND UNIT PER PLAN.",NKWIATKO,,,,Ocean View,,Ingleside,40-X,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",SUPERVISORIAL DISTRICT 7,"(37.72243021660, -122.46156177200)"
APN 2613020,1,BP FILED,9/24/10,2317 15TH ST,,2010,2.01009E+11,2,1,0,0,,,"$30,000.00 ",2 FAMILY DWELLING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9/16/10,Off-street parking variance to create new 2nd unit at basement level without providing required off-street parking space.,"CONVERT EMPTY SPACE UNDER BUILDING TO 2ND UNIT. 1 BEDROOM, 1 LIVING ROOM / KITCHEN. 1 BATHROOM.",APUTRA,Closed,Closed,Closed,Castro/Upper Market,,Buena Vista,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",SUPERVISORIAL DISTRICT 8,"(37.76545627310, -122.43618795800)"
APN 3562004,0,BP FILED,4/13/16,2324 MARKET ST,,2015-000678PRJ,2.01604E+11,0,0,0,0,,,$1.00 ,OFFICE,580,0,0,0,0,0,580,580,0,0,0,-580,0,0,1/21/15,Change of use from vacant retail to a Limited Financial Service real estate office.,CONDITIONAL USE APPLICATION TO CHANGE USE FROM VACANT RETAIL TO BUSINESS/PROFESSIONAL SERVICE OFFICE. THE PROPOSED USE WILL OCCUPY THE FIRST AND SECOND FLOORS W/587 SQ FT COMBINED.  MAHER NA,TKENNEDY,UNDER REVIEW,UNDER REVIEW,UNDER REVIEW,Castro/Upper Market,,Buena Vista,50-X,NCT,UPPER MARKET NEIGHBORHOOD COMMERCIAL TRANSIT,SUPERVISORIAL DISTRICT 8,"(37.76392085440, -122.43397006200)"
APN 0918002E,0,BP FILED,2/26/15,2328 NORTH POINT ST,,,2.01502E+11,1,-1,0,0,,,"$750,000.00 ",1 FAMILY DWELLING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/26/15,,"ADD 13'-2""X 25'X 1-STORY @ REAR. ADD 1-STORY ON TOP. ALTER SHAPE OF WESTERN LIGHTWELL @ GROUND & ENLARGE EASTERN LIGHTWELL. ROOF DECK OVER REAR ADDITION. ROOF DECK OVER 15' FRONT SETBACK OVER 3RD STORY. ROOF DECK ON TOP OF (N) STORY. INTERNAL RECONFIGURA",BBENDIX,,,,Marina,,Marina,40-X,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",SUPERVISORIAL DISTRICT 2,"(37.80276859420, -122.44570495700)"
APN 3753096,1,CONSTRUCTION,6/16/16,233 - 237 SHIPLEY ST,,2013,2.01401E+11,22,22,0,0,Fee Payment,,"$2,000,000.00 ",APARTMENTS,0,-1875,0,0,0,0,0,0,0,-1875,0,0,0,0,1/24/14,New construction of a 4-story residential building with approximately 22 single occupancy residence.  No automobile parking.  Bicycle parking to be included.,"TO ERECT 4 STORIES, NO BASEMENT, 21 UNITS MULTI FAMILY RESIDENTIAL BUIDLING.
** MAHER: COMPLIANCE WITH ORDINANCE NO# 155-13 NOT REQUIRED **",EJACKSON,Closed,Closed,Closed,South of Market,Central SoMa; East SoMa (EN); South of Market,South of Market,45-X,MUR,MIXED USE-RESIDENTIAL,SUPERVISORIAL DISTRICT 6,"(37.77913167060, -122.40344872900)"
APN 2370054,0,BP FILED,3/15/16,2339 41ST AV,,2016-004267PRJ,2.01603E+11,2,1,0,0,,,"$20,000.00 ",2 FAMILY DWELLING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/15/16,,"LEGALIZE AS BUILT UNIT ON 1ST FL W/ (2) BEDROOM, (1) STORAGE & (1) KITCHEN PER ORDINANCE 43-14.",CLARKECO,UNDER REVIEW,UNDER REVIEW,UNDER REVIEW,Parkside,,Outer Sunset,40-X,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",SUPERVISORIAL DISTRICT 4,"(37.74303326730, -122.49966315500)"
APN 2959007,0,BP FILED,10/16/15,234 TERESITA BL,,,2.0151E+11,1,1,0,0,,,"$20,000.00 ",1 FAMILY DWELLING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/16/15,,CHANGE OF USE. FROM AN INSTITUTIONAL HCURCH TO A SINGLE FAMILY DWELING. STRUCTURAL AND MECHANICAL UNDER SEPERATE PERMIT.,,,,,West of Twin Peaks,,Ingleside,40-X,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",SUPERVISORIAL DISTRICT 7,"(37.74232708770, -122.45092367100)"
APN 2359002J,0,BP FILED,5/13/15,2342 31ST AV,,,2.01505E+11,2,1,0,0,,,"$6,000.00 ",2 FAMILY DWELLING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5/13/15,,NEW KITCHEN AREA ON 1ST FLOOR & LEGALIZE IN-LAW DWELLING UNIT UNDER ORDINANCE NO# 43-14. ADD NEW KITCHEN.,NKWIATKO,,,,Parkside,,Outer Sunset,40-X,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",SUPERVISORIAL DISTRICT 4,"(37.74353426050, -122.48829148300)"
APN 0489015,1,PL APPROVED,11/3/15,2346 LOMBARD ST,,2014,2.01511E+11,6,6,0,0,,,"$1,800,000.00 ",APARTMENTS,0,-2850,0,0,0,0,0,0,0,0,0,-2850,0,0,8/1/14,Demolition of an existing two-story commercial building.  Erect four-story building with six residential units and six off-street parking spaces.  Building will be 40 feet in height.,"TO ERECT 4 STORIES , 6 RESIDENTIAL DWELLING UNITS. TYPE 5 CONSTRUCTION.MAHER ORDINANCE EXTENDED #155-13 NOT REQUIRED.",LAJELLO,UNDER REVIEW,UNDER REVIEW,UNDER REVIEW,Marina,,Marina,40-X,NC-3,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE",SUPERVISORIAL DISTRICT 2,"(37.79964371180, -122.44021853000)"
APN 0923034,0,BP FILED,6/27/16,2349 NORTH POINT ST,,2016-009057PRJ,2.01606E+11,3,1,0,0,,,"$95,000.00 ",APARTMENTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6/27/16,,"(UNIT LEGALIZATION ORDINANCE 43-14) LEGALIZE UNDOCUMENTED UNIT AT 1ST FLOOR LEGALIZE 1 BEDROOM, 1 BATHROOM, 1 KITCHEN AND 1 LI ING ROOM",KCONNER,Application Accepted,Application Accepted,Application Accepted,Marina,,Marina,40-X,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",SUPERVISORIAL DISTRICT 2,"(37.80217752630, -122.44584771000)"
