Block Lot,Address,Planning Neighborhood,Best Stat,Best Date,Units,Planning Project Description,DBI Project Description,Zoning_Generalized,Zoning_Simplified,TAZ,Total GSF (Commercial),Office,"Cult, Inst, Educ",Medical,"Prod, Dist, Rep","Ret, Ent",Visitor,Planning ID,DBI Permit,Planning Filed,DBI Filed,Expr1022,Expr1023,FirstFiled,Longitude,Latitude,ObjectID,Expr1028,LANDUSE,EntitlementStatus,sort,ACTION_SEQ,Net Added Units,Net Added SF,"Net Cult, Inst, Educ",Net Medical,Net Office,"Net Prod, Dist, Rep","Net Ret, Ent",Net Visitor,TempSelect,SiteArea,BLOCK,LOT,PARKING,PARKINGNET,ZONING,HEIGHTLIMIT,SUPDIST,Sponsor Firm,Sponsor Name,CONTACTPHONE,FULLNAME,CONTACTCITY,CONTACTADD
3788039,345 Brannan St,East SoMa,BP Filed,27-Oct-08,0,"New construction approx. 69,540-gsf, 4-story, 50' height office building on existing parking lot, with 58-space ground floor parking and street frontage retail space.","ERECT A OFFICE, RESTAURANT & PARKING 4 STORIES BUILDING.",Mixed Use Districts,MUO,694,53030,49500,,,,3530,,2007.0385,200810275193,18-Sep-08,27-Oct-08,65-X,MUO,18-Sep-08,-122.392906,37.780971,2024,123,MIPS,0,BP Filed,2,0,53030,,,49500,,3530,,123,23343,3788,39,58,-36,MUO,65-X,6,Reuben & Junius ,David Silverman,415 567 9000,David Silverman 415 567 9000,"San Francisco, CA  94104","1 Bush Street, Suite 600"
3789003,72 Townsend St,East SoMa,BP APPROVED,23-Sep-11,74,76 new construction / mixed,"7 STORY ADDITION TO EXISTING 2 STORY COMMERCIAL WAREHOUSE, HIGH RISE BUILDING. ADDITION OF RETAIL, PARKING & 74 RESIDENTIAL UNITS.",Downtown Residential Districts,SB-DTR,727,0,,,,,,,2007.0894,200705010136,,1-May-07,105-F,SB-DTR,1-May-07,-122.390093,37.781143,2025,123,Resident,-1,BP Approved/Issued/Re-Instated,9,74,0,,,,,,,123,29305,3789,3,,,SB-DTR,105-F,6,,,,,,
3794002A,750 02nd St,East SoMa,CONSTRUCTION,20-Sep-11,14,"The proposed project would demolish the existing building and construct a new eight-story, 18-unit residential and 5,050 sq. ft. retail building. The building would include 18 parking spaces, would be approximately 93 feet in height, totaling approximatel",To erect new 7 story commercial/residential building; TO DEMOLISH 1 STORY OFFICE/RETAIL BUILDING,Mixed Use Districts,MUO,632,5050,0,,,,5050,,2007.0007,200807318072,8-May-08,,105-F,MUO,8-May-08,-122.390208,37.78018,2030,123,Mixres,-1,Construction,13,14,-2710,0,0,0,0,-2710,0,123,6329,3794,002A,18,18,MUO,105-F,6,"750 2nd Street, LLC",Andy Bush,802-362-4410,Andy Bush 802-362-4410,"Manchester, VT 05254",3657 Main Street
3794014,111 Townsend St,East SoMa,PL Filed,9-Feb-11,,"The proposed project would involve the change of use of the project site from warehouse to restaurant and office use.  The change of use would be from the existing 22,884-sq. ft. industrial use to a 16,786-sq. ft. office use with 6,098 sf. ft. of ground f",,Mixed Use Districts,MUO,632,28982,16786,,,0,6098,,2011.0135,,9-Feb-11,,105-F,MUO,9-Feb-11,-122.390915,37.780211,2032,123,Mixed,0,Planning Filed,2,0,6098,,,16786,-22884,6098,,123,6854,3794,14,34,,MUO,105-F,6,Harvey Hacker Architects,HARVEY HACKER,957-0579,HARVEY HACKER 957-0579,S.F. 94107,528 BRYANT ST
3794024,144 King St,East SoMa,PL APPROVED,7-Apr-11,0,To demolish a non-contributing building in South End HD and construct new 131-room hotel with ground floor retail and no off-street parking. Seeking variances for parking and for restrictions on bay window dimensions (Sections 151 and 136).,,Mixed Use Districts,MUO,632,49500,0,0,0,0,0,49500,2004.1326,,21-Jun-05,,105-F,MUO,21-Jun-05,-122.391289,37.778734,2034,123,Visitor,-1,PL Approved,5,0,43845,0,0,0,-5655,0,49500,123,9900,3794,24,,,MUO,105-F,6,Morrison & Foerster LLP,David  Levy,415-268-6238,David  Levy 415-268-6238,"San Francisco, CA  94105-2482",425 Market Street
3821007,1150 16th Street,Showpl/Potrero,BP Filed,22-Jul-11,15,"Construction of a five-story, mixed-use building with 15 dwelling units, 15 off-street parking spaces, and 1,155 GSF of ground floor commercial use.  ","ERECT 4 STORIES, TYPE 3, 15 PDR UNITS ABOVE RETAIL & GARAGE BLDG.",Industrial,PDR-1-D,651,1155,0,0,0,0,1155,0,2004.1004,201107220904,13-Apr-06,22-Jul-11,68-X,PDR-1-D,13-Apr-06,-122.398135,37.766499,2044,,Resident,0,BP Filed,14,15,1155,0,0,0,0,1155,0,,11858,3821,7,,,PDR-1-D,68-X,10,Nibbi Investments,Sergio Nibbi,863-1820,Sergio Nibbi 863-1820,"SF, CA 94107",1433 17th Street
3834001,1000 16th St,Showpl/Potrero,PL Approved,28-Jul-11,450,"The proposed project involves the construction of three building residential complex including 450 dwelling units, 26,500gsf of ground-floor retail space and 503 off-street parking spaces.  The project would include a partial street vacation to narrow the",,Mixed Use Districts,UMU,651,26500,0,0,0,0,26500,0,2003.0527,,23-Feb-06,8-May-00,68-X,UMU,8-May-00,-122.396988,37.76649,2047,,Mixres,-1,PL Approved,5,450,26500,0,0,0,0,26500,0,,136691,3833,1,503,503,UMU,68-X,10,UrbanGreen Devco LLC,Daniel Murphy,650-359-5358,Daniel Murphy 650-359-5358,"Pacifica,Ca 94044",P.O. Box 1578
3965001,2401 16th St,Mission,PL Approved,21-Apr-11,12,"Retain the exisitng three-story, 34-foot, 5,625 sq. ft. retail and office building. Addition and new construction of 12 residential units over ground floor retail. The total project including the existing retail/office uses would be approximately 29,822 s",,Mixed Use Districts,UMU,568,7347,3750,,,,3597,,2006.0428,,9-Oct-08,,68-X,UMU,9-Oct-08,-122.410614,37.765523,2062,,Mixres,-1,PL Approved,5,12,1722,,,0,,1722,,,10033,3965,1,12,12,UMU,68-X,6,Town Consulting,Kelly Pepper,415.307.5082,Kelly Pepper 415.307.5082,"San Francisco, CA 94107",2298 - 3rd Street
3980008,1717 17th St,Showpl/Potrero,PL Approved,15-Jul-10,41,"Demolition of three existing commercial buildings and construction of three mixed-use buildings with 41 residential dwelling units, 4,840 GSF of PDR use, and 57 off-street parking spaces.  ",,Mixed Use Districts,UMU,544,4840,0,0,0,4840,0,0,2004.0946,,22-Dec-05,,48-X,UMU,22-Dec-05,-122.400827,37.76476,2071,,Mixres,-1,PL Approved,5,41,-13369,0,0,-18209,4840,0,0,,25224,3980,7,57,57,UMU,48-X,10,Luce Forward Hamilton & Scripps,Alice Barkley,415-356-4635,Alice Barkley 415-356-4635,"San Francisco, CA  94105","121 Spear Street, Suite 200"
4009008A,585 Kansas St,Showpl/Potrero,CONSTRUCTION,17-Jun-08,2,Variance for reduced parking requirement,"1/F-REMOVE (E)UNPERMITTED ROOM,CLOSET & FULL BATH IN 1/F GARAGE.INFILL CANTILEVERED 2ND STORY @NORTHEAST,CORNER OF HOUSE.INFILL (E)LIGHTWELL @1ST STORY.ADD A LEGAL UNIT IN FORMER LOCATION OF UNPERMITTED WORK @REAR OF HOUSE 21'X20'=240SF.ADD 1 HR.RATED COR",Residential Zoning Districts,RH-3,543,0,0,0,0,0,0,0,2006.014,200602023655,2-Feb-06,2-Feb-06,40-X,RH-3,2-Feb-06,-122.403125,37.76246,2086,,Resident,-1,Construction,13,1,0,0,0,0,0,0,0,,2500,4009,008A,,,RH-3,40-X,10,Susan Mukaeda,Susan Mukaeda,415/864-6485,Susan Mukaeda 415/864-6485,"SF, CA  94107",585 Kansas Street
4010006,575 Vermont St,Showpl/Potrero,PL Approved,11-Feb-08,2,Construct a second dwelling unit?,,Residential Zoning Districts,RH-2,543,0,0,0,0,0,0,0,2006.107,,31-Aug-06,,40-X,RH-2,31-Aug-06,-122.404115,37.762514,2088,,Resident,-1,PL Approved,5,1,0,0,0,0,0,0,0,,1875,4010,6,,,RH-2,40-X,10,John Maniscalco Architecture,Matt Williams,664.9900x201,Matt Williams 664.9900x201,"San Francisco, CA  94117",1501 Waller Street
4019002,550 Alabama St,Mission,BP ISSUED,29-May-07,0,Variance for parking.  Addition of third floor and mezzanine over existing two-story building for use as light industrial (apparel manufacturing).,ADDITION OF 3RD FLOOR OVER (E) 2 STORY BLDG. ADDITION OF NEW MEZZ OVER NEW 3RD FLOOR. FULL SEISMIC,Industrial,PDR-1-G,538,5650,0,0,0,5650,0,0,2005.0108,200412272194,3-Feb-05,27-Dec-04,68-X,PDR-1-G,27-Dec-04,-122.412253,37.762264,2091,,PDR,-1,BP Approved/Issued/Re-Instated,11,0,5650,0,0,0,5650,0,0,,6175,4019,2,,,PDR-1-G,68-X,6,Nabi Construction,Javed  Tharani,415.552.2215,Javed  Tharani 415.552.2215,"San Francisco, CA  94103","208 Utah Street, #100"
4058010,2235 03rd St,Central Waterfront,CONSTRUCTION,15-Sep-11,196,"The proposed project involves the renovation of two existing vacant buildings totaling about 27,200 gsf and construction of approximately 180,000 gsf addition.  The proposed project would include up to 141 dwelling units with 128 off-street parking spaces","Preserve, renovate and merge two historical bldg at 2225 and 2255 third st located on same lot into ",Mixed Use Districts,UMU,558,5339,0,0,0,0,5339,0,2002.1302,200907092309,24-Dec-02,9-Jul-09,68-X,UMU,24-Dec-02,-122.38837,37.761297,2110,,Mixres,-1,Construction,13,196,5339,0,0,0,0,5339,0,,50095,4058,10,114,114,UMU,68-X,10,Martin Building Co.,Katie O'Brien,415-348-4652,Katie O'Brien 415-348-4652,"San Francisco, CA  94103","14 Mint Plaza, Fifth Floor"
4059009,2298 03rd St,Central Waterfront,BP Filed,6-Feb-06,40,"Demolition of an existing one-story, commercial building and construction of a six-story, mixed-use building with 80 dwelling units, 80 off street parking spaces and appx. 14,000 GSF of ground floor commercial use.  ",TO ERECT 40 DWELLING UNITS IN A 6 STORY NEW BUILDING,Mixed Use Districts,UMU,558,14000,0,0,0,0,14000,0,2005.0408,200602063862,26-Apr-05,6-Feb-06,68-X,UMU,26-Apr-05,-122.388823,37.760595,2111,,Mixres,0,BP Filed,6,40,14000,0,0,0,0,14000,0,,13935,4059,9,80,80,UMU,68-X,10,,Mary Tom,415-272-4901,Mary Tom 415-272-4901,"San Francisco, CA 94118",111 26th Ave.
4085026,857 Alabama St,Mission,BP ISSUED,19-Aug-11,2,,"ERECT 4 STORIES OF 2 DWELLING UNIT,TYPE 5
",Residential Zoning Districts,RH-2,186,0,,,,,,,,201012307679,,30-Dec-10,40-X,RH-2,30-Dec-10,-122.411297,37.758215,2128,,Resident,-1,BP Approved/Issued/Re-Instated,11,2,-3866,0,0,0,-3866,0,0,,2600,4085,26,,,RH-2,40-X,9,,,,,,
4087037,2219 Bryant St,Mission,BP ISSUED,30-Apr-08,2,The proposal is for a vertical alteration to add a third story to an existing two story single-family dwelling in zoning district RM-1. The project will add one additional dwelling unit and one additional off-street parking space. The front setback will n,REMODEL GROUND AND SECOND FLOOR. THIRD FLOOR VERTICAL ADDITION. ALTER FRONTAGE AND CONSTRUCT BAY WINDOW. ADD REAR EXTERIOR STAIR.,Residential Zoning Districts,RM-1,186,0,0,0,0,0,0,0,2006.134,200604259790,3-Nov-06,25-Apr-06,40-X,RM-1,25-Apr-06,-122.409543,37.758714,2131,,Resident,-1,BP Approved/Issued/Re-Instated,11,1,0,0,0,0,0,0,0,,2500,4087,37,,,RM-1,40-X,9,,Teresita  Alano,415-334-1403,Teresita  Alano 415-334-1403,San Francisco CA 94134,144 Princeton Street
4093007,838 Kansas St,Showpl/Potrero,BP APPROVED,4-Jan-11,2,"Existing 11-foot residential building with 1,250 sqft with off-street parking. Proposed 40-foot 4,700 sqft 2-unit resdential building with 2 off-street parking spaces.",ERECT A 4 STORIES 2 FAMILY DWELLING.,Residential Zoning Districts,RH-2,606,0,,,,,,,2007.1484,200805232798,9-Oct-08,23-May-08,40-X,RH-2,23-May-08,-122.40316,37.758981,2133,,Resident,-1,BP Approved/Issued/Re-Instated,9,1,0,,,,,,,,2500,4093,7,,,RH-2,40-X,10,StudioPAZ,Peter Wong,415-640-7490,Peter Wong 415-640-7490,"San Francisco, CA 94131",1041 Bosworth Street
4096005,746 Carolina St,Showpl/Potrero,CONSTRUCTION,22-Mar-10,2,"Front setback variance to construct a new two family dwelling unit on a vacant lot. Building would be three-story over garage, totaling 5,838 sq. ft. ",TO ERECTA NEW 3 STORY 2 DWELLING UNIT,Residential Zoning Districts,RH-2,607,0,0,0,0,0,0,0,2005.0613,200506074411,23-Jun-05,7-Jun-05,40-X,RH-2,7-Jun-05,-122.400236,37.759037,2143,,Resident,-1,Construction,13,2,0,0,0,0,0,0,0,,9861,4096,5,,,RH-2,40-X,10,Town Consulting,Tony  Kim,246-8855,Tony  Kim 246-8855,"San Francisco, CA 94118","100 Clement Street, 3rd Floor"
4098027,749 Wisconsin St,Showpl/Potrero,BP Filed,15-Dec-06,2,The proposal is to demolish a single-family house and constructing a two-unit structure.,ERECT 4 STORIES OF 2 DWELLING UNITS.,Residential Zoning Districts,RH-2,607,0,0,0,0,0,0,0,2006.1506,200612159955,14-Dec-06,15-Dec-06,40-X,RH-2,14-Dec-06,-122.398869,37.758092,2148,,Resident,0,BP Filed,6,1,0,0,0,0,0,0,0,,2600,4098,27,,,RH-2,40-X,10,,Mike Susoev,212-346-0806,Mike Susoev 212-346-0806,"San Francisco, CA  94107",749 Wisconsin Street
4102052,585 Texas St,Showpl/Potrero,CONSTRUCTION,9-Sep-10,2,"Addition to existing 1,087 square foot single-family dwelling, adding one additional unit for a total of 3,000 square feet and 2-units.","NEW 2 CAR GARAGE & STUDIO UNIT 1ST FLOOR, 2 NEW 4 BEDRM RESIDENCES 2ND & 3RD FLS, NEW ROOF DECK",Residential Zoning Districts,RH-2,520,0,0,0,0,0,0,0,2006.0689,200606133915,20-Nov-06,13-Jun-06,40-X,RH-2,13-Jun-06,-122.395066,37.759002,2158,,Resident,-1,Construction,13,1,0,0,0,0,0,0,0,,2490,4102,52,,,RH-2,40-X,10,"Archrail, Inc.",Joseph Railla ,637-9698,Joseph Railla  637-9698,"Vallejo, CA 94592",1017 Azuar Drive
4103036,605 Mississippi St,Showpl/Potrero,PL Approved,23-Jan-09,2,Addition/alteration of existing single-family residence to 2-unit residence.,,Residential Zoning Districts,RH-2,520,0,,,,,,,2008.1307,,25-Nov-08,,40-X,RH-2,25-Nov-08,-122.394064,37.758824,2162,,Resident,-1,PL Approved,5,1,0,,,,,,,,2522,4103,36,,,RH-2,40-X,10,,Jorge Carbonell,415-512-7566,Jorge Carbonell 415-512-7566,"San Francisco, CA 94107",605 Mississippi Street
4108003F,2420 03rd St,Central Waterfront,PL Approved,12-Aug-11,1,Vacant ot. Construct new 4-story single-family dwelling.,TO ERECT 4 STORY SINGLE FAMILY DWELLING,Mixed Use Districts,UMU,521,0,,,,,,,2010.1082,200911171348,8-Dec-10,17-Nov-09,45-X,UMU,17-Nov-09,-122.388699,37.758984,2169,,Resident,-1,PL Approved,5,1,2835,,,2835,,,,,2002,4108,003F,,,UMU,45-X,10,Montgomery Property,Scott Pelichoff,415-305-8234,Scott Pelichoff 415-305-8234,"San Francisco, CA  94107",168 Welsh Street
4143008,948 Hampshire St,Mission,BP ISSUED,12-Mar-09,2,,VERTICAL ADDITION WITH STUDIO APT. ON GROUNDFLOOR,Residential Zoning Districts,RH-2,171,0,0,0,0,0,0,0,,200503298688,,29-Mar-05,40-X,RH-2,29-Mar-05,-122.40785,37.756913,2174,,Resident,-1,BP Approved/Issued/Re-Instated,11,1,0,0,0,0,0,0,0,,2500,4143,8,,,RH-2,40-X,9,,,,,,
4210013,1196 Hampshire St,Mission,BP ISSUED,25-Jan-10,2,Parking Variance - Does not meet independent access requirement under 155(c),clarifing building is three story and legalizing 2nd unit. demo rear back porch and stairs. Build ne,Residential Zoning Districts,RH-2,150,0,0,0,0,0,0,0,2008.024,200710155355,28-Feb-08,15-Oct-07,40-X,RH-2,15-Oct-07,-122.407517,37.753108,2184,,Resident,-1,BP Approved/Issued/Re-Instated,11,1,0,0,0,0,0,0,0,,2608,4210,13,,,RH-2,40-X,9,,James Cline,415.706.6953,James Cline 415.706.6953,San Francisco CA 94102,"870 Market Street, Suite 478"
4218036,1321 De Haro St,Showpl/Potrero,PL Approved,16-Jul-09,3,"Dish existin 1200 sqft residence with no off-street parking and construct 3-unit 3100 sqft with 3 off-street parking spaces.
Rear Yard Variance
",,Residential Zoning Districts,RH-3,152,0,,,,,,,2008.0505,,1-May-08,,40-X,RH-3,1-May-08,-122.400218,37.752861,2189,,Resident,-1,PL Approved,5,2,0,,,,,,,,3333,4218,36,3,2,RH-3,40-X,10,,Albert Costa,415.986.0101,Albert Costa 415.986.0101,"San Francisco, CA 94111","1620 Montgomery Street, Suite 320"
4219003,1028 Wisconsin St,Showpl/Potrero,CONSTRUCTION,15-Feb-08,1,,"TO ERECT A NEW 3 STORY AND PENTHOUSE, WITH 2 DWELLING UNITS.",Residential Zoning Districts,RH-2,152,0,0,0,0,0,0,0,,200412080961,,8-Dec-04,40-X,RH-2,8-Dec-04,-122.398857,37.754486,2190,,Resident,-1,Construction,13,1,0,0,0,0,0,0,0,,2538,4219,3,,,RH-2,40-X,10,,,,,,
4219004,1036 Wisconsin St,Showpl/Potrero,PL Approved,6-Oct-09,2,"Existing one-story single-family residence at 18-feet tall and 850 sqft with no off-street parking to be demolished. Proposed new 4-story, 2-unit residence at 40-feet tall and 3,765 sqft with 2 off-street parking spaces.",,Residential Zoning Districts,RH-2,152,0,,,,,,,2008.087,,24-Jul-08,,40-X,RH-2,24-Jul-08,-122.398853,37.75444,2191,,Resident,-1,PL Approved,3,1,0,,,,,,,,2534,4219,4,,,RH-2,40-X,10,,Denise Lindsay,415.271.0485,Denise Lindsay 415.271.0485,"San Francisco, CA 94116",2071 10th Ave.
4224015,1004 Mississippi St,Showpl/Potrero,BP APPROVED,16-Jan-09,28,"Construct 28 dwelling units and 28 parking spaces in an underground garage on a vacant lot. The building would be approximately 57,974 sq. ft. and approxomately 40 feet in height. ","ERECT 4 STORIES, 28 UNITS, 3 BASEMENTS, RESIDENTIAL CONDOMINIUM BUILDING.",Residential Zoning Districts,RH-3,519,0,0,0,0,0,0,0,2006.081,200705010141,15-Nov-07,1-May-07,40-X,RH-3,1-May-07,-122.393815,37.753144,2194,,Resident,-1,BP Approved/Issued/Re-Instated,9,28,0,0,0,0,0,0,0,,23300,4224,15,28,28,RH-3,40-X,10,1000 Mississippi Street Investors,John Conomos,415-353-0770,John Conomos 415-353-0770,San Francisco CA 94117,1160 Fulton Street
4224018,1036 Mississippi St,Showpl/Potrero,BP APPROVED,1-Dec-09,2,"New construction of two buildings with two units each, total of four units on a vacant lot.",TO ERECT A NEW 3 STORY 2 DWELLING UNITS,Residential Zoning Districts,RH-3,519,0,,,,,,,2007.0713,200705010119,17-Jul-07,1-May-07,40-X,RH-3,1-May-07,-122.393853,37.752943,2196,,Resident,-1,BP Approved/Issued/Re-Instated,9,2,0,,,,,,,,5000,4224,18,,,RH-3,40-X,10,Town Consulting,Tony  Kim,246-8855,Tony  Kim 246-8855,"San Francisco, CA 94118","100 Clement Street, 3rd Floor"
4228158,1301 Indiana St,Central Waterfront,CONSTRUCTION,19-Dec-07,81,"The proposed project involves the demolition of the existing 14,800 gsf warehouse and construction of a 5 story 166,590 gsf residential building, containing up to 81 dwelling units, 5,000 gsf of retail space and 164 off-street parking space.  PUD exceptio",ERECT FIVE STORY RESIDENTIAL & RETAIL & WAREHOUSE,Industrial,PDR-1-G,535,5000,0,0,0,0,5000,0,2002.1303,200212244171,17-Jan-03,24-Dec-02,58-X,PDR-1-G,24-Dec-02,-122.390975,37.753914,2209,,Mixres,-1,Construction,13,71,-9800,0,0,0,-14800,5000,0,,43790,4228,10,164,164,PDR-1-G,58-X,10,"Potero Warehouse Properties, LLC",Lyons Redmond,415.626.7715,Lyons Redmond 415.626.7715,"San Francisco, CA  94107",600 18th Street
4263007,1366 San Bruno Av,Showpl/Potrero,BP Filed,21-Mar-07,3,"Mandatory DR for res. demo.  The proposal would demolish an existing two-unit residential building, constructed in 1905, and construct a new three unit residential building.",DEMOLISH A 3 STORY 3 UNIT RESIDENTIAL BUILDING.,Residential Zoning Districts,RH-3,148,0,,,,,,,2008.0614,200703216793,21-May-08,21-Mar-07,40-X,RH-3,21-Mar-07,-122.404446,37.752305,2214,,Resident,0,BP Filed,2,1,0,,,,,,,,2500,4263,7,,,RH-3,40-X,10,Kerman/Morris Architects LLP,Toby  Morris,415-749-0302,Toby  Morris 415-749-0302,"San Francisco, CA 94133",69A Water Street
4266013,1280 Hampshire St,Mission,CONSTRUCTION,25-Aug-11,3,Demolition of a garage and new construction of 3 DUs; 4-story building.,TO ERECT A NEW 3 STORIES 3 FAMILY DWELLING UNITS.,Residential Zoning Districts,RH-3,150,0,,,,0,,,2008.1063,200807187072,9-Sep-08,18-Jul-08,40-X,RH-3,18-Jul-08,-122.407349,37.751717,2216,,Resident,-1,Construction,13,3,-1060,,,,-1060,,,,2457,4266,13,,,RH-3,40-X,9,Sia Consulting Corp.,Reza Khoshnevisan,922-0200x108,Reza Khoshnevisan 922-0200x108,"San Francisco, CA 94103",1256 Howard Street
4273018,1331 Florida St,Mission,BP Filed,14-May-08,2,,CONVERT EX. SINGLE FAMILY HOME INTO A 2UNIT BLDG. ADD A 240SF HORIZONTAL ADDITION TO THE EXISTING BL,Residential Zoning Districts,RH-2,134,0,,,,,,,,200805142097,,14-May-08,40-X,RH-2,14-May-08,-122.409664,37.750589,2221,,Resident,0,BP Filed,6,1,0,,,,,,,,2000,4273,18,,,RH-2,40-X,9,,,,,,
4287022,1239 Connecticut St,Other S Bayshore,CONSTRUCTION,13-Sep-11,0,,New construction of a two story commercial storage building.,Industrial,PDR-2,483,2175,0,0,0,2175,0,0,,200908074405,,7-Aug-09,65-J,PDR-2,7-Aug-09,-122.396188,37.750596,2227,,PDR,-1,Construction,13,0,2175,0,0,0,2175,0,0,,3750,4287,22,,,PDR-2,65-J,10,,,,,,
4352007,1301 Cesar Chavez St,"BVHP Area A,B",BP Filed,15-Oct-07,0,,"Erect a two stories builing for maintenance and operations facility with admininstrative offices for SFMuni. A-3 for lunch rm; B for Admin. off, locker rms, training conference, T.V. rm; H-4 for welding shop and elec. shop; S-2 for part storage, equip. rm",Industrial,PDR-2,491,88564,88564,,,0,,,,200710155436,,15-Oct-07,40-X,PDR-2,15-Oct-07,-122.390032,37.74998,2239,,MIPS,0,BP Filed,9,0,81979,,,88564,-6585,,,,89004,4352,7,,,PDR-2,40-X,10,,,,,,
4591A010,142 Albatross,Other S Bayshore,PL Filed,8-Jun-07,50,Family housing,,Residential Zoning Districts,RM-1,386,0,0,0,0,0,0,0,,,,8-Jun-07,40-X,RM-1,8-Jun-07,-122.372154,37.728285,2244,,Resident,0,Planning Filed,,50,0,0,0,0,0,0,0,,,4591A,10,,0,RM-1,40-X,10,,,,,,
4624009,227 West Point Road,Other S Bayshore,PL Approved,10-Dec-08,668,"The proposed project would demolish the 267 affordable housing units in 50 buildings and construct about 668 affordable units, 6,400 sq. ft. of retail, 739 parking spaces in 66 buildings. Buildings would range from two to five-stories 20 to 50 feet in hei",,Residential Zoning Districts,RM-1,446,7020,0,620,0,0,6400,0,2007.0168,,27-Mar-08,,40-X/65-X,RM-1,27-Mar-08,-122.379131,37.73508,2247,,Mixres,-1,PL Approved,5,349,620,620,0,0,0,0,0,,799013,4624,3,739,739,RM-1,40-X/65-X,10,San Francisco Housing Authorty,Juan  Monsanto,415-715-3217,Juan  Monsanto 415-715-3217,"S.F., CA. 94124","1815 Egbert Ave, #301"
4645018,860 Innes Av,India Basin,BP APPROVED,3-Nov-08,4,"Construct a vertical addition to accommodate three DUs, convert ground floor to a three-car garage, and change ground floor use from business to retail in an NC-2 (Small-Scale Neighborhood Commercial) District and a 40-X Height and Bulk District.","ADD 2 NEW FLOORS TO (E) STRUCTURE.RECONFIGURE (E)SPACE W/NEW ADDED SPACE TO CREATE 1 COMM'L SPACE,",Neighborhood Commercial Zoning Districts,NC-2,446,0,0,0,0,0,0,0,2004.1311,200402267273,6-Dec-04,26-Feb-04,40-X,NC-2,26-Feb-04,-122.375385,37.731973,2252,,Resident,-1,BP Approved/Issued/Re-Instated,9,4,-2560,0,0,0,-2560,0,0,,2567,4645,18,,,NC-2,40-X,10,,David O'Connor,876-0164,David O'Connor 876-0164,"San Francisco, CA 94118",618 - 5th Avenue
5279033,1675 Jerrold Av,Other S Bayshore,CONSTRUCTION,30-Jul-07,0,,ERECT 4 STORY WAREHOUSE & OFFICE,Industrial,M-1,407,9980,4990,0,0,4990,0,0,,200208022937,,2-Aug-02,65-J,M-1,2-Aug-02,-122.390794,37.739412,2268,,Mixed,-1,Construction,13,0,9980,0,0,4990,4990,0,0,,2490,5279,33,,,M-1,65-J,10,,,,,,
5556019,162 Brewster St,Bernal Heights,BP REINSTATED,14-Jun-10,1,,TO ERECT A NEW 2 STORY SINGLE FAMILY DWELLING UNIT,Residential Zoning Districts,RH-1,114,0,0,0,0,0,0,0,,200607106046,,10-Jul-06,40-X,RH-1,10-Jul-06,-122.407352,37.744057,2289,,Resident,-1,BP Approved/Issued/Re-Instated,8,1,0,0,0,0,0,0,0,,2046,5556,19,,,RH-1,40-X,9,,,,,,
4786043,1171 Revere Av,"BVHP Area A,B",BP ISSUED,27-Feb-08,0,"To legalize Block 4786, lot 043, a triangular lot that neither meets lot area nor lot width zoning regulations.",TO ERECT 1 STORY WARE HOUSE.,Industrial,PDR-2,902,2175,0,0,0,2175,0,0,2006.1269,200606073397,16-Oct-06,7-Jun-06,40-X,PDR-2,7-Jun-06,-122.382449,37.727212,2307,,PDR,-1,BP Approved/Issued/Re-Instated,11,0,2175,0,0,0,2175,0,0,,2900,4786,43,,,PDR-2,40-X,10,,,,,,
4792029,1212 Thomas Av,"BVHP Area A,B",BP Filed,23-Jul-08,0,,"ERECT A SINGLE STORY COMMERCIAL BUILDING(OFFICE & WAREHOUSE)WITH APPROX. 30,000 SQUARE FEET AT 24' H",Industrial,,904,30000,5000,,,25000,,,,200807237371,,23-Jul-08,40-X,PDR-1-B,23-Jul-08,-122.384104,37.726506,2312,,PDR,0,BP Filed,7,0,30000,,,5000,25000,0,,,30125,4792,29,,,PDR-1-B,40-X,10,,,,,,
4829010,2105 Keith St,"BVHP Area A,B",BP APPROVED,4-Nov-08,8,"Demolition of the existing 3,900 sq. ft. industrial building and subdivide the parcel into four lots. New construction of four- two unit duplexes on each newly created parcels.","four permits for four duplexes, 8 total",Residential Zoning Districts,RH-2,388,0,,,,,,,2006.0055,200710044644,11-Jan-06,4-Oct-07,40-X,RH-2,11-Jan-06,-122.390551,37.727957,2316,,Resident,-1,BP Approved/Issued/Re-Instated,9,8,-3900,,,,-3900,,,,7670,4829,10,,,RH-2,40-X,10,Alex Tse,Alex Tse,415-260-8739,Alex Tse 415-260-8739,"Foster City, CA 94404",975 Lurline Dr. 
4846018,1351 Yosemite Av,"BVHP Area A,B",BP ISSUED,23-May-08,0,,ERECT A NEW 2 STORY CONTRACTOR'S WAREHOUSE & OFFICE,Industrial,PDR-2,892,7500,1000,0,0,6500,0,0,,200405285091,,28-May-04,40-X,PDR-2,28-May-04,-122.387592,37.724347,2319,,PDR,-1,BP Approved/Issued/Re-Instated,11,0,7500,0,0,1000,6500,0,0,,5036,4846,18,,,PDR-2,40-X,10,,,,,,
