Block Lot,Address,Planning Neighborhood,Best Stat,Best Date,building_type_id,Units,Planning Project Description,DBI Project Description,Zoning_Generalized,Zoning_Simplified,TAZ,Total GSF (Commercial),Office,"Cult, Inst, Educ",Medical,"Prod, Dist, Rep","Ret, Ent",Visitor,Planning ID,DBI Permit,Planning Filed,DBI Filed,HEIGHTLIMIT,ZONING,FirstFiled,Longitude,Latitude,ObjectID,LANDUSE,EntitlementStatus,sort,ACTION_SEQ,Net Added Units,Net Added SF,"Net Cult, Inst, Educ",Net Medical,Net Office,"Net Prod, Dist, Rep","Net Ret, Ent",Net Visitor,TempSelect,SiteArea,BLOCK,LOT,PARKING,PARKINGNET,SUPDIST,Sponsor Firm,Sponsor Name,CONTACTPHONE,FULLNAME,CONTACTCITY,CONTACTADD
6272018,4847 Mission St,"South Central, Other",CONSTRUCTION,25-Feb-09,14,2,,Revision to PA# 2001/05/30/0305 to convert 2nd floor family rm. to kitchen and create a new unit. Re,Mixed Use,NC-3,39,0,,,,,,,,200801112324,,11-Jan-08,40-X,NC-3,11-Jan-08,-122.437618,37.720738,2749,Resident,-1,Construction,13,1,0,,,,,,,,2080,6272,18,,,11,,,,,,
6272030,4801 Mission St,"South Central, Other",PL Approved,25-Jul-08,9,6,Existing vacant lot proposed 6-unit mixed use building.,,Mixed Use,NC-3,39,3256,,,,,3256,,2008.0286,,5-Mar-08,,65-A,NC-3,5-Mar-08,-122.437166,37.72149,2750,Mixres,-1,PL Approved,5,6,3256,,,,,3256,,,4341,6272,30,,,11,"Shatara Architecture, Inc.",Suheil Shatara,415-512-7566,Suheil Shatara 415-512-7566,"San Francisco, CA 94107",522 2nd Street
6591022A,1413 Noe St,Central,BP APPROVED,29-Dec-08,14,1,"Demo, new construction, rear yard variance",ERECT 2 STORIES SINGLE FAMILY DWELLING BLDG.,Residential,RH-2,120,0,,,,,,,2006.1519,200708311531,20-Dec-06,31-Aug-07,40-X,RH-2,20-Dec-06,-122.431197,37.746312,2851,Resident,-1,BP Approved/Issued/Re-Instated,9,1,0,,,,,,,,1544,6591,022A,,,8,"Levy Art & Architecture, Inc.",Ross Levy,641-7320,Ross Levy 641-7320,"San Francisco, CA  94110",1286 Sanchez Street
6508034,3945 24th St,Central,PL Approved,22-Oct-07,9,4,"three story mixed use building CU for lot size, use size, 161j parking, second floor use (to be determined)",,Neighborhood Commercial,24TH-NOE,138,6000,,,,,6000,,2007.0435,,3-May-07,,40-X,24TH-NOE,3-May-07,-122.430646,37.751371,2800,Mixres,-1,PL Approved,3,4,6000,,,,,6000,,,5805,6508,34,,,8,Jackson Liles,Brian  Liles,415-621-1799,Brian  Liles 415-621-1799,"San Francisco, CA 94107","2325 Third Street, #206"
6520036,3135 24th St,Mission,BP ISSUED,4-Sep-12,9,9,"Demolish existing two-story parking garage, perviously used as auto repair shop and construct 12 dwelling units over ground floor commercial in a three-story building with 12 parking spaces. The proposed structure would be 40 feet in height and 24,291 sq.",2 story vertical addition. 6 residential unit addition. EXTENSION OF EXISTING CODE COMPLIANT STAIRWA,Neighborhood Commercial,24th St-Mission,146,1360,,,,0,1360,,2005.1076,200711137944,18-May-09,13-Nov-07,45-X,24th St-Mission,13-Nov-07,-122.414797,37.752336,2807,Mixres,-1,BP Approved/Issued/Re-Instated,11,9,-13640,,,,-15000,1360,,,7336,6520,36,9,9,9,Folsom Project LLC,Alex Kushner,415-656-1880,Alex Kushner 415-656-1880,"Brisbane, CA 94005",200 Valley Dr. #41
6525034,3241 25th St,Mission,BP Filed,5-Jun-07,14,3,Section 134-Rear Yard Variance,TO ERECT A NEW 4 STORYS 3 DWELLINGS,Residential,RH-3,133,0,,,,,,,2007.0659,200706053001,28-Jun-07,5-Jun-07,40-X,RH-3,5-Jun-07,-122.414798,37.750725,2811,Resident,0,BP Filed,6,3,0,,,,,,,,4966,6525,34,,,9,Dickson Consulting Group,John Lau,415 831-7180,John Lau 415 831-7180,"San Francisco, CA  94121","3900 Geary Boulevard, Suite #201"
6534029,1225 Dolores St,Central,BP APPROVED,25-Oct-11,14,3,,"ERECT 4 STORIES, 3 DWELLING UNITS CONDOMINIUM BUILDING.",Residential,RH-3,140,0,,,,,,,,200703307744,,30-Mar-07,40-X,RH-3,30-Mar-07,-122.424715,37.749797,2817,Resident,-1,BP Approved/Issued/Re-Instated,9,3,0,,,,,,,,3125,6534,29,,,8,,,,,,
6549003,1320 Church St,Central,BP ISSUED,12-Dec-07,14,1,,ERECT 3 STORIES 1 UNIT BUILDING IN FRONT LOT.,Residential,RH-2,127,0,0,0,0,0,0,0,,200612149841,,14-Dec-06,40-X,RH-2,14-Dec-06,-122.427427,37.74974,2828,Resident,-1,BP Approved/Issued/Re-Instated,11,1,0,0,0,0,0,0,0,,2582,6549,3,,,8,,,,,,
6549021,168 Clipper St,Central,BP ISSUED,30-Jul-10,14,2,The proposal is to demolish the existing single-family dwelling and construct a two-family dwelling.  Mandatory Discretionary Review under the Planning Commission's policy requiring review of residential demolition and associated new construction.,ERECT A NEW 3 STORY 2 FAMILY DWELLING UNITS.,Residential,RH-2,127,0,,,,,,,2008.0278,200712201032,4-Mar-08,20-Dec-07,40-X,RH-2,20-Dec-07,-122.428656,37.749346,2829,Resident,-1,BP Approved/Issued/Re-Instated,11,1,0,,,,,,,,2973,6549,21,,,8,Kotas / Pantaleoni Architects,Greg Bergere,495-4051x213,Greg Bergere 495-4051x213,"San Francisco, CA 94107","70 Zoe Street, Suite 200"
6592034,389 27th St,Central,CONSTRUCTION,29-Oct-07,14,2,Renovate and enlarge existing garage at the rear of the property to accommodate a car lift within.,"ADD 3RD FLOOR TO BLDG. RECONFIGURE INTERIOR WALLS, DOORS, AND WINDOWS.",Residential,RH-2,120,0,0,0,0,0,0,0,2007.1145,200606073385,4-Oct-07,7-Jun-06,40-X,RH-2,7-Jun-06,-122.428751,37.74666,2854,Resident,-1,Construction,13,1,0,0,0,0,0,0,0,,2468,6592,34,,,8,LSH Studio,Lori  Hsu,650-269-6736,Lori  Hsu 650-269-6736,"Redwood City, CA",1281 Fernside Street
6793011,1794 San Jose Av,"South Central, Other",BP Filed,1-Oct-08,14,2,Construction of two dwelling units requesting a rear yard variance and exemption from parking requirements from the Planning Commission.,COMPLETE REMODEL OF GROUND FLOOR DENTAL OFFICES. ADDITION TO NEW SECOND FLOOR TO INCLUDE TWO NEW RES,Mixed Use,NC-1,911,0,,,,,,,2008.1341,200810013092,4-Dec-08,1-Oct-08,40-X,NC-1,1-Oct-08,-122.44004,37.729145,2951,Resident,-1,BP Filed,6,2,0,,,,,,,,3349,6793,11,,,11,,William Walters,887-9716,William Walters 887-9716,"San Francisco, CA 94965",62 Glen Drive
6941063,1415 Ocean Av,Balboa Park,BP Filed,29-Aug-08,9,6,,ADD THREE STORIES ON TOP OF ONE STORY BLDG. - ADD SIX RESIDENTIAL UNITS ON TOP OF COMMERCIAL RETAIL ,Mixed Use,NC-T,53,5285,0,,,,5285,,,200808290369,,29-Aug-08,45-X,Ocean Avenue NCT,29-Aug-08,-122.457572,37.724066,2963,Mixres,0,BP Filed,6,6,0,,,0,0,0,0,,3381,6941,63,,,11,,,,,,
6942004,1173 Plymouth Av,"Ingleside, Other",BP Filed,11-Jun-08,14,2,,CONSTRUCTION OF TWO FAMILY DWELLING THREE-STORY WOOD FRAME NON-RATED BLDG.,Residential,RH-2,53,0,,,,,,,,200806114219,,11-Jun-08,40-X,RH-2,11-Jun-08,-122.456332,37.723243,2964,Resident,0,BP Filed,6,1,0,,,,,,,,2800,6942,4,,,11,,,,,,
6942039,244 Granada Av,"Ingleside, Other",BP ISSUED,9-Oct-08,14,2,"Demolish a one-family dwelling and construct a new two-family dwelling in an RH-2 (Residential, House, Two-Family) District and a 40-X Height and Bulk District.",ERECT 3 STORY TWO UNIT DWELLING.,Residential,RH-2,53,0,0,0,0,0,0,0,2003.0374,200701051057,25-Mar-03,5-Jan-07,40-X,RH-2,25-Mar-03,-122.45699,37.722873,2965,Resident,-1,BP Approved/Issued/Re-Instated,11,1,0,0,0,0,0,0,0,,2815,6942,39,,,11,A & J Design Assoc.,Joyce Cheng,601-1338,Joyce Cheng 601-1338,"San Francisco, CA 94116",2328 Taraval Street
6942046,270 Granada Av,"Ingleside, Other",CONSTRUCTION,19-Jun-12,14,2,"To construct a new four-story, two-unit structure. ;To demolish the existing one-story single-family dwelling.",ERECT 3 STORIES 2 DWELLING UNITS BUILDING,Residential,RH-2,53,0,,,,,,,2008.0752,200704249487,25-Jun-08,24-Apr-07,40-X,RH-2,24-Apr-07,-122.456986,37.723345,2966,Resident,-1,Construction,13,1,0,,,,,,,,3761,6942,46,,,11,,,,,,
6951021,285 Ocean Av,"South Central, Other",PL Approved,18-Nov-09,9,4,Demo existing single-story commercial unit and construct new 4-story building with 2 commercial units and 4 residential units.,,Mixed Use,NC-1,46,2236,0,,,,2236,,2009.0512,,11-Jun-09,,40-X,NC-1,11-Jun-09,-122.442728,37.723013,2972,Mixres,-1,PL Approved,3,4,368,,,-1868,,2236,,,2929,6951,21,,,11,J.C. Engineering,Javier Chavarria,650-355-0615,Javier Chavarria 650-355-0615,"Pacifica, CA 94044","225 Rockaway Beach Av, No. 400"
6955014,4722 Mission St,"South Central, Other",BP APPROVED,26-Jul-07,9,8,Demolish existing commercial building on lot 15 and demolish existing two-story mixed use building on lot 14 and construct new mixed use building with 8 residential units 8 parking spaces and one commercial space. CU required for demolition of residential,DEMOLISH 2 STORIES OF 1 DWELLING UNIT.,Mixed Use,NC-3,48,2000,0,0,0,0,2000,0,2006.0208,200612290749,9-Feb-06,29-Dec-06,65-A,NC-3,9-Feb-06,-122.436485,37.722746,2974,Mixres,-1,BP Approved/Issued/Re-Instated,9,7,400,0,0,0,0,400,0,,5018,6955,14,8,8,11,Best Design & Construction Co.,Alex Nie,415-656-3528,Alex Nie 415-656-3528,"Brisbane, CA 94005",100 Old Country Road Ste 100C
6969001,5050 Mission St,"South Central, Other",PL Approved,14-Aug-08,4,61,"The proposed project would demolish the existing retail and auto repair shop and construct a 61-unit residential building, 8,000 sq. ft. of retail, and 82 parking spaces. The building would be 60 feet in height plus basement and would be approximately 113",,Mixed Use,NC-3,32,8000,,,,,8000,,2006.1213,,10-Mar-08,,65-A,NC-3,10-Mar-08,-122.440393,37.717564,2980,Mixres,-1,PL Approved,5,61,7030,,,,,7030,,,25254,6969,1,82,82,11,"5050 Development, LLC",Paul O'Driscoll,415-572-0522,Paul O'Driscoll 415-572-0522,"San Francisco, CA 94127",PO Box 27446
6986040,715 Holloway Av,"Ingleside, Other",BP Filed,6-Mar-07,14,2,Proposal includes: extension of the existing first and second floors toward the rear of the lot; construction of a third floor vertical addition; change the existing single-family dwelling to a two-family dwelling and remove & replace the front entry stai,HORIZONTAL AND VERTICAL EXTENSION TO CONVERT AN EXISTING SINGLE FAMILY DWELLING INTO 2 UNITS. SPRINK,Residential,RH-2,41,0,,,,,,,2008.0942,200703065518,31-Jul-08,6-Mar-07,40-X,RH-2,6-Mar-07,-122.460467,37.721683,2986,Resident,0,BP Filed,6,1,0,,,,,,,,2531,6986,40,,,11,Dickson Consulting Group,John Lau,415 831-7180,John Lau 415 831-7180,"San Francisco, CA  94121","3900 Geary Boulevard, Suite #201"
7016023,652 Lakeview Av,"Ingleside, Other",BP ISSUED,28-Sep-11,14,1,,ERECT A THREE STORY SINGLE FAMILY DWELLING,Residential,RH-1,35,0,0,0,0,0,0,0,2004.1041,200311240936,7-Sep-04,24-Nov-03,40-X,RH-1,24-Nov-03,-122.457838,37.7184,2994,Resident,-1,BP Approved/Issued/Re-Instated,11,1,0,0,0,0,0,0,0,,2500,7016,23,,,11,,Jian Wang,601-8818,Jian Wang 601-8818,"San Francisco, CA  94116",2430 Yorba Street
7036012,345 Louisburg St,"Ingleside, Other",BP Filed,21-Mar-07,14,1,,TO ERECT 3 STORY SINGLE FAMILY DWELLING,Residential,RH-1,43,0,,,,,,,,200703216875,,21-Mar-07,40-X,RH-1,21-Mar-07,-122.450965,37.718844,2999,Resident,0,BP Filed,6,1,0,,,,,,,,1706,7036,12,,,11,,,,,,
7044A006,5498 Mission St,"South Central, Other",PL Filed,18-Nov-09,4,6,Demolition and contruct new mixed use 3-story building with 6 residential units and bottom floor commercial.,to erect 6 dwelling units with 2 story new bldg; to demolish 5 dwelling units with retail space,Mixed Use,NC-2,22,0,,,,,,,2009.0812,200804159728,28-Aug-09,15-Apr-08,40-X,NC-2,15-Apr-08,-122.44476,37.712769,3001,Resident,0,Planning Filed,3,1,0,,,,,,,,5156,7044A,6,,,11,,Chuck Fields,510.381.7544,Chuck Fields 510.381.7544,"Oakland, CA  94623",PO Box 23521
7060020,192 Majestic Av,"Ingleside, Other",BP ISSUED,3-Sep-08,14,1,,TO ERECT A NEW 2 STORY SINGLE FAMILY DWELLING UNIT,Residential,RH-1,26,0,0,0,0,0,0,0,,200601051583,,5-Jan-06,40-X,RH-1,5-Jan-06,-122.453084,37.71576,3006,Resident,-1,BP Approved/Issued/Re-Instated,11,1,0,0,0,0,0,0,0,,3430,7060,20,,,11,,,,,,
7088056,320 Randolph St,"Ingleside, Other",BP APPROVED,13-Dec-07,9,8,"To construct a mixed-use building with 8 market rate residential units with 1:1 off-street parking, a residential care facility with 18 rooms to accomodate up to 36 occupants and two retail/commercial spaces on ground floor.",DEMOLISH 2 STORIES RETAIL AND OFFICE BUILDING.,Mixed Use,NC-1,25,6258,,5285,,,973,,2010.0045,200608290926,21-Jan-10,29-Aug-06,40-X,NC-1,29-Aug-06,-122.465553,37.714412,3020,Mixres,-1,BP Approved/Issued/Re-Instated,9,8,6258,5285,,,,973,,,7503,7088,56,,,11,Town Consulting Inc.,Tony Kim,415-246-8855,Tony Kim 415-246-8855,"San Francisco, CA  94118","100 Clement Street, 3rd Floor"
7092070,239 Minerva St,"Ingleside, Other",PL Approved,22-Jul-09,14,2,"Demolish existing 1-story substandard, non-comforming single-family resindece at rear of lot, lot line adjustment with lot 069, divide into 2 parcels and construct a single-family home on each site.",,Residential,RH-1,20,0,,,,,,,2009.0297,,9-Apr-09,,40-X,RH-1,9-Apr-09,-122.460539,37.715606,3021,Resident,-1,PL Approved,3,1,0,,,,,,,,5000,7092,70,,,11,Dickson Consulting Group,John Lau,415 831-7180,John Lau 415 831-7180,"San Francisco, CA  94121","3900 Geary Boulevard, Suite #201"
7098008,5640 Mission St,"South Central, Other",PL Approved,5-Feb-09,12,0,expand a church,,Mixed Use,NC-2,13,5959,,5959,,,,,2008.0367,,20-Mar-08,,40-X,NC-2,20-Mar-08,-122.447604,37.710978,3022,CIE,-1,PL Approved,5,0,3866,3866,,,,,,,5377,7098,8,,,11,Lincoln Lue Associates Architects,Lincoln Lue,415 665-5623,Lincoln Lue 415 665-5623,"San Francisco, CA 94122",1567 33rd Avenue
7114035,283 Broad St,"Ingleside, Other",CONSTRUCTION,27-Aug-12,14,1,,ERECT 2 STORY SINGLE FAMILY DWELLING.,Residential,RH-1,10,0,,,,,,,,200806124272,,12-Jun-08,40-X,RH-1,12-Jun-08,-122.461749,37.713033,3040,Resident,-1,Construction,13,1,0,,,,,,,,7450,7114,35,,,11,,,,,,
7303001,3711 19th Ave,Park Merced,PL APPROVED,25-May-11,4,8898,"Master redevelopment program for 116-ac Parkmerced site, proposed to retain existing midrise bldgs and demo/replace all others w/ 4-14-story residential bldgs, on-site relocation of existing residents @ current rent-controlled rates, concurrent infrastruc",,Residential,RM-1,888,521450,91390,,,,430060,,2008.0021,,7-Dec-09,,40-X/130-D,RM-1/RM-4,7-Dec-09,-122.475451,37.7205,3093,Mixres,-1,PL Approved,2,5677,478383,,,80615,,397768,,,5207434,7303,1,10173,6975,7,Parkmerced Investors LLC,Seth Mallen,415 584-8096,Seth Mallen 415 584-8096,"San Francisco, CA 94132",3711 19th Ave
7331003,800 Brotherhood Way,Park Merced,PL Approved,10-Dec-07,4,182,"The project site is currently an 8.15-acre parcel of vacant land.  The proposed project involves the subdivision of the site into 127 lots and the construction of 127 buildings, including 66 single-family homes, 39 two-unit buildings, and 22 three-unit bu",,Residential,RM-1,884,0,0,0,0,0,0,0,2003.0536,,23-Jul-03,,40-X,RM-1,23-Jul-03,-122.47841,37.714747,3095,Resident,-1,PL Approved,5,182,0,0,0,0,0,0,0,,964807,7331,3,360,360,7,Mission Development Group,Steve Riter,925 467-9000,Steve Riter 925 467-9000,"Pleasanton, CA  94588","5000 Hopyard Road, Suite 170"
7551033,2395 Diamond St,Central,BP Filed,15-Jun-07,14,1,"SUBDIVISION OF ONE LOT INTO TOW LOTS, VERTICAL ADDITION ON EXISTING 1,025 SF SINGLE-FAMILY RESIDENCE TO TOTAL 2,020 SF, AND NEW CONSTRUCTION OF SINGLE-FAMILY RESIDENCE ON NEW SUBDIVIDED LOT.",ADDITION TO (E) BUILDING PER PLAN.,Residential,RH-1,456,0,,,,,,,2007.1162,200706154066,10-Oct-07,15-Jun-07,40-X,RH-1,15-Jun-07,-122.436138,37.738422,3116,Resident,0,BP Filed,6,1,0,,,,,,,,4214,7551,33,,,8,,Carolyn Liu,415 218-7000,Carolyn Liu 415 218-7000,"San Francisco, CA 94134",543 Somerset Street
8709004,1600 Owens St,Mission Bay,BP ISSUED,3-Jun-08,10,0,"Section 321 allocation for 228,000 gsf of office development in new 10-story (approximately 160') 245,500 gsf laboratory/office building with ground-floor retail, no on-site parking (off-street parking to be provided on adjacent parcel - Parcel 6).  Missi","ERECT 10-STORY, TYPE-1, OFFICE, LAB, RETAIL NEW BUILDING.",Mixed Use,MB-RA,653,245000,245000,,,,,,2006.1216,200711097802,29-Sep-06,9-Nov-07,MB-RA,MB-RA,29-Sep-06,-122.394204,37.769169,3133,MIPS,-1,BP Approved/Issued/Re-Instated,11,0,245000,,,245000,,,,,150407,8709,4,,,6,Alexandria Real Estate Equities,Terezia  Nemeth,415-554-8847,Terezia  Nemeth 415-554-8847,"San Francisco, CA 94158","1700 Owens Street, Suite 500"
8711014,1000 Fourth Street (block 13 East),"South of Market, Other",CONSTRUCTION,31-Jul-12,4,150,,ERECT 6 STORIES OF 150 DWELLING UNIT.,Mixed Use,MB-RA,655,0,0,0,0,0,0,0,,201012036075,,3-Dec-10,MB-RA,MB-RA,3-Dec-10,-122.387329,37.77337,3142,Resident,-1,Construction,13,150,0,0,0,0,0,0,0,23,65663,8713,1,,,6,,,,,,
8720016,1455 03rd St,Mission Bay,BP ISSUED,23-Apr-10,10,0,"Section 321 allocation for a total of up to 373,487 gsf of office development for three new buildings with approximately 380,999 gsf, 7,512 sf of ground floor retail space and 689 off-street parking spaces (to be located off-site on adjacent Block 27). Bu","NEW 10 STORY BLDG FOR OFFICE, LAB AND RETAIL CORE AND SHELL",Commercial,C-3-G,650,380999,373499,,,,7500,,2006.1509,200806104062,5-Oct-06,10-Jun-08,150-S/320-S,C-3-G,5-Oct-06,-122.389378,37.771035,3146,MIPS,-1,BP Approved/Issued/Re-Instated,11,0,380999,,,373499,,7500,,,364862,3837,7,,,6,Alexandria Real Estate Equities,Nanami Deshazo,626-578-0777,Nanami Deshazo 626-578-0777,"Pasadena, CA 91101","385 E. Colorado Boulevard, #299"
8721012,455 Mission Bay S Blvd,Mission Bay,BP Filed,26-Jun-08,10,0,"Section 321 allocation for 202,893 gsf of office development in a new 6-story, 216,491 gsf building with 12,169 sf of ground floor retail and 369 off-street parking spacesto be located in a future garage on adjacent parcels (MB Block 27, Parcels 2 and 3).",ERECT A 6 STORIES OFFICE/LAB/RETAIL BUILDING.,Mixed Use,MB-RA,649,333945,317248,,,,16697,,2006.1536,200806265407,5-Oct-06,26-Jun-08,MB-RA,MB-RA,5-Oct-06,-122.386939,37.76898,3147,MIPS,-1,BP Filed,13,0,333945,,,317248,,16697,,,251220,8721,12,,,6,Alexandria Real Estate Equities,Nanami Deshazo,626-578-0777,Nanami Deshazo 626-578-0777,"Pasadena, CA 91101","385 E. Colorado Boulevard, #299"
8722001,300 16th St,Mission Bay,PL Filed,20-Dec-11,4,,To construct a new campus for the Salesforce.com headquarters.,,Mixed Use,MB-RA,929,1314998,1259680,6000,,,49318,,2011.1423,,20-Dec-11,,MB-RA,MB-RA,20-Dec-11,-122.389264,37.766969,3149,MIPS,0,Planning Filed,5,0,1314998,6000,,1259680,,49318,,,522185,8722,1,,,6,Salesforce.com,Salesforce.com,,Salesforce.com ,,
9900015,Pier 15,Northeast,PL Filed,11-Aug-09,12,0,"The project is the Exploratorium Relocation to Piers 15/17.  The Exploratorium, a not-for-profit organization that provides science, are, and human perception exhibits, proposes to relocate its operations from the Palace of Fine Arts, at 3601 Lyon Street ",,Industrial,M-1,828,285381,,285381,,,,,2006.1073,,27-May-09,,40-X,M-1,27-May-09,-122.397874,37.801185,3158,CIE,0,Planning Filed,4,0,36248,36248,,,,,,23,417368,9900,15,,,3,Wilson Meany Sullivan,James Suh,415-905-5364,James Suh 415-905-5364,San Francisco CA 94111,"4 Embarcadero Center, Ste 3330"
9900041H,Pier 31,Northeast,PL Filed,27-Aug-08,3,0,"Improvements to Pier 33 Bulkhead and Pier 31 1/2 deck, replacement of floating vessel berth, reconfigure existing vehicular circulation, add Bayside walk and interpretive exhibits, for visitor areas and Hornblower Cruises passenger service operations to A",,Commercial,C-2,854,82325,,,,74250,8075,,2008.1032,,27-Aug-08,,40-X,C-2,27-Aug-08,-122.403824,37.80641,3161,PDR,0,Planning Filed,2,0,12990,,,,12490,500,,23,42067,9900,041H,18,0,3,Hornblower Cruises & Events,Joe R. Wyman,788-8866,Joe R. Wyman 788-8866,San Francisco  94111,"Pier 3, on The Embarcadero"
3540023,2260 15th St,Buena Vista,CONSTRUCTION,3-Aug-11,14,3,,NEW DWELLING UNIT IN (E) GROUND FLOOR STORAGE AREA. INSTALL INTERMEDIATE PICKETS AT REAR STAIR GUARD,Residential,RH-3,564,0,,,,,,,,200905128229,,12-May-09,40-X,RH-3,12-May-09,-122.434562,37.765912,3166,Resident,-1,Construction,13,1,0,,,,,,,,5589,3540,23,,,8,,,,,,
3590056,355 Capp St,Mission,BP Filed,6-Apr-09,14,3,"New dwelling located within the existing building evelope.  Ground Floor.
New dwelling requires an exposure variance.   Possible usable open space variance request.  Two buildings are located on the subject lot.",LEGALIZE EXISTING SPACE ON GRD FL TO ADD ADDITIONAL DWELING UNIT TO BLDG. THE BLDG WILL NOW BECOME A,Residential,RTO,191,0,,,,,,,2010.0078,200904065668,4-Feb-10,6-Apr-09,40-X,RTO-Mission,6-Apr-09,-122.418013,37.761037,3168,Resident,-1,BP Filed,6,1,0,,,,,,,,3676,3590,56,,,9,,Juan Fernandez,925-300-8670,Juan Fernandez 925-300-8670,"Walnut Creek, CA 94598",2836 Deerpark Drive
501023,1269 Lombard St,Northeast,CONSTRUCTION,4-Oct-12,14,2,Demolition of rear building and construction of 2-unit building.,CONSTRUCTION OF FOUR-STORY WOOD FRAME TWO FAMILY DWELLING.,Residential,RH-2,817,0,,,,,,,2009.0443,200906090028,26-Jun-09,9-Jun-09,40-X,RH-2,9-Jun-09,-122.422287,37.801478,3177,Resident,-1,Construction,13,1,0,,,,,,,,3151,501,23,,,2,Gladstone & Associates,Brett Gladstone,415.434.9500,Brett Gladstone 415.434.9500,"San Francisco, CA 94108","177 Post Street, Penthouse"
524031,1338 Filbert St,Northeast,PL Approved,8-Apr-10,4,8,Renovation and remodel of exisitng cottages and construct a new 3-story addition at the rear of the lot.,,Residential,RH-2,818,0,,,,,,,2009.0412,,15-Sep-09,,40-X,RH-2,15-Sep-09,-122.421565,37.799951,3178,Resident,-1,PL Approved,5,4,0,,,,,,,,8644,524,31,,,2,Reuben and Junius,Andrew Junius,415-567-9000,Andrew Junius 415-567-9000,"SF, CA  94104","One Bush Street, Suite 600"
829007,506 Oak St,Western Addition,BP Filed,25-Jun-09,14,1,Lot split,TO ERECT 2 STORY SINGLE FAMILY DWELLING,Residential,RH-3,255,0,,,,,,,2008.028,200906251343,4-Mar-08,25-Jun-09,40-X,RH-3,4-Mar-08,-122.427818,37.774496,3180,Resident,0,BP Filed,6,1,0,,,,,,,,3300,829,7,,,5,,,, ,,
4004024,251 Arkansas St,Showpl/Potrero,BP APPROVED,11-Aug-10,14,3,"New construction of a 4-story, 3-unit residential building as a demolition replacement for the existing single-family home (2009.0583D).","TO ERECT 3 STORY, 3 FAMILY DWELLING OVER BASEMENT GARAGE",Residential,RH-3,214,0,,,,,,,2009.1165,200905208827,23-Dec-09,20-May-09,40-X,RH-3,20-May-09,-122.398348,37.763095,3181,Resident,-1,BP Approved/Issued/Re-Instated,9,2,0,,,,,,,,2500,4004,24,,,10,Forum Design,Warner Schmalz,415-252-7063,Warner Schmalz 415-252-7063,"San Francisco, CA  94103",1014 Howard St.
6771032,279 Monterey Bl,"Ingleside, Other",BP APPROVED,18-May-10,14,2,Demoiltion of existing single-family residence.,"TO ERECT 4 STORY, 2 DWELLING UNITS",Residential,RH-2,71,0,,,,,,,2008.0374,200906261414,25-Mar-08,26-Jun-09,40-X,RH-2,25-Mar-08,-122.441411,37.731461,3184,Resident,-1,BP Approved/Issued/Re-Instated,9,1,0,,,,,,,,2824,6771,32,,,8,"Elevation Architects, Inc.",Jonathan Pearlman,537-1125x15,Jonathan Pearlman 537-1125x15,"San Francisco, CA  94107",1099 23rd Street Suite 18
7108033,77 Farallones Street,"Ingleside, Other",BP Filed,31-Jul-12,14,2,"To add a second dwelling-unit within an RH-1 District, per Planning Code Section 209.1(f.) The lot measures 6,250 square feet.","INTERIOR REMODEL,CONVERT EXISTING SINGLE FAMILY TO TWO UNITS PER APPROVED CONDITIONAL USE APPLICATIO",Residential,RH-1,28,0,,,,,,,2009.0396,201207316121,18-May-09,31-Jul-12,40-X,RH-1,18-May-09,-122.454972,37.713971,3185,Resident,-1,BP Filed,5,1,0,,,,,,,,6362,7108,33,,,11,,Bin Lei,415-246-8228,Bin Lei 415-246-8228,"Burlingame, CA 94010",1605 Hunt Drive
73020,835 Lombard St,Northeast,BP Filed,18-Feb-09,14,3,,Convert 2-unit bldg. to 3-unit bldg. w/o enlarging bldg. Add 1-car parking space @ front driveway ar,Residential,RM-1,831,0,,,,,,,,200902182284,,18-Feb-09,40-X,RM-1,18-Feb-09,-122.415264,37.802404,3195,Resident,0,BP Filed,6,1,0,,,,,,,,3428,73,20,,,3,,,,,,
1086006,253 Parker Av,Richmond,CONSTRUCTION,12-Oct-12,14,3,"Vertical rear addition to add 3rd floor flat, extend the building deeper into rearyard and covert basement into 3 car garage.","REAR AND 4TH FLOOR ADDITON.  3RD UNIT AT 4TH FL WITH DECKS.  GR FL ADDITION OF 3 CAR GARAGE, WORK RO",Residential,RM-1,289,0,,,,,,,2009.0909,200901220624,11-Jun-10,22-Jan-09,40-X,RM-1,22-Jan-09,-122.454155,37.78083,3197,Resident,-1,Construction,13,1,0,,,,,,,,3125,1086,6,3,3,1,,John Barry,415-564-0225,John Barry 415-564-0225,"San Francisco, CA 94122",1627 10th Avenue
1154023,7 Seymour St,Western Addition,CONSTRUCTION,12-Oct-10,14,2,"To legalize an existing cottage in the rear yard as a second dwelling unit, requiring rear yard and non-complying structure variances.","To comply with nov 200733175, shoring, excavation , concrete foundation + slab structural steel, tie",Residential,RH-3,278,0,,,,,,,2009.0104,200712200979,6-Feb-09,20-Dec-07,40-X,RH-3,20-Dec-07,-122.437872,37.778963,3198,Resident,-1,Construction,13,1,0,,,,,,,,2253,1154,23,,,5,,maryline Linares,94115,maryline Linares 94115,"San Francisco, CA ",7 Seymour Street
