Block Lot,Address,Planning Neighborhood,Best Stat,Best Date,Units,Planning Project Description,DBI Project Description,Zoning_Generalized,Zoning_Simplified,TAZ,Total GSF (Commercial),Office,"Cult, Inst, Educ",Medical,"Prod, Dist, Rep","Ret, Ent",Visitor,Planning ID,DBI Permit,Planning Filed,DBI Filed,HEIGHTLIMIT,ZONING,FirstFiled,Longitude,Latitude,ObjectID,TempSelect,LANDUSE,EntitlementStatus,sort,ACTION_SEQ,Net Added Units,Net Added SF
5339007,5075 3RD ST,"BVHP Area A,B",BP Filed,9/11/09,0,"Demo and construction of a new Bayview Branch Library
R-Case: The project proposes to remove existing Bayview Anna E Waden Branch Library and the neighborhing storefront.  The new library will be an approximately 9,000 square feet one-story building with ",New construction of a  one story public library.,Public,P,406,"9,000",,"9,000",,,,,2009.0304,2.00909E+11,,9/11/09,40-X,P,11-Sep-09,-122.391583,37.73255,3251,,CIE,-1,BP Filed,6,,"9,000"
1550029,646 BALBOA ST,Richmond,BP Filed,9/16/09,3,,"Remodel existing house, preserve original house facade. Add horizontal and vertical addition. Add 2 ",Residential,RM-1,285,0,,,,,,,,2.00909E+11,,9/16/09,40-X,RM-1,16-Sep-09,-122.465889,37.777396,3234,,Resident,0,BP Filed,6,2,0
5339006A,5099 03RD ST,"BVHP Area A,B",BP Filed,9/22/09,0,"Demo and construction of a new Bayview Branch Library
R-Case: The project proposes to remove existing Bayview Anna E Waden Branch Library and the neighborhing storefront.  The new library will be an approximately 9,000 square feet one-story building with ",TO DEMOLISH 1 STORY PUBLIC LIBRARY,Public,P,389,"9,000",,"9,000",,,,,2009.0304,2.00909E+11,10/6/09,9/22/09,40-X,P,22-Sep-09,-122.391369,37.732488,3182,,CIE,-1,BP Filed,5,,173
1431022,132 CLEMENT ST,Richmond,BP Filed,12/28/09,2,Convert existing commercial space on second and third floor to residential.  CU request is to establish housing w/o off-street parking.,Extend grnd. flr. retail into ext. tradesman hall. Convert (e) 2nd. & 3rd. flrs. from off. to res. u,Mixed Use,NCD,312,0,,,,,,,2009.0884,2.00912E+11,9/22/09,12/28/09,40-X,INNER CLEMENT,22-Sep-09,-122.460545,37.783256,854,,Resident,-1,BP Filed,5,2,"-2,000"
1422016,287 11TH AV,Richmond,BP Filed,10/8/09,3,,Three story horizontal addition and one dwelling unit addition on the ground floor. Add 2  bedrooms ,Residential,RM-1,307,0,,,,,,,,2.0091E+11,,10/8/09,40-X,RM-1,8-Oct-09,-122.470127,37.783043,3277,,Resident,0,BP Filed,6,1,0
6706027,729 CONGO ST,"Ingleside, Other",BP Filed,10/14/09,1,,ERECT A 4 STORY SINGLE FAMILY DWELLING,Residential,RH-1,95,0,,,,,,,,2.0091E+11,,10/14/09,40-X,RH-1,14-Oct-09,-122.441672,37.73563,3306,,Resident,0,BP Filed,6,1,0
7106059,202 BROAD ST,"Ingleside, Other",BP Filed,10/20/09,2,,CONSTRUCTION OF THREE-STORY TWO DWELLING UNITS.,Mixed Use,NC-1,20,0,,,,,,,,2.0091E+11,,10/20/09,40-X,NC-1,20-Oct-09,-122.4591745,37.7131958,3308,,Resident,0,BP Filed,6,2,0
7106058,200 BROAD ST,"Ingleside, Other",BP Filed,10/20/09,2,,"CONSTRUCTION OF THREE-STORY TWO DWELLING UNITS WITH COMMERCIAL, MIX USE.",Mixed Use,NC-1,20,0,,,,,,,,2.0091E+11,,10/20/09,40-X,NC-1,20-Oct-09,-122.459183,37.713377,3307,,Resident,0,BP Filed,6,2,0
1219011,1140 PAGE ST,Buena Vista,BP Filed,11/3/09,4,"Addition and alteration of existing 2-unit residence to proposed 4 unit, 4parking space residential building.",VERTICAL & HORIZONTAL ADDITION - ADDITION & SUBSTANTIAL ALTERATION TO (E) 2-STORY SINGLE FAMILY DWEL,Residential,RM-2,245,0,,,,,,,2009.1003,2.00911E+11,10/22/09,11/3/09,40-X,RM-2,22-Oct-09,-122.439632,37.772183,3275,,Resident,0,BP Filed,6,2,0
1510025,590 35TH AV,Richmond,BP Filed,10/28/09,2,,"HORZONTAL ADDITION AT REAR, 1 STORY VERTICAL ADDITION. CONVERT SINGLE FAMILY TO 2 UNITS. BOTH UNITS ",Residential,RH-2,279,0,,,,,,,,2.0091E+11,,10/28/09,40-X,RH-2,28-Oct-09,-122.495041,37.777906,3280,,Resident,0,BP Filed,6,1,0
2772016,580 DIAMOND ST,Central,BP Filed,10/28/09,2,Demolition of existing single-family residence and constructio of 2 new residential homes.,"TO ERECT 4 STORY BUILDING, 2 UNIT BUILDING",Residential,RH-2,161,0,,,,,,,2010.0055,2.0091E+11,1/27/10,10/28/09,40-X,RH-2,28-Oct-09,-122.43683,37.753093,3294,,Resident,0,BP Filed,6,1,0
997004,3310 CLAY ST,Richmond,BP Filed,11/2/09,1,,ERECT A  FOUR STORY SINGLE FAMILY DWELLING.,Residential,RM-1,331,0,,,,,,,,2.00911E+11,,11/2/09,40-X,RM-1,2-Nov-09,-122.4473823,37.7890569,3290,,Resident,0,BP Filed,6,1,0
213001,1199 MASON ST,Northeast,BP Filed,11/10/09,0,Demo and new construction of Chinese Recreation Ceter,NEW CONSTRUCTION OF 3-STORY CHINESE RECREATION CENTER WIYH OUTDOOR PLAYGROUND. WORK TO INCLUDE DEMOL,Public,P,344,"21,990",,"21,990",,,,,2009.1041,2.00911E+11,11/3/09,11/10/09,65-A,P,3-Nov-09,-122.4113786,37.7945012,3286,,CIE,0,BP Filed,6,0,"-1,010"
4108003F,2420 03RD ST,Central Waterfront,BP Filed,11/17/09,1,,TO ERECT 4 STORY SINGLE FAMILY DWELLING,Mixed Use,UMU,521,0,,,,,,,,2.00911E+11,,11/17/09,45-X,UMU,17-Nov-09,-122.388699,37.758984,2169,,Resident,0,BP Filed,2,1,"2,835"
1464014,446 33RD AV,Richmond,BP Filed,11/23/09,2,,VERTICAL & HORIZONTAL ADDITION WITH ADD A 3RD FLOOR WITH FRONT SETBACK & SIDE SETBACKS. ADD UNIT 2 W,Residential,RH-2,675,0,,,,,,,,2.00911E+11,,11/23/09,40-X,RH-2,23-Nov-09,-122.493054,37.780738,3278,,Resident,0,BP Filed,6,1,0
4058008,616 20TH ST,Central Waterfront,BP Filed,11/24/09,16,,"TO ERECT 5 STORY 16 DWELLING UNITS, OVER RESTAURANT",Mixed Use,UMU,558,"2,000",,,,,"2,000",,,2.00911E+11,,11/24/09,68-X,UMU,24-Nov-09,-122.387975,37.760768,3298,,Mixres,0,BP Filed,6,16,"-1,000"
1467020,483 35TH AV,Richmond,BP Filed,11/30/09,3,,LEGALIZE OCCUPANCY OF ILLEGAL UNIT ON GROUND FLOOR FOR OWNER WITH AMBULATORY DIFFICULTIES. REMODEL U,Residential,RH-2,295,0,,,,,,,,2.00911E+11,,11/30/09,40-X,RH-2,30-Nov-09,-122.495744,37.779998,3279,,Resident,0,BP Filed,6,1,0
837003,1 FRANKLIN ST,Market Octavia,BP Filed,12/3/09,35,"Construct a new 8-story, 35-unit mixed-use building with ground-floor commercial.  See 2008.1328",CONSTRUCTION OF 8-STORY 35 DWELLING UNITS W/RETAIL & PARKING.,Mixed Use,NCT-3,588,"2,384",,,,,"2,384",,2010.0102,2.00912E+11,2/19/10,12/3/09,50-X/85-X,NCT-3,3-Dec-09,-122.420842,37.774342,574,,Mixres,-1,BP Filed,6,35,"2,384"
453011,977 NORTH POINT ST,Northeast,BP Filed,12/10/09,2,,FRONT BUILDING: REDUCE EXISTING RETAIL SPACE CONFIGURATION TO ADD NEW PARKING GARAGE OFF STREET WITH,Mixed Use,NC-1,836,0,,,,,,,,2.00912E+11,,12/10/09,40-X,NC-1,10-Dec-09,-122.423139,37.8050659,3271,,Resident,0,BP Filed,6,1,0
1419003,223 14TH AV,Richmond,BP Filed,12/18/09,2,,One -story horizontal rear addition at ground level for new /second residential unit with rood deck ,Residential,RH-2,306,0,,,,,,,,2.00912E+11,,12/18/09,40-X,RH-2,18-Dec-09,-122.47343,37.783909,3276,,Resident,0,BP Filed,6,1,0
4624004,63 WEST POINT RD,Other S Bayshore,BP Filed,12/22/09,52,,Multiple Permits,Residential,RM-1,445,0,,,,,,,,2.00912E+11,,12/22/09,40-X,RM-1,22-Dec-09,-122.3808161,37.7367345,3299,,Resident,0,BP Filed,6,52,0
3729039,721 CLEMENTINA ST,WSoMa,BP Filed,12/24/09,1,,REMODEL FIRST TWO FLOORS & ADD 2 ADDITIONAL STORIES OF RESIDENTIAL. CONVERT (E) 2ND FLOOR TO RESIDEN,Industrial,SLR,596,0,,,,,,,2006.1251,2.00912E+11,,12/24/09,50-X,SLR,24-Dec-09,-122.41092,37.774969,3283,,Resident,-1,BP Filed,6,1,0
297009,693 SUTTER ST,Downtown,BP Filed,12/24/09,17,,"Revision to previous approved permits, 2008/0429/0902, 2007/1224/1222, 2005/0824/1157, 2004/0917/449",Commercial,C-3-G,736,0,0,0,0,0,0,0,,2.00912E+11,,12/24/09,80-130-F,C-3-G,24-Dec-09,-122.411594,37.788708,216,,Resident,0,BP Filed,7,1,"-12,178"
818043,447 LINDEN ST,Market Octavia,BP Filed,12/30/09,2,,"construct new 4-story, 2-unit building.",Residential,RTO,268,0,,,,,,,,2.00912E+11,,12/30/09,,,30-Dec-09,-122.425277,37.7759659,3289,,Resident,0,BP Filed,6,2,0
5512031,62 PERALTA AV,Bernal Heights,BP Filed,12/31/09,2,,"ERECT A 2 UNIT, 3 STORY RESIDENTIAL BUILDING",Residential,RH-2,126,0,,,,,,,,2.00912E+11,,12/31/09,40-X,RH-2,31-Dec-09,-122.4064492,37.747779,3303,,Resident,0,BP Filed,6,2,0
5512029,56 PERALTA AV,Bernal Heights,BP Filed,12/31/09,2,,"ERECT A 2 UNIT, 2 STORY RESIDENTIAL BUILDING",Residential,RH-2,126,0,,,,,,,,2.00912E+11,,12/31/09,40-X,RH-2,31-Dec-09,-122.4063771,37.7478222,3302,,Resident,0,BP Filed,6,2,0
3557024,162 LANDERS ST,Market Octavia,BP Filed,1/15/10,2,,"THREE STORIES HORIZONTAL ADDITION, AND ONE STORY VERTICAL ADDITION ,AND ADD ONE DWELLING UNIT INCL. ",,,231,0,,,,,,,,2.01001E+11,,1/15/10,,,15-Jan-10,-122.427936,37.765163,4202,,Resident,0,BP Filed,6,1,0
1542039,430 03RD AV,Richmond,BP Filed,1/22/10,3,,rear addition; 3-levels,,,636,0,,,,,,,,2.01001E+11,,1/22/10,,,22-Jan-10,-122.460691,37.780495,4200,,Resident,0,BP Filed,6,1,0
3618071,990 GUERRERO ST,Central,BP Filed,2/3/10,3,,CONSTRUCT ADDITIONAL DWELLING UNITS @ EXISTING BASEMENT,,,165,0,,,,,,,,2.01002E+11,,2/3/10,,,3-Feb-10,-122.423547,37.755364,4203,,Resident,0,BP Filed,6,1,0
6360001,60 BURR AV,"South Central, Other",BP Filed,2/23/10,0,,CONSTRUCTION OF A 1 STORY ATTACHED BUILDING TO ENCLOSE EXISTING SWIMMING POOL AND IMPROVEMENT TO EXI,,,1,"4,624",,"4,624",,,0,,,2.01002E+11,,2/23/10,,,23-Feb-10,-122.4142605,37.7098345,4204,,CIE,0,BP Filed,6,0,"4,624"
2205035,2192 FUNSTON AV,Inner Sunset,BP Filed,2/26/10,1,,CONSTRUCT 4 STORIES OVER BASEMENT SINGLE FAMILY DWELLING WITH TWO CAR PARKING.,,,480,0,,,,,,,,2.01002E+11,,2/26/10,,,26-Feb-10,-122.4694256,37.7472666,4212,,Resident,0,BP Filed,6,1,0
1270053,179 DELMAR ST,Buena Vista,BP Filed,3/5/10,2,,HORIZONTAL & VERTICAL EXTENSION TO CONVERT A SINGLE FAMILY INTO 2 FAMILY DWELLINGS. RAISE BLDG 2' TO,,,229,0,,,,,,,,2.01003E+11,,3/5/10,,,5-Mar-10,-122.4452469,37.7658005,4198,,Resident,0,BP Filed,6,1,0
6618004,1562 DOLORES ST,Central,BP Filed,3/11/10,2,,Convert (E) garage/First floor into second dwelling unit. Add 2' x 9' horizontal extension at first ,,,119,0,,,,,,,,2.01003E+11,,3/11/10,,,11-Mar-10,-122.42481,37.744282,4206,,Resident,0,BP Filed,6,1,0
3749064,FOLSOM AND ESSEX,TB Combo,BP Filed,3/15/10,120,Housing for Chronically homeless,"NEW CONSTRUCTION - 8 stories of 120 DU's and future  supportive office(s), retail(s), restaurant(s) ",Industrial,M-1,730,0,0,0,0,0,0,0,,2.01003E+11,,3/15/10,84-X,M-1,15-Mar-10,-122.395689,37.78638,1929,2,Resident,0,BP Filed,,120,0
1412019,2034 CLEMENT ST,Richmond,BP Filed,3/16/10,3,,"DEMO FRONT PORTION OF BLDG, BUILD & EXPAND TO 3 APARTMENT UNITS, BUILD & EXPAND TO 3 CAR GARAGE @ 1S",,,315,0,,,,,,,,2.01003E+11,,3/16/10,,,16-Mar-10,-122.481282,37.782524,4199,,Resident,0,BP Filed,6,3,0
2372024A,3350 TARAVAL ST,Outer Sunset,BP Filed,3/18/10,1,,legalized (e) unpermitted remodeling of (e) garage into a residential in-law or secondary unit as pa,,,111,0,,,,,,,,2.01003E+11,,3/18/10,,,18-Mar-10,-122.502318,37.742125,4201,,Resident,0,BP Filed,6,1,0
6566022A,1443 CHURCH ST,Central,BP Filed,3/18/10,2,,"CREATE A NEW 1-BEDROOM APARTMENT WITHIN THE EXISTING GROUND FLOOR, GUEST SUITES WORK TO INCLUDE A NE",,,127,0,,,,,,,,2.01003E+11,,3/18/10,,,18-Mar-10,-122.426755,37.7479129,4205,,Resident,0,BP Filed,6,1,0
4991277,833-881 Jamestown,Candlestick,CONSTRUCTION,9/17/07,198,EE  Subdivide 30 acres into 271 lots & build a maximum of 520 units in a phased project.,BLDG #10 - ERECT A FOUR STORY THRITY SIX UNIT RESIDENTIAL BLDG,Commercial,C-2,880,0,0,0,0,0,0,0,1991.076,9924080S,2/19/91,11/13/99,40-X,RH-2,19-Feb-91,-122.386789,37.711415,2359,,Resident,-1,Construction,13,198,0
2041031,1740 09TH AV,Inner Sunset,CONSTRUCTION,4/26/10,2,"Demolition of existing building and construction of a new four story building with a preschool, small community meeting room and eight senior housing units with a two car garage;  variances for reduction of parking,  rear yard encroachment/height within e",TO ERECT 4 STORY 2 FAMILY DWELLING,Residential,RH-2,513,0,0,0,0,0,0,0,1999.041,2.00706E+11,1/21/99,6/20/07,40-X,RH-2,21-Jan-99,-122.465568,37.755781,1209,,Resident,-1,Construction,13,2,0
4044030,2198 03RD ST,Central Waterfront,CONSTRUCTION,7/20/07,24,"C for residential units in M-2 district
Q - 21 UNIT NEW CONDO (3 COMMERCIAL UNITS)",TO ERECT 24 DWELLING UNITS (4 STORIES)  WITH COMMERCIAL,Mixed Use,UMU,558,0,0,0,0,0,0,0,2002.0184,2.00005E+11,2/21/02,5/2/00,50-X,UMU,2-May-00,-122.388916,37.761902,2108,,Resident,-1,Construction,13,24,0
7155020,16 ORIZABA AV,"South Central, Other",CONSTRUCTION,12/18/08,1,,ERECT A TWO STORY SINGLE FAMILY DWELLING,Residential,RH-1,2,0,0,0,0,0,0,0,,2.00109E+11,,9/18/01,40-X,RH-1,18-Sep-01,-122.46246,37.709713,3064,,Resident,-1,Construction,13,1,0
5419005,1636 ARMSTRONG AV,"BVHP Area A,B",CONSTRUCTION,4/8/10,0,V FOR OFF-STREET PARKING: NO PARKING PROPOSED FOR THE CONSTRUCTION OF NEW CHURCH,ERECT A 2 STORY CHURCH CENTER.,Industrial,M-1,897,"7,500",0,"7,500",0,0,0,0,2001.1089,2.00302E+11,11/15/01,2/28/03,40-X,M-1,15-Nov-01,-122.392636,37.726618,2440,,CIE,-1,Construction,13,-1,"7,500"
5473015,3209 SAN BRUNO AV,"South Central, Other",CONSTRUCTION,4/22/10,8,,TO ERECT 3 STORY 2 DWELLING RESIDENCE,Residential,RM-1,44,0,0,0,0,0,0,0,,2.00201E+11,,1/9/02,40-X,RM-1,9-Jan-02,-122.400817,37.721284,2464,,Resident,-1,Construction,13,8,0
2799013,950 CORBETT AV,Central,CONSTRUCTION,3/13/07,3,3 New Unit Condominium,TO ERECT 4 STORY 3 DWELLING RESIDENCE,Residential,RM-1,167,0,0,0,0,0,0,0,2006.0641,2.00201E+11,,1/10/02,40-X,RM-1,10-Jan-02,-122.443645,37.751994,1059,,Resident,-1,Construction,13,3,0
3518007,252 09TH ST,WSoMa,CONSTRUCTION,4/22/09,2,Shadow Study for a new mixed-use building,ERECT A FIVE STORY COML BLDG WITH 2 RESIDENTIAL UNITS,Industrial,SLR,595,"3,750",0,0,0,0,"3,750",0,2002.082,2.00203E+11,7/18/02,3/15/02,50-X,SLR,15-Mar-02,-122.412427,37.774212,1464,,Mixres,-1,Construction,13,2,"3,750"
3518006,248 - 252 09TH ST,WSoMa,CONSTRUCTION,2/10/09,3,"The proposed project is the demolition and new construction of two buildings. The project involves demolition of two 2,250 sq.ft buildings, and construction of two buildings. 248 9th Street would be commercial building totaling 11,066 sq.ft., and 252 9th ",TO DEMOLISH 1 STORY THEATER,,,595,"14,826","14,826",,,0,,,2010.0222,2.00203E+11,3/26/10,3/15/02,,,15-Mar-02,-122.412521,37.774127,4216,,Mixres,-1,Construction,13,3,"5,326"
1066028,3150 GEARY BL,Richmond,CONSTRUCTION,9/17/07,8,"The proposed project involves the demolition of existing 2,850 gsf restaurant and construction of a 13,900 gsf residential building containing 7 dwelling units, 2,270 gsf of retail space and 7 off-street parking spaces.",ERECT A 4 STORIES 7 UNITS RESIDENTIAL BLDG WITH COML,Mixed Use,NC-3,686,580,0,0,0,0,580,0,2003.0263,2.00207E+11,9/25/03,7/17/02,40-X,NC-3,17-Jul-02,-122.452704,37.781987,699,,Mixres,-1,Construction,13,8,580
5279033,1675 JERROLD AV,Other S Bayshore,CONSTRUCTION,7/30/07,0,,ERECT 4 STORY WAREHOUSE & OFFICE,Industrial,M-1,407,"9,980","4,990",0,0,"4,990",0,0,,2.00208E+11,,8/2/02,65-J,M-1,2-Aug-02,-122.390794,37.739412,2268,,Mixed,-1,Construction,13,0,"9,980"
4228158,1301 Indiana St.,Central Waterfront,CONSTRUCTION,12/19/07,81,"The proposed project involves the demolition of the existing 14,800 gsf warehouse and construction of a 5 story 166,590 gsf residential building, containing up to 81 dwelling units, 5,000 gsf of retail space and 164 off-street parking space.  PUD exceptio",ERECT FIVE STORY RESIDENTIAL & RETAIL & WAREHOUSE,Industrial,PDR-1-G,535,"5,000",0,0,0,0,"5,000",0,2002.1303,2.00212E+11,1/17/03,12/24/02,58-X,PDR-1-G,24-Dec-02,-122.390975,37.753914,2209,,Mixres,-1,Construction,13,71,"-9,800"
1084010,3575 GEARY BL,Richmond,CONSTRUCTION,4/26/10,150,"07/15/2003 Shadow Study Prop K.
The proposed project involves the demolition of the existing 33,000 gsf Coronet Theater and construction of a 6-story 214,037 gsf affordable housing complex including 150 dwelling units, 53,957 gsf of office use, and 58 off",TO ERECT 6 STORY 150 DWELLING/OFFICES/PARKING,Mixed Use,NC-3,288,"53,957","53,957",0,0,0,0,0,2003.041,2.00702E+11,5/20/03,2/22/07,80-A,NC-3,20-May-03,-122.457286,37.781146,713,,Mixres,-1,Construction,13,150,"20,957"
1707047,4227 LINCOLN WY,Outer Sunset,CONSTRUCTION,3/25/08,1,,VERTICAL AND HORIZONTAL ADDITION,Residential,RH-2,216,0,0,0,0,0,0,0,,2.00306E+11,,6/20/03,40-X,RH-2,20-Jun-03,-122.503298,37.764167,1088,,Resident,-1,Construction,13,1,0
5676023,361 ELSIE ST,Bernal Heights,CONSTRUCTION,3/31/10,1,Mandatory DR to construct a new 2FD following the demoliton of a SFD.  ,ERECT A 3 STORY 2 UNIT RESIDENTIAL BLDG,Residential,RH-2,102,0,0,0,0,0,0,0,2004.0103,2.00308E+11,1/30/04,8/8/03,40-X,RH-2,8-Aug-03,-122.420111,37.738552,2551,,Resident,-1,Construction,13,1,0
1458005,431 26TH AV,Richmond,CONSTRUCTION,7/22/09,3,"Mandatory Discretionary Review under the Planning Commission's policy requiring review of new residential building in association with residential emoliton, of Building Permit Application no. 2003.09.26.5941, proposing to construct a four story, three uni",ERECT A THREE STORY THREE UNIT RESIDENTIAL BLDG,Residential,RM-1,661,0,0,0,0,0,0,0,2005.0914,2.00309E+11,9/22/05,9/26/03,40-X,RM-1,26-Sep-03,-122.486064,37.781312,884,,Resident,-1,Construction,13,2,0
4038009,1200 19TH ST,Showpl/Potrero,CONSTRUCTION,4/5/10,2,"The proposal is to erect a three-story, two-unit structure with a rooftop penthouse in zoning district RH-2. The proposal also included planting six new street trees along the street frontage of the property pursuant to Planning code Section 143.",ERECT FOUR STORY TWO UNIT RESIDENTIAL BLDG,Residential,RH-2,197,0,,,,,,,2007.1436,2.0031E+11,11/28/07,10/9/03,40-X,RH-2,9-Oct-03,-122.39459,37.76149,2102,,Resident,-1,Construction,13,1,0
1800010A,1359 45TH AV,Outer Sunset,CONSTRUCTION,6/19/08,2,,"HORIZONTAL ADDITION AT REAR, ADD ONE MORE UNIT",Residential,RH-2,206,0,0,0,0,0,0,0,,2.00404E+11,,4/14/04,40-X,RH-2,14-Apr-04,-122.505099,37.761258,1146,,Resident,-1,Construction,13,1,0
3508053,1340-1390 MISSION ST,Downtown,CONSTRUCTION,4/1/08,136,"Construction of two affordable housing developments totaling 236 units. 
Construction of two affordable housing developments on a 46,000 square foot site - one development would provide affordable housing for seniors and the other would provide affordable",,Commercial,C-3-G,608,"6,800",0,0,0,0,"6,800",0,2002.0927,,4/21/04,,150-S,C-3-G,21-Apr-04,-122.41525,37.77588,1457,,Mixres,-1,Construction,5,136,"-19,200"
599008,1840 WASHINGTON ST,Marina,CONSTRUCTION,4/19/10,26,Demolition of a one-story with mezzanine warehouse and construction of eight-story residential building with 29 dwelling units and 35 off-street parking spaces.  ,"TO ERECT 7 STORIES, 26 DWELLING UNITS OF CONDOMINIUMS.",Mixed Use,RC-4,342,0,0,0,0,0,0,0,2004.022,2.00604E+11,5/26/04,4/14/06,80-D,RC-4,26-May-04,-122.423601,37.793108,411,,Resident,-1,Construction,13,26,"-7,000"
5868007,55 TRUMBULL ST,"South Central, Other",CONSTRUCTION,3/25/10,18,"Construction of a 18 unit residential building on a vacant lot, conditional use for lot area under Section 121.1",ERECT 3 STORIES 18 DWELLING UNITS BUILDING,Mixed Use,NC-2,69,0,0,0,0,0,0,0,2004.0895,2.00612E+11,9/2/04,12/13/06,40-X,NC-2,2-Sep-04,-122.428379,37.73077,2609,,Resident,-1,Construction,13,18,0
4219003,1028 WISCONSIN ST,Showpl/Potrero,CONSTRUCTION,2/15/08,1,,"TO ERECT A NEW 3 STORY AND PENTHOUSE, WITH 2 DWELLING UNITS.",Residential,RH-2,152,0,0,0,0,0,0,0,,2.00412E+11,,12/8/04,40-X,RH-2,8-Dec-04,-122.398857,37.754486,2190,,Resident,-1,Construction,13,1,0
503015,2842 FRANKLIN ST,Marina,CONSTRUCTION,3/11/09,2,,CREATE NEW 2-STORY RESIDENCE ABOVE EXISTING.REMODEL EXIST RES & GARAGE.NEW REAR ADDITION&2-STORY....,Mixed Use,NC-3,378,0,0,0,0,0,0,0,,2.00501E+11,,1/4/05,40-X,NC-3,4-Jan-05,-122.425978,37.800645,330,,Resident,-1,Construction,13,1,0
6747015,10 ROUSSEAU ST,"South Central, Other",CONSTRUCTION,8/19/08,2,,TO ERECT 2 DWELLING UNITS WITH 4 STORY NEW BUILDING.,Residential,RH-2,80,0,0,0,0,0,0,0,,2.00502E+11,,2/23/05,40-X,RH-2,23-Feb-05,-122.430259,37.73332,2938,,Resident,-1,Construction,13,2,0
6747002,2 ROUSSEAU ST,"South Central, Other",CONSTRUCTION,10/16/08,2,,TO ERECT 2 DWELLING UNIT WITH 4 STORY NEW BUILDING.,Residential,RH-2,80,0,0,0,0,0,0,0,,2.00502E+11,,2/23/05,40-X,RH-2,23-Feb-05,-122.430259,37.73332,2935,,Resident,-1,Construction,13,2,0
6747006,418 BOSWORTH ST,"South Central, Other",CONSTRUCTION,6/5/09,2,,"TO ERECT 4 STORIES, 2 FAMILY DWELLING UNITS.",Residential,RH-2,80,0,0,0,0,0,0,0,,2.00503E+11,,3/28/05,40-X,RH-2,28-Mar-05,-122.430927,37.733381,2936,,Resident,-1,Construction,13,2,0
6747007,418 BOSWORTH ST,"South Central, Other",CONSTRUCTION,5/21/09,2,,"TO ERECT 4 STORIES, 2 FAMILY DWELLING UNITS.",Residential,RH-2,80,0,0,0,0,0,0,0,,2.00503E+11,,3/28/05,40-X,RH-2,28-Mar-05,-122.430927,37.733381,2937,,Resident,-1,Construction,13,2,0
339006,130 TURK ST,Downtown,CONSTRUCTION,9/17/09,9,"convert vacant commercial building (retail / bathhouse) to up to 28 dwelling units (needs ""EE"")","CONVERSION OF (E) 3 STORY OVER BASEMENT BLDG. TO A 5 STORY OVER BASEMENT BLDG. WITH G/F OFFICE PSACE, 9 RESIDENTIAL UNITS AT UPPER FLOORS AND PARKING AT BASEMENT. THE HISTORICAL FACADE AT TURK STREET TO BE RESTORED WITH NEW G/F STORE FRONT AND GARAGE DOOR",Mixed Use,RC-4,304,"4,999",0,0,0,0,"4,999",0,2005.031,2.00605E+11,3/30/05,5/23/06,80-120-T,RC-4,30-Mar-05,-122.41136,37.78327,272,,Mixres,-1,Construction,13,9,"-6,116"
4075017,791 SAN BRUNO AV,Showpl/Potrero,CONSTRUCTION,6/5/08,1,Discretionary review of building permit application no. 2005.0404.9074,ERECT 2 STORY SINGLE FAMILY DWELLING.,Residential,RH-2,540,0,0,0,0,0,0,0,2005.1145,2.00504E+11,,4/4/05,40-X,RH-2,4-Apr-05,-122.404856,37.759738,2119,,Resident,-1,Construction,13,1,0
2129002B,2 QUINTARA ST,Inner Sunset,CONSTRUCTION,4/14/10,1,To construct a new single-family dwelling on a vacant legal lot of record located in the interior portion of the block in an RH-1 district.,"TO ERECT 3 STORIES, 1 DWELLING SINGLE FAMILY.",Residential,RH-1,480,0,0,0,0,0,0,0,2005.1044,2.00504E+11,12/28/06,4/7/05,40-X,RH-1,7-Apr-05,-122.465958,37.749105,1226,,Resident,-1,Construction,13,1,0
4096005,746 CAROLINA ST,Showpl/Potrero,CONSTRUCTION,3/22/10,2,"Front setback variance to construct a new two family dwelling unit on a vacant lot. Building would be three-story over garage, totaling 5,838 sq. ft. ",TO ERECTA NEW 3 STORY 2 DWELLING UNIT,Residential,RH-2,607,0,0,0,0,0,0,0,2005.0613,2.00506E+11,6/23/05,6/7/05,40-X,RH-2,7-Jun-05,-122.400236,37.759037,2143,,Resident,-1,Construction,13,2,0
3721122,535 MISSION ST,TB Combo,CONSTRUCTION,3/31/10,0,"The proposed project would demolish the existing surface parking lot and construct an approx. 293,750 sq. ft. office building, with 2,680 sq. ft. of retail and 50 parking spaces. The building would be approximately 356,400 sq. ft., 27 stories and approxim",,Commercial,C-3-O,741,"296,430","293,750",0,0,0,"2,680",0,2006.1273,2.00508E+11,11/9/06,8/4/05,550-S,C-3-O,4-Aug-05,-122.398343,37.789001,1786,2,MIPS,-1,Construction,13,0,"296,430"
3505022,85 BRADY ST,Market Octavia,CONSTRUCTION,12/1/08,7,"Mandatory DR to build a new 5-story, 6-unit residential building following demoltion of mixed-use residential building.  See 2005.0776C.",TO ERECT 5 STORIES OF 7 DWELLING RESIDENTIAL UNITS.,Mixed Use,NCT-3,578,0,0,0,0,0,0,0,2005.0777,2.00509E+11,8/18/05,9/15/05,40-X,NCT-3,18-Aug-05,-122.419818,37.772601,1451,,Resident,-1,Construction,13,6,0
