Block Lot,Address,Planning Neighborhood,Best Stat,Best Date,Units,Planning Project Description,DBI Project Description,Zoning_Generalized,Zoning_Simplified,TAZ,Total GSF (Commercial),Office,"Cult, Inst, Educ",Medical,"Prod, Dist, Rep","Ret, Ent",Visitor,Planning ID,DBI Permit,Planning Filed,DBI Filed,Expr1022,Expr1023,FirstFiled,Longitude,Latitude,ObjectID,LANDUSE,EntitlementStatus,sort,ACTION_SEQ,Net Added Units,Net Added SF,"Net Cult, Inst, Educ",Net Medical,Net Office,"Net Prod, Dist, Rep","Net Ret, Ent",Net Visitor,BLOCK,LOT,PARKING,PARKINGNET,ZONING,HEIGHTLIMIT,SUPDIST,Sponsor Firm,Sponsor Name,CONTACTPHONE,FULLNAME,CONTACTCITY,CONTACTADD
3788012,166 Townsend St,East SoMa,CONSTRUCTION,15-Jun-11,66,"Adaptive reuse and construction of a five-story, mixed use project with 66 dwelling units, appx. 74 parking spaces, and appx. 1,715 square feet of ground floor retail use.  The existing building on the project site is an historic resource.","STRUCTURAL PERMIT FOR EARTHQUAKE RETROFIT AND FOR BASE BUILDING. VERTICAL ADDITION, RESIDENTIAL CONV",Industrial,SLI,694,1715,,,,,1715,,2005.047,2.00608E+11,19-Jun-08,19-Aug-08,65-X,SLI,19-Jun-08,-122.391989,37.779665,2022,Mixres,-1,Construction,13,66,-73625,0,0,0,-75340,1715,0,3788,12,85,85,SLI,65-X,6,Martin Building Co.,Katie O'Brien,415-348-4652,Katie O'Brien 415-348-4652,"San Francisco, CA  94103","14 Mint Plaza, Fifth Floor"
3788039,345 Brannan St,East SoMa,BP Filed,27-Oct-08,0,"New construction approx. 69,540-gsf, 4-story, 50' height office building on existing parking lot, with 58-space ground floor parking and street frontage retail space.","ERECT A OFFICE, RESTAURANT & PARKING 4 STORIES BUILDING.",Mixed Use,SSO,694,53030,49500,,,,3530,,2007.0385,2.0081E+11,18-Sep-08,27-Oct-08,65-X,MUO,18-Sep-08,-122.392906,37.780971,2024,MIPS,0,BP Filed,2,0,53030,,,49500,,3530,,3788,39,58,-36,MUO,65-X,6,Reuben & Junius ,David Silverman,415 567 9000,David Silverman 415 567 9000,"San Francisco, CA  94104","1 Bush Street, Suite 600"
3789003,72 Townsend St,East SoMa,BP APPROVED,11-Dec-08,74,76 new construction / mixed,"7 STORY ADDITION TO EXISTING 2 STORY COMMERCIAL WAREHOUSE, HIGH RISE BUILDING. ADDITION OF RETAIL, PARKING & 74 RESIDENTIAL UNITS.",Residential,M-2,727,0,,,,,,,2007.0894,2.00705E+11,,1-May-07,105-F,SB-DTR,1-May-07,-122.390093,37.781143,2025,Resident,-1,BP Approved/Issued/Re-Instated,9,74,0,,,,,,,3789,3,,,SB-DTR,105-F,6,,,,,,
3794002A,750 02nd St,East SoMa,CONSTRUCTION,16-Jun-11,14,"The proposed project would demolish the existing building and construct a new eight-story, 18-unit residential and 5,050 sq. ft. retail building. The building would include 18 parking spaces, would be approximately 93 feet in height, totaling approximatel",To erect new 7 story commercial/residential building; TO DEMOLISH 1 STORY OFFICE/RETAIL BUILDING,Mixed Use,M-2,632,5050,0,,,,5050,,2007.0007,2.00807E+11,8-May-08,,105-F,MUO,8-May-08,-122.390208,37.78018,2030,Mixres,-1,Construction,13,14,-2710,0,0,0,0,-2710,0,3794,002A,18,18,MUO,105-F,6,"750 2nd Street, LLC",Andy Bush,802-362-4410,Andy Bush 802-362-4410,"Manchester, VT 05254",3657 Main Street
3794014,111 Townsend St,East SoMa,PL Filed,9-Feb-11,,"The proposed project would involve the change of use of the project site from warehouse to restaurant and office use.  The change of use would be from the existing 22,884-sq. ft. industrial use to a 16,786-sq. ft. office use with 6,098 sf. ft. of ground f",,Mixed Use,M-2,632,28982,16786,,,0,6098,,2011.0135,,9-Feb-11,,105-F,MUO,9-Feb-11,-122.390915,37.780211,2032,Mixed,0,Planning Filed,2,0,6098,,,16786,-22884,6098,,3794,14,34,,MUO,105-F,6,Harvey Hacker Architects,HARVEY HACKER,957-0579,HARVEY HACKER 957-0579,S.F. 94107,528 BRYANT ST
3794024,144 King St,East SoMa,PL APPROVED,7-Apr-11,0,To demolish a non-contributing building in South End HD and construct new 131-room hotel with ground floor retail and no off-street parking. Seeking variances for parking and for restrictions on bay window dimensions (Sections 151 and 136).,,Mixed Use,M-2,632,49500,0,0,0,0,0,49500,2004.1326,,21-Jun-05,,105-F,MUO,21-Jun-05,-122.391289,37.778734,2034,Visitor,-1,PL Approved,5,0,43845,0,0,0,-5655,0,49500,3794,24,,,MUO,105-F,6,Morrison & Foerster LLP,David  Levy,415-268-6238,David  Levy 415-268-6238,"San Francisco, CA  94105-2482",425 Market Street
3834001,1000 16th St,Showpl/Potrero,PL FILED,11-Oct-06,450,"The proposed project involves the construction of three building residential complex including 450 dwelling units, 26,500gsf of ground-floor retail space and 503 off-street parking spaces.  The project would include a partial street vacation to narrow the",,Mixed Use,M-2,651,26500,0,0,0,0,26500,0,2003.0527,,23-Feb-06,8-May-00,68-X,UMU,8-May-00,-122.396988,37.76649,2047,Mixres,0,Planning Filed,5,450,26500,0,0,0,0,26500,0,3833,1,503,503,UMU,68-X,10,UrbanGreen Devco LLC,Daniel Murphy,650-359-5358,Daniel Murphy 650-359-5358,"Pacifica,Ca 94044",P.O. Box 1578
3912001,1-25 Division Street,Showpl/Potrero,PL Filed,26-Jan-06,100,"Demolition of existing 48,720 sq. ft. retail and industrial building and construction of 100 dwelling units, 149 parking spaces, and 19,000 sq. ft. of PDR use. Building would be six-story plus basement at approximately 65 feet in height and 227,000 gross ",,Industrial,M-2,571,19000,0,0,0,0,19000,0,2006.0112,,26-Jan-06,,58-X,PDR-1-D,26-Jan-06,-122.402127,37.769872,2053,Mixres,0,Planning Filed,2,100,-35453,0,0,-28632,-15503,8682,0,3912,1,149,132,PDR-1-D,58-X,10,Doheny Vidovich L.P.,John  Vidovich,408-738-4444,John  Vidovich 408-738-4444,"Sunnyvale, CA 94087",920 West Fremont Avenue
3965001,2401 16th St,Mission,PL Filed,9-Oct-08,12,"Retain the exisitng three-story, 34-foot, 5,625 sq. ft. retail and office building. Addition and new construction of 12 residential units over ground floor retail. The total project including the existing retail/office uses would be approximately 29,822 s",,Mixed Use,M-1,568,7347,3750,,,,3597,,2006.0428,,9-Oct-08,,68-X,UMU,9-Oct-08,-122.410614,37.765523,2062,Mixres,0,Planning Filed,2,12,1722,,,0,,1722,,3965,1,12,12,UMU,68-X,6,Town Consulting,Kelly Pepper,415.307.5082,Kelly Pepper 415.307.5082,"San Francisco, CA 94107",2298 - 3rd Street
3980008,1717 17th St,Showpl/Potrero,PL Approved,15-Jul-10,41,"Demolition of three existing commercial buildings and construction of three mixed-use buildings with 41 residential dwelling units, 4,840 GSF of PDR use, and 57 off-street parking spaces.  ",,Mixed Use,M-1,544,4840,0,0,0,4840,0,0,2004.0946,,22-Dec-05,,48-X,UMU,22-Dec-05,-122.400827,37.76476,2071,Mixres,-1,PL Approved,5,41,-13369,0,0,-18209,4840,0,0,3980,7,57,57,UMU,48-X,10,Luce Forward Hamilton & Scripps,Alice Barkley,415-356-4635,Alice Barkley 415-356-4635,"San Francisco, CA  94105","121 Spear Street, Suite 200"
4009008A,585 Kansas St,Showpl/Potrero,CONSTRUCTION,17-Jun-08,2,Variance for reduced parking requirement,"1/F-REMOVE (E)UNPERMITTED ROOM,CLOSET & FULL BATH IN 1/F GARAGE.INFILL CANTILEVERED 2ND STORY @NORTHEAST,CORNER OF HOUSE.INFILL (E)LIGHTWELL @1ST STORY.ADD A LEGAL UNIT IN FORMER LOCATION OF UNPERMITTED WORK @REAR OF HOUSE 21'X20'=240SF.ADD 1 HR.RATED COR",Residential,RH-3,543,0,0,0,0,0,0,0,2006.014,2.00602E+11,2-Feb-06,2-Feb-06,40-X,RH-3,2-Feb-06,-122.403125,37.76246,2086,Resident,-1,Construction,13,1,0,0,0,0,0,0,0,4009,008A,,,RH-3,40-X,10,Susan Mukaeda,Susan Mukaeda,415/864-6485,Susan Mukaeda 415/864-6485,"SF, CA  94107",585 Kansas Street
4010001O,542 Kansas St,Showpl/Potrero,CONSTRUCTION,3-Aug-09,2,The proposal is a horizontal and vertical addition changing a single-family dwelling into a two-family dwelling in zoning district RH-3. The proposal required and was g ranted a Rear Yard Variance for the horizontal addition at a public hearing held on Au,"VERTICAL & HORIZONTAL ADDITION SITE PERMIT FOR CREATING A 2ND DWELLING UNIT ON NEW THIRD STORY, TO BE BUILT, & ADDITION TOWARD THE REAR",Residential,RH-3,543,0,0,0,0,0,0,0,2007.0096,2.00601E+11,18-Jan-07,30-Jan-06,40-X,RH-3,30-Jan-06,-122.403501,37.762875,2087,Resident,-1,Construction,13,1,0,0,0,0,0,0,0,4010,001O,,,RH-3,40-X,10,Occidental Express,Henry Karnilowicz,415-621-7533,Henry Karnilowicz 415-621-7533,"San Francisco, CA 94103",1019 Howard Street
4010006,575 Vermont St,Showpl/Potrero,PL Approved,11-Feb-08,2,Construct a second dwelling unit?,,Residential,RH-2,543,0,0,0,0,0,0,0,2006.107,,31-Aug-06,,40-X,RH-2,31-Aug-06,-122.404115,37.762514,2088,Resident,-1,PL Approved,5,1,0,0,0,0,0,0,0,4010,6,,,RH-2,40-X,10,John Maniscalco Architecture,Matt Williams,664.9900x201,Matt Williams 664.9900x201,"San Francisco, CA  94117",1501 Waller Street
4019002,550 Alabama St,Mission,BP ISSUED,29-May-07,0,Variance for parking.  Addition of third floor and mezzanine over existing two-story building for use as light industrial (apparel manufacturing).,ADDITION OF 3RD FLOOR OVER (E) 2 STORY BLDG. ADDITION OF NEW MEZZ OVER NEW 3RD FLOOR. FULL SEISMIC,Industrial,M-1,538,5650,0,0,0,5650,0,0,2005.0108,2.00412E+11,3-Feb-05,27-Dec-04,68-X,PDR-1-G,27-Dec-04,-122.412253,37.762264,2091,PDR,-1,BP Approved/Issued/Re-Instated,11,0,5650,0,0,0,5650,0,0,4019,2,,,PDR-1-G,68-X,6,Nabi Construction,Javed  Tharani,415.552.2215,Javed  Tharani 415.552.2215,"San Francisco, CA  94103","208 Utah Street, #100"
4058010,2235 03rd St,Central Waterfront,CONSTRUCTION,16-Jun-11,196,"The proposed project involves the renovation of two existing vacant buildings totaling about 27,200 gsf and construction of approximately 180,000 gsf addition.  The proposed project would include up to 141 dwelling units with 128 off-street parking spaces","Preserve, renovate and merge two historical bldg at 2225 and 2255 third st located on same lot into ",Mixed Use,M-2,558,5339,0,0,0,0,5339,0,2002.1302,2.00907E+11,24-Dec-02,9-Jul-09,68-X,UMU,24-Dec-02,-122.38837,37.761297,2110,Mixres,-1,Construction,13,196,5339,0,0,0,0,5339,0,4058,10,114,114,UMU,68-X,10,Martin Building Co.,Katie O'Brien,415-348-4652,Katie O'Brien 415-348-4652,"San Francisco, CA  94103","14 Mint Plaza, Fifth Floor"
4059009,2298 03rd St,Central Waterfront,BP Filed,6-Feb-06,40,"Demolition of an existing one-story, commercial building and construction of a six-story, mixed-use building with 80 dwelling units, 80 off street parking spaces and appx. 14,000 GSF of ground floor commercial use.  ",TO ERECT 40 DWELLING UNITS IN A 6 STORY NEW BUILDING,Mixed Use,M-2,558,14000,0,0,0,0,14000,0,2005.0408,2.00602E+11,26-Apr-05,6-Feb-06,68-X,UMU,26-Apr-05,-122.388823,37.760595,2111,Mixres,0,BP Filed,6,40,14000,0,0,0,0,14000,0,4059,9,80,80,UMU,68-X,10,,Mary Tom,415-272-4901,Mary Tom 415-272-4901,"San Francisco, CA 94118",111 26th Ave.
4079020,721 York St,Mission,CONSTRUCTION,26-Dec-06,2,,LEGALIZATION OF (E)  2ND UNIT @ GROUND FLOOR & HORIZONTAL EXPANSION 2 FLOOR @ REAR OF BULDG.,Residential,RH-2,186,0,0,0,0,0,0,0,,2.00407E+11,,20-Jul-04,40-X,RH-2,20-Jul-04,-122.408787,37.760225,2123,Resident,-1,Construction,13,1,0,0,0,0,0,0,0,4079,20,,,RH-2,40-X,6,,,,,,
4085026,857 Alabama St,Mission,BP Filed,30-Dec-10,2,,"ERECT 4 STORIES OF 2 DWELLING UNIT,TYPE 5
",Residential,RH-2,186,0,,,,,,,,2.01012E+11,,30-Dec-10,40-X,RH-2,30-Dec-10,-122.411297,37.758215,2128,Resident,0,BP Filed,11,2,-3866,0,0,0,-3866,0,0,4085,26,,,RH-2,40-X,9,,,,,,
4087037,2219 Bryant St,Mission,BP ISSUED,30-Apr-08,2,The proposal is for a vertical alteration to add a third story to an existing two story single-family dwelling in zoning district RM-1. The project will add one additional dwelling unit and one additional off-street parking space. The front setback will n,REMODEL GROUND AND SECOND FLOOR. THIRD FLOOR VERTICAL ADDITION. ALTER FRONTAGE AND CONSTRUCT BAY WINDOW. ADD REAR EXTERIOR STAIR.,Residential,RM-1,186,0,0,0,0,0,0,0,2006.134,2.00604E+11,3-Nov-06,25-Apr-06,40-X,RM-1,25-Apr-06,-122.409543,37.758714,2131,Resident,-1,BP Approved/Issued/Re-Instated,11,1,0,0,0,0,0,0,0,4087,37,,,RM-1,40-X,9,,Teresita  Alano,415-334-1403,Teresita  Alano 415-334-1403,San Francisco CA 94134,144 Princeton Street
4093007,838 Kansas St,Showpl/Potrero,BP APPROVED,4-Jan-11,2,"Existing 11-foot residential building with 1,250 sqft with off-street parking. Proposed 40-foot 4,700 sqft 2-unit resdential building with 2 off-street parking spaces.",ERECT A 4 STORIES 2 FAMILY DWELLING.,Residential,RH-2,606,0,,,,,,,2007.1484,2.00805E+11,9-Oct-08,23-May-08,40-X,RH-2,23-May-08,-122.40316,37.758981,2133,Resident,-1,BP Approved/Issued/Re-Instated,9,1,0,,,,,,,4093,7,,,RH-2,40-X,10,StudioPAZ,Peter Wong,415-640-7490,Peter Wong 415-640-7490,"San Francisco, CA 94131",1041 Bosworth Street
4096005,746 Carolina St,Showpl/Potrero,CONSTRUCTION,22-Mar-10,2,"Front setback variance to construct a new two family dwelling unit on a vacant lot. Building would be three-story over garage, totaling 5,838 sq. ft. ",TO ERECTA NEW 3 STORY 2 DWELLING UNIT,Residential,RH-2,607,0,0,0,0,0,0,0,2005.0613,2.00506E+11,23-Jun-05,7-Jun-05,40-X,RH-2,7-Jun-05,-122.400236,37.759037,2143,Resident,-1,Construction,13,2,0,0,0,0,0,0,0,4096,5,,,RH-2,40-X,10,Town Consulting,Tony  Kim,246-8855,Tony  Kim 246-8855,"San Francisco, CA 94118","100 Clement Street, 3rd Floor"
4098027,749 Wisconsin St,Showpl/Potrero,BP Filed,15-Dec-06,2,The proposal is to demolish a single-family house and constructing a two-unit structure.,ERECT 4 STORIES OF 2 DWELLING UNITS.,Residential,RH-2,607,0,0,0,0,0,0,0,2006.1506,2.00612E+11,14-Dec-06,15-Dec-06,40-X,RH-2,14-Dec-06,-122.398869,37.758092,2148,Resident,0,BP Filed,6,1,0,0,0,0,0,0,0,4098,27,,,RH-2,40-X,10,,Mike Susoev,212-346-0806,Mike Susoev 212-346-0806,"San Francisco, CA  94107",749 Wisconsin Street
4102052,585 Texas St,Showpl/Potrero,CONSTRUCTION,9-Sep-10,2,"Addition to existing 1,087 square foot single-family dwelling, adding one additional unit for a total of 3,000 square feet and 2-units.","NEW 2 CAR GARAGE & STUDIO UNIT 1ST FLOOR, 2 NEW 4 BEDRM RESIDENCES 2ND & 3RD FLS, NEW ROOF DECK",Residential,RH-2,520,0,0,0,0,0,0,0,2006.0689,2.00606E+11,20-Nov-06,13-Jun-06,40-X,RH-2,13-Jun-06,-122.395066,37.759002,2158,Resident,-1,Construction,13,1,0,0,0,0,0,0,0,4102,52,,,RH-2,40-X,10,"Archrail, Inc.",Joseph Railla ,637-9698,Joseph Railla  637-9698,"Vallejo, CA 94592",1017 Azuar Drive
4103036,605 Mississippi St,Showpl/Potrero,PL Approved,23-Jan-09,2,Addition/alteration of existing single-family residence to 2-unit residence.,,Residential,RH-2,520,0,,,,,,,2008.1307,,25-Nov-08,,40-X,RH-2,25-Nov-08,-122.394064,37.758824,2162,Resident,-1,PL Approved,5,1,0,,,,,,,4103,36,,,RH-2,40-X,10,,Jorge Carbonell,415-512-7566,Jorge Carbonell 415-512-7566,"San Francisco, CA 94107",605 Mississippi Street
4108003F,2420 03rd St,Central Waterfront,PL Filed,8-Dec-10,1,Vacant ot. Construct new 4-story single-family dwelling.,TO ERECT 4 STORY SINGLE FAMILY DWELLING,Mixed Use,M-2,521,0,,,,,,,2010.1082,2.00911E+11,8-Dec-10,17-Nov-09,45-X,UMU,17-Nov-09,-122.388699,37.758984,2169,Resident,0,Planning Filed,2,1,2835,,,2835,,,,4108,003F,,,UMU,45-X,10,Montgomery Property,Scott Pelichoff,415-305-8234,Scott Pelichoff 415-305-8234,"San Francisco, CA  94107",168 Welsh Street
4143008,948 Hampshire St,Mission,BP ISSUED,12-Mar-09,2,,VERTICAL ADDITION WITH STUDIO APT. ON GROUNDFLOOR,Residential,RH-2,171,0,0,0,0,0,0,0,,2.00503E+11,,29-Mar-05,40-X,RH-2,29-Mar-05,-122.40785,37.756913,2174,Resident,-1,BP Approved/Issued/Re-Instated,11,1,0,0,0,0,0,0,0,4143,8,,,RH-2,40-X,9,,,,,,
4209017,2830 24th St,Mission,PL Approved,30-Nov-06,4,CONSTRUCT FOUR RESIDENTIAL UNITS AND ONE COMMERCIAL RETAIL/LAUNDROMAT WITHOUT PARKING 161(J),,Mixed Use,NCD,150,0,0,0,0,0,0,0,2006.0934,,10-Aug-06,,45-X,24th St-Mission,10-Aug-06,-122.408757,37.752974,2181,Resident,-1,PL Approved,3,4,0,0,0,0,0,0,0,4209,17,0,,24th St-Mission,45-X,9,,Samuel Kwong,391-3313,Samuel Kwong 391-3313,"S.F., CA. 94018","445 Grant Avenue, #404"
4210013,1196 Hampshire St,Mission,BP ISSUED,25-Jan-10,2,Parking Variance - Does not meet independent access requirement under 155(c),clarifing building is three story and legalizing 2nd unit. demo rear back porch and stairs. Build ne,Residential,RH-2,150,0,0,0,0,0,0,0,2008.024,2.0071E+11,28-Feb-08,15-Oct-07,40-X,RH-2,15-Oct-07,-122.407517,37.753108,2184,Resident,-1,BP Approved/Issued/Re-Instated,11,1,0,0,0,0,0,0,0,4210,13,,,RH-2,40-X,9,,James Cline,415.706.6953,James Cline 415.706.6953,San Francisco CA 94102,"870 Market Street, Suite 478"
4217036,2130 24th St,Showpl/Potrero,CONSTRUCTION,13-Apr-06,1,"two-unit new condo conversion, new construction","ERECT A THREE STORY, TWO UNIT RESIDENTIAL DWELLING",Residential,RH-2,152,0,0,0,0,0,0,0,2006.0126,2.00212E+11,,6-Dec-02,40-X,RH-2,6-Dec-02,-122.400911,37.753477,2188,Resident,-1,Construction,13,1,0,0,0,0,0,0,0,4217,36,0,0,RH-2,40-X,10,"655 4th Street, LLC",Michael  Leavitt,415-674-9100,Michael  Leavitt 415-674-9100,San Francisco CA 94133,1327 Mason Street
4218036,1321 De Haro St,Showpl/Potrero,PL Approved,16-Jul-09,3,"Dish existin 1200 sqft residence with no off-street parking and construct 3-unit 3100 sqft with 3 off-street parking spaces.
Rear Yard Variance
",,Residential,RH-3,152,0,,,,,,,2008.0505,,1-May-08,,40-X,RH-3,1-May-08,-122.400218,37.752861,2189,Resident,-1,PL Approved,5,2,0,,,,,,,4218,36,3,2,RH-3,40-X,10,,Albert Costa,415.986.0101,Albert Costa 415.986.0101,"San Francisco, CA 94111","1620 Montgomery Street, Suite 320"
4219003,1028 Wisconsin St,Showpl/Potrero,CONSTRUCTION,15-Feb-08,1,,"TO ERECT A NEW 3 STORY AND PENTHOUSE, WITH 2 DWELLING UNITS.",Residential,RH-2,152,0,0,0,0,0,0,0,,2.00412E+11,,8-Dec-04,40-X,RH-2,8-Dec-04,-122.398857,37.754486,2190,Resident,-1,Construction,13,1,0,0,0,0,0,0,0,4219,3,,,RH-2,40-X,10,,,,,,
4219004,1036 Wisconsin St,Showpl/Potrero,PL Approved,6-Oct-09,2,"Existing one-story single-family residence at 18-feet tall and 850 sqft with no off-street parking to be demolished. Proposed new 4-story, 2-unit residence at 40-feet tall and 3,765 sqft with 2 off-street parking spaces.",,Residential,RH-2,152,0,,,,,,,2008.087,,24-Jul-08,,40-X,RH-2,24-Jul-08,-122.398853,37.75444,2191,Resident,-1,PL Approved,3,1,0,,,,,,,4219,4,,,RH-2,40-X,10,,Denise Lindsay,415.271.0485,Denise Lindsay 415.271.0485,"San Francisco, CA 94116",2071 10th Ave.
4224015,1004 Mississippi St,Showpl/Potrero,BP APPROVED,16-Jan-09,28,"Construct 28 dwelling units and 28 parking spaces in an underground garage on a vacant lot. The building would be approximately 57,974 sq. ft. and approxomately 40 feet in height. ","ERECT 4 STORIES, 28 UNITS, 3 BASEMENTS, RESIDENTIAL CONDOMINIUM BUILDING.",Residential,RH-3,519,0,0,0,0,0,0,0,2006.081,2.00705E+11,15-Nov-07,1-May-07,40-X,RH-3,1-May-07,-122.393815,37.753144,2194,Resident,-1,BP Approved/Issued/Re-Instated,9,28,0,0,0,0,0,0,0,4224,15,28,28,RH-3,40-X,10,1000 Mississippi Street Investors,John Conomos,415-353-0770,John Conomos 415-353-0770,San Francisco CA 94117,1160 Fulton Street
4224017,1030-38 Mississippi St,Showpl/Potrero,CONSTRUCTION,2-Mar-11,2,"New construction of two buildings with two units each, total of four units on a vacant lot.",TO ERECT A NEW 3 STORY 2 DWELLING UNIT,Residential,RH-3,519,0,,,,,,,2007.0713,2.00705E+11,17-Jul-07,1-May-07,40-X,RH-3,1-May-07,-122.393857,37.75298,2195,Resident,-1,Construction,13,2,0,,,,,,,4224,17,,,RH-3,40-X,10,Town Consulting,Tony  Kim,246-8855,Tony  Kim 246-8855,"San Francisco, CA 94118","100 Clement Street, 3rd Floor"
4224018,1036 Mississippi St,Showpl/Potrero,BP APPROVED,1-Dec-09,2,"New construction of two buildings with two units each, total of four units on a vacant lot.",TO ERECT A NEW 3 STORY 2 DWELLING UNITS,Residential,RH-3,519,0,,,,,,,2007.0713,2.00705E+11,17-Jul-07,1-May-07,40-X,RH-3,1-May-07,-122.393853,37.752943,2196,Resident,-1,BP Approved/Issued/Re-Instated,9,2,0,,,,,,,4224,18,,,RH-3,40-X,10,Town Consulting,Tony  Kim,246-8855,Tony  Kim 246-8855,"San Francisco, CA 94118","100 Clement Street, 3rd Floor"
4224035,1047 Texas St,Showpl/Potrero,BP Filed,12-Mar-08,3,"Vacant lot. Proposed 38'-6"" 4-story over basement with 3 residential units at 5,145 sqft.",ERECT A NEW 4 STORIES (1 STORY OVER GARAGE) 3 FAMILY DWELLING UNITS,Residential,RH-3,519,0,,,,,,,2008.0665,2.00803E+11,5-Jun-08,12-Mar-08,40-X,RH-3,12-Mar-08,-122.394507,37.753082,2200,Resident,0,BP Filed,6,3,0,,,,,,,4224,35,,,RH-3,40-X,10,Sia Consulting Corp.,Reza Khoshnevisan,922-0200x108,Reza Khoshnevisan 922-0200x108,"San Francisco, CA 94103",1256 Howard Street
4228158,1301 Indiana St,Central Waterfront,CONSTRUCTION,19-Dec-07,81,"The proposed project involves the demolition of the existing 14,800 gsf warehouse and construction of a 5 story 166,590 gsf residential building, containing up to 81 dwelling units, 5,000 gsf of retail space and 164 off-street parking space.  PUD exceptio",ERECT FIVE STORY RESIDENTIAL & RETAIL & WAREHOUSE,Industrial,M-2,535,5000,0,0,0,0,5000,0,2002.1303,2.00212E+11,17-Jan-03,24-Dec-02,58-X,,24-Dec-02,-122.390975,37.753914,2209,Mixres,-1,Construction,13,71,-9800,0,0,0,-14800,5000,0,4228,10,164,164,,58-X,10,"Potero Warehouse Properties, LLC",Lyons Redmond,415.626.7715,Lyons Redmond 415.626.7715,"San Francisco, CA  94107",600 18th Street
4263007,1366 San Bruno Av,Showpl/Potrero,BP Filed,21-Mar-07,3,"Mandatory DR for res. demo.  The proposal would demolish an existing two-unit residential building, constructed in 1905, and construct a new three unit residential building.",DEMOLISH A 3 STORY 3 UNIT RESIDENTIAL BUILDING.,Residential,RH-3,148,0,,,,,,,2008.0614,2.00703E+11,21-May-08,21-Mar-07,40-X,RH-3,21-Mar-07,-122.404446,37.752305,2214,Resident,0,BP Filed,2,1,0,,,,,,,4263,7,,,RH-3,40-X,10,Kerman/Morris Architects LLP,Toby  Morris,415-749-0302,Toby  Morris 415-749-0302,"San Francisco, CA 94133",69A Water Street
4266013,1280 Hampshire St,Mission,CONSTRUCTION,15-Jun-11,3,Demolition of a garage and new construction of 3 DUs; 4-story building.,TO ERECT A NEW 3 STORIES 3 FAMILY DWELLING UNITS.,Residential,RH-3,150,0,,,,0,,,2008.1063,2.00807E+11,9-Sep-08,18-Jul-08,40-X,RH-3,18-Jul-08,-122.407349,37.751717,2216,Resident,-1,Construction,13,3,-1060,,,,-1060,,,4266,13,,,RH-3,40-X,9,Sia Consulting Corp.,Reza Khoshnevisan,922-0200x108,Reza Khoshnevisan 922-0200x108,"San Francisco, CA 94103",1256 Howard Street
4273018,1331 Florida St,Mission,BP Filed,14-May-08,2,,CONVERT EX. SINGLE FAMILY HOME INTO A 2UNIT BLDG. ADD A 240SF HORIZONTAL ADDITION TO THE EXISTING BL,Residential,RH-2,134,0,,,,,,,,2.00805E+11,,14-May-08,40-X,RH-2,14-May-08,-122.409664,37.750589,2221,Resident,0,BP Filed,6,1,0,,,,,,,4273,18,,,RH-2,40-X,9,,,,,,
4287022,1239 Connecticut St,Other S Bayshore,BP ISSUED,25-Feb-11,0,,New construction of a two story commercial storage building.,Industrial,PDR-2,483,2175,0,0,0,2175,0,0,,2.00908E+11,,7-Aug-09,65-J,PDR-2,7-Aug-09,-122.396188,37.750596,2227,PDR,-1,BP Approved/Issued/Re-Instated,11,0,2175,0,0,0,2175,0,0,4287,22,,,PDR-2,65-J,10,,,,,,
4352007,1301 Cesar Chavez St,"BVHP Area A,B",BP Filed,15-Oct-07,0,,"Erect a two stories builing for maintenance and operations facility with admininstrative offices for SFMuni. A-3 for lunch rm; B for Admin. off, locker rms, training conference, T.V. rm; H-4 for welding shop and elec. shop; S-2 for part storage, equip. rm",Industrial,PDR-2,491,88564,88564,,,0,,,,2.0071E+11,,15-Oct-07,40-X,PDR-2,15-Oct-07,-122.390032,37.74998,2239,MIPS,0,BP Filed,9,0,81979,,,88564,-6585,,,4352,7,,,PDR-2,40-X,10,,,,,,
4591A010,142 Albatross,Other S Bayshore,PL Filed,8-Jun-07,50,Family housing,,Residential,RM-1,386,0,0,0,0,0,0,0,,,,8-Jun-07,40-X,RM-1,8-Jun-07,-122.372154,37.728285,2244,Resident,0,Planning Filed,,50,0,0,0,0,0,0,0,4591A,10,,0,RM-1,40-X,10,,,,,,
4624009,227 West Point Road,Other S Bayshore,PL Approved,10-Dec-08,668,"The proposed project would demolish the 267 affordable housing units in 50 buildings and construct about 668 affordable units, 6,400 sq. ft. of retail, 739 parking spaces in 66 buildings. Buildings would range from two to five-stories 20 to 50 feet in hei",,Residential,RM-1,446,7020,0,620,0,0,6400,0,2007.0168,,27-Mar-08,,40-X/65-X,RM-1,27-Mar-08,-122.379131,37.73508,2247,Mixres,-1,PL Approved,5,349,620,620,0,0,0,0,0,4624,3,739,739,RM-1,40-X/65-X,10,San Francisco Housing Authorty,Juan  Monsanto,415-715-3217,Juan  Monsanto 415-715-3217,"S.F., CA. 94124","1815 Egbert Ave, #301"
