,BP_date,address,apn,best_date,best_stat,con_date,dbi_permit,first_date,first_project_record_date,firstfiled,latest_project_record_date,latest_project_status,project_dates,project_duration_days,project_statuses,report_quarter,report_year,status,unitsnet,x,y
12127,2015-03-02,923 FOLSOM STREET,3753106,2015-09-29,CONSTRUCTION,2015-09-29,,2013-05-23,2013-05-23,2013-05-23,2015-09-29,CONSTRUCTION,"('2013-05-23', '2013-05-23', '2013-11-20', '2013-11-20', '2013-11-20', '2013-11-20', '2015-03-02', '2015-05-12', '2015-05-12', '2015-09-29')",859.0,"('PL FILED', 'PL FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP APPROVED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION')",3,2015,Under Construction,115.0,37.7796093041,-122.40338078100001
15747,2010-03-05,95 LELAND AV,6250028,2010-03-05,BP REINSTATED,,,2006-08-29 07:00:00,2009-03-13,2006-08-29,2010-03-05,BP REINSTATED,"('2009-03-13', '2009-03-13', '2009-03-13', '2009-03-13', '2009-03-13', '2009-03-13', '2009-03-13', '2009-03-13', '2009-03-13', '2009-03-13', '2009-03-13', '2010-03-05', '2010-03-05', '2010-03-05')",357.0,"('PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED')",1,2016,Building Permit Approved,5.0,37.7116829221,-122.40561699999999
14862,,155 DE HARO ST,3913005,2015-01-15,BP FILED,,,2014-08-15,2014-08-15,2014-08-15,2015-01-15,BP FILED,"('2014-08-15', '2015-01-15')",153.0,"('PL FILED', 'BP FILED')",1,2016,Proposed,0.0,37.7683737518,-122.40144199999999
10703,2015-06-01,333 RALSTON ST,7003014,2015-06-01,BP ISSUED,,,2014-09-16,2014-09-16,,2015-06-01,BP ISSUED,"('2014-09-16', '2014-09-16', '2015-06-01')",258.0,"('BP FILED', 'BP FILED', 'BP ISSUED')",1,2015,Building Permit Approved,1.0,37.718474541,-122.469218704
4878,,PIER 31,9900041H,2008-08-27,PL FILED,,,2008-08-27,2008-08-27,2008-08-27,2008-08-27,PL FILED,"('2008-08-27', '2008-08-27', '2008-08-27', '2008-08-27', '2008-08-27', '2008-08-27', '2008-08-27')",0.0,"('PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED')",3,2013,Proposed,0.0,37.80641,-122.403824
15117,,2444 LOMBARD ST,0936014,2015-03-25,PL FILED,,,2014-07-30,2015-03-25,2014-07-30,2015-03-25,PL FILED,"('2015-03-25', '2015-03-25', '2015-03-25', '2015-03-25')",0.0,"('PL FILED', 'PL FILED', 'PL FILED', 'PL FILED')",1,2016,Proposed,53.0,37.7994135734,-122.442052
15627,,718 17TH AV,1659041,2014-11-04,BP FILED,,,2014-11-04,2014-11-04,2014-11-04,2014-11-04,BP FILED,"('2014-11-04', '2014-11-04', '2014-11-04', '2014-11-04', '2014-11-04', '2014-11-04')",0.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",1,2016,Proposed,1.0,37.7744245788,-122.475399
15512,,555 GOLDEN GATE AV,0766010,2014-10-01,PL FILED,,,2014-10-01,2014-10-01,2014-10-01,2014-10-01,PL FILED,"('2014-10-01', '2014-10-01', '2014-10-01', '2014-10-01', '2014-10-01')",0.0,"('PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED')",1,2016,Proposed,52.0,37.7808756412,-122.419597
13147,2015-10-28,250 HOWARD ST,3718025,2015-10-28,BP ISSUED,,,2015-04-27,2015-04-27,2015-04-27,2015-10-28,BP ISSUED,"('2015-04-27', '2015-10-28')",184.0,"('BP FILED', 'BP ISSUED')",3,2015,Building Permit Approved,0.0,37.790552146799996,-122.39452524200001
10936,,1500-1580 MISSION ST,3506007,2014-12-18,PL FILED,,,,2014-12-18,,2014-12-18,PL FILED,"('2014-12-18',)",0.0,"('PL FILED',)",2,2015,Proposed,550.0,37.7738221883,-122.418417024
14584,,11 HILIRITAS AV,7552026,2015-11-23,BP FILED,,,2015-11-23,2015-11-23,2015-11-23,2015-11-23,BP FILED,"('2015-11-23', '2015-11-23')",0.0,"('BP FILED', 'BP FILED')",1,2016,Proposed,1.0,37.7376079744,-122.437044
15331,,363 BOCANA ST,5709016,2015-09-23,BP FILED,,,2015-09-23,2015-09-23,2015-09-23,2015-09-23,BP FILED,"('2015-09-23', '2015-09-23', '2015-09-23')",0.0,"('BP FILED', 'BP FILED', 'BP FILED')",1,2016,Proposed,1.0,37.7383402603,-122.418884
12057,,1601-1637 MARKET ST / 53 COLTON ST,3505001,2015-07-10,PL FILED,,,2015-07-10,2015-07-10,2015-07-10,2015-07-10,PL FILED,"('2015-07-10',)",0.0,"('PL FILED',)",3,2015,Proposed,584.0,37.7738914645,-122.420029929
15070,2012-10-19,226 06TH ST,3731003,2014-10-20,CONSTRUCTION,2014-09-24,,2008-06-16 07:00:00,2012-03-12,2008-06-16,2014-10-20,CONSTRUCTION,"('2012-03-12', '2012-03-12', '2012-10-19', '2012-12-10', '2012-12-10', '2012-12-10', '2012-12-10', '2012-12-10', '2012-12-10', '2012-12-10', '2014-09-24', '2014-10-20', '2014-10-20', '2014-10-20', '2014-10-20', '2014-10-20', '2014-10-20')",952.0,"('PL APPROVED', 'PL APPROVED', 'BP APPROVED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",1,2016,Under Construction,37.0,37.7791590987,-122.406826
9933,,1066 MARKET ST,350003,2014-06-18,PL FILED,,,2014-06-18,2014-06-18,2014-06-18,2014-06-18,PL FILED,"('2014-06-18', '2014-06-18')",0.0,"('PL FILED', 'PL FILED')",1,2015,Proposed,304.0,37.7817990077,-122.41174159
15321,,3551 PIERCE ST,0441B007,2015-06-25,BP FILED,,,2015-06-25,2015-06-25,2015-06-25,2015-06-25,BP FILED,"('2015-06-25', '2015-06-25', '2015-06-25', '2015-06-25')",0.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",1,2016,Proposed,1.0,37.8033220535,-122.44032800000001
14008,2013-12-11,2538 03RD ST,4172006,2015-05-18,CONSTRUCTION,2014-06-30,,2012-06-28,2012-06-28,2012-09-04,2015-05-18,CONSTRUCTION,"('2012-06-28', '2012-09-04', '2012-09-04', '2012-10-26', '2012-10-26', '2012-10-26', '2013-12-11', '2013-12-11', '2014-06-30', '2014-08-07', '2015-04-01', '2015-05-18', '2015-05-18', '2015-05-18', '2015-05-18')",1054.0,"('PL FILED', 'BP FILED', 'BP FILED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",4,2015,Under Construction,1.0,37.7573913578,-122.38856341299999
3424,2011-03-17,134 ORD ST,2657004,2013-03-12,CONSTRUCTION,2012-07-11,200907142604,2009-07-14 07:00:00,2011-03-17,2009-07-14,2013-03-12,CONSTRUCTION,"('2011-03-17', '2012-07-11', '2012-10-05', '2012-10-05', '2013-03-12')",726.0,"('BP REINSTATED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",1,2013,Under Construction,1.0,37.7615761,-122.4401327
14442,2015-07-17,340 BRYANT ST,3764061,2015-07-17,BP ISSUED,,,2013-11-01,2015-07-17,2013-11-01,2015-07-17,BP ISSUED,"('2015-07-17', '2015-07-17')",0.0,"('BP ISSUED', 'BP ISSUED')",4,2015,Building Permit Approved,0.0,37.7842271987,-122.392696464
4246,2011-06-06,466 SANCHEZ ST,3581012,2013-05-20,CONSTRUCTION,2012-10-16,200901230745,2009-01-23 08:00:00,2011-06-06,2009-01-23,2013-05-20,CONSTRUCTION,"('2011-06-06', '2011-06-06', '2012-10-16', '2012-11-02', '2013-02-27', '2013-05-20')",714.0,"('BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",2,2013,Under Construction,1.0,37.761635,-122.43078899999999
14545,,1050 GILMAN AV,4937006A,2015-12-02,BP FILED,,,2015-12-02,2015-12-02,2015-12-02,2015-12-02,BP FILED,"('2015-12-02', '2015-12-02')",0.0,"('BP FILED', 'BP FILED')",1,2016,Proposed,1.0,37.7190448298,-122.38903700000002
10538,,2353 - 2347 LOMBARD ST,512026,2015-05-21,CONSTRUCTION,2015-05-21,,,2015-05-21,,2015-05-21,CONSTRUCTION,"('2015-05-21',)",0.0,"('CONSTRUCTION',)",1,2015,Under Construction,21.0,37.7990754072,-122.43993003899999
13969,,230 DUNCAN ST,6593006,2008-02-05,CONSTRUCTION,2008-02-05,,2006-02-07 08:00:00,2008-02-05,2006-02-07,2008-02-05,CONSTRUCTION,"('2008-02-05', '2008-02-05', '2008-02-05', '2008-02-05', '2008-02-05', '2008-02-05', '2008-02-05', '2008-02-05', '2008-02-05', '2008-02-05', '2008-02-05', '2008-02-05', '2008-02-05', '2008-02-05', '2008-02-05', '2008-02-05')",0.0,"('CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",4,2015,Under Construction,1.0,37.7464244624,-122.425559623
15145,2016-03-21,2601 VAN NESS AV,0522002A,2016-03-21,BP APPROVED,,,2013-08-28,2013-08-28,2013-08-28,2016-03-21,BP APPROVED,"('2013-08-28', '2013-08-28', '2013-08-28', '2014-05-13', '2014-05-13', '2014-05-13', '2014-05-13', '2014-05-13', '2014-05-13', '2014-06-26', '2016-03-21')",936.0,"('PL FILED', 'PL FILED', 'PL FILED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'BP APPROVED')",1,2016,Building Permit Approved,26.0,37.7996624898,-122.424617
15515,2015-09-22,56 ROCKWOOD CT,2936A026,2016-03-25,CONSTRUCTION,2016-03-25,,2015-05-01,2015-05-01,2015-05-01,2016-03-25,CONSTRUCTION,"('2015-05-01', '2015-09-22', '2015-09-22', '2016-03-25')",329.0,"('BP FILED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION')",1,2016,Under Construction,1.0,37.7431467256,-122.457536
14762,,1460 PAGE ST,1222014,2015-12-21,BP FILED,,,2015-12-21,2015-12-21,2015-12-21,2015-12-21,BP FILED,"('2015-12-21', '2015-12-21')",0.0,"('BP FILED', 'BP FILED')",1,2016,Proposed,1.0,37.7715099132,-122.44490400000001
15764,2016-03-09,981 MISSION ST,3725078,2016-03-09,BP ISSUED,,,2015-10-14,2016-03-09,2015-10-14,2016-03-09,BP ISSUED,"('2016-03-09',)",0.0,"('BP ISSUED',)",1,2016,Building Permit Approved,0.0,37.7811462421,-122.40788300000001
9061,2012-08-27,240 05TH ST,3732150,2012-08-27,BP ISSUED,,,2012-03-19,2012-03-19,,2012-08-27,BP ISSUED,"('2012-03-19', '2012-03-19', '2012-08-27', '2012-08-27', '2012-08-27', '2012-08-27', '2012-08-27', '2012-08-27', '2012-08-27', '2012-08-27', '2012-08-27', '2012-08-27')",161.0,"('BP FILED', 'BP FILED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED')",4,2014,Building Permit Approved,182.0,37.7809568,-122.4042771
15688,2012-09-06,827 NORTH POINT ST,0026030,2014-06-03,CONSTRUCTION,2013-06-12,,2011-11-07,2011-11-07,2011-11-07,2014-06-03,CONSTRUCTION,"('2011-11-07', '2011-11-07', '2012-09-06', '2012-09-06', '2013-06-12', '2013-08-30', '2013-11-20', '2013-11-20', '2014-06-03', '2014-06-03', '2014-06-03', '2014-06-03', '2014-06-03', '2014-06-03')",939.0,"('BP FILED', 'BP FILED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",1,2016,Under Construction,3.0,37.805369032,-122.42087
14788,,1973 GREENWICH ST,0518029,2015-07-17,BP FILED,,,2015-07-17,2015-07-17,2015-07-17,2015-07-17,BP FILED,"('2015-07-17', '2015-07-17', '2015-07-17')",0.0,"('BP FILED', 'BP FILED', 'BP FILED')",1,2016,Proposed,2.0,37.7990596296,-122.432024
5879,,622 27TH AV,1569031,2012-05-10,PL APPROVED,,,2010-08-02,2010-08-02,2010-08-02,2012-05-10,PL APPROVED,"('2010-08-02', '2012-05-10', '2012-05-10', '2012-05-10', '2012-05-10', '2012-05-10', '2012-05-10', '2012-05-10')",647.0,"('PL FILED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED')",4,2013,Proposed,1.0,37.777598,-122.486377
3123,,4227 LINCOLN WY,1707047,2008-03-25,CONSTRUCTION,2008-03-25,200306207365,2003-06-20 07:00:00,2008-03-25,2003-06-20,2008-03-25,CONSTRUCTION,"('2008-03-25', '2008-03-25', '2008-03-25', '2008-03-25', '2008-03-25')",0.0,"('CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",1,2013,Under Construction,1.0,37.764167,-122.503298
14991,2013-05-29,201 FOLSOM ST,3746001,2016-03-17,CONSTRUCTION,2014-06-13,,2002-07-11,2012-07-12,2002-07-11,2016-03-17,CONSTRUCTION,"('2012-07-12', '2012-07-12', '2012-07-12', '2013-05-29', '2013-05-29', '2013-05-29', '2013-05-29', '2014-06-13', '2014-09-30', '2015-03-30', '2015-06-02', '2015-09-24', '2016-01-06', '2016-03-17')",1344.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",1,2016,Under Construction,285.0,37.788413026,-122.391516
14889,,161 UNIVERSITY ST,5934026,2014-12-12,BP FILED,,,2014-12-12,2014-12-12,2014-12-12,2014-12-12,BP FILED,"('2014-12-12', '2014-12-12', '2014-12-12', '2014-12-12', '2014-12-12', '2014-12-12')",0.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",1,2016,Proposed,1.0,37.7279663657,-122.41435200000001
15714,,891 CAROLINA ST,4097027,2014-02-11,BP FILED,,,2014-02-11,2014-02-11,2014-02-11,2014-02-11,BP FILED,"('2014-02-11', '2014-02-11', '2014-02-11', '2014-02-11', '2014-02-11', '2014-02-11', '2014-02-11', '2014-02-11', '2014-02-11')",0.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",1,2016,Proposed,1.0,37.757451461900004,-122.399615
15191,,2829 25TH ST,4276028,2015-04-22,BP FILED,,,2015-04-22,2015-04-22,2015-04-22,2015-04-22,BP FILED,"('2015-04-22', '2015-04-22', '2015-04-22', '2015-04-22')",0.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",1,2016,Proposed,4.0,37.7510550184,-122.40670700000001
2216,,890 GROVE ST,797019,,PL APPROVED,2014-05-27,,2010-02-16,2014-05-27,2010-02-16,,PL APPROVED,"('2014-05-27', '2014-05-27', nan)",,"('CONSTRUCTION', 'CONSTRUCTION', 'PL APPROVED')",3,2012,Proposed,1.0,-122.431228,37.776981
13541,2013-01-25,201 FRIEDELL ST,4591C094,2015-12-04,CONSTRUCTION,2014-05-19,,2009-12-22,2013-01-25,2009-12-22,2015-12-04,CONSTRUCTION,"('2013-01-25', '2013-01-25', '2013-01-25', '2014-05-19', '2014-09-25', '2015-03-13', '2015-05-05', '2015-06-29', '2015-10-14', '2015-12-04')",1043.0,"('BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",4,2015,Under Construction,12.0,37.7281384033,-122.369772516
15811,,55 LAGUNA ST (REMAINING),0857007,2015-07-06,BP FILED,,,2006-10-31,2015-07-06,2006-10-31,2015-07-06,BP FILED,"('2015-07-06',)",0.0,"('BP FILED',)",1,2016,Proposed,64.0,37.771697121,-122.426147
3106,,766 38TH AV,1607017A,2006-10-13,BP FILED,,200610134985,2006-10-13,2006-10-13,2006-10-13,2006-10-13,BP FILED,"('2006-10-13', '2006-10-13', '2006-10-13', '2006-10-13')",0.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",1,2013,Proposed,1.0,37.774494,-122.498116
15043,,2181 09TH AV,2860004,2015-03-19,BP FILED,,,2015-03-19,2015-03-19,2015-03-19,2015-03-19,BP FILED,"('2015-03-19', '2015-03-19', '2015-03-19', '2015-03-19', '2015-03-19')",0.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",1,2016,Proposed,1.0,37.748247936300004,-122.465296
15767,,990 GUERRERO ST,3618071,2012-03-07,CONSTRUCTION,2012-03-01,,2010-02-03 08:00:00,2012-03-01,2010-02-03,2012-03-07,CONSTRUCTION,"('2012-03-01', '2012-03-07', '2012-03-07', '2012-03-07', '2012-03-07', '2012-03-07', '2012-03-07', '2012-03-07', '2012-03-07', '2012-03-07', '2012-03-07', '2012-03-07', '2012-03-07', '2012-03-07', '2012-03-07', '2012-03-07', '2012-03-07')",6.0,"('CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",1,2016,Under Construction,1.0,37.755363788000004,-122.423547
15135,,2536 PACHECO ST,2105030,2015-04-21,BP FILED,,,2015-04-21,2015-04-21,2015-04-21,2015-04-21,BP FILED,"('2015-04-21', '2015-04-21', '2015-04-21', '2015-04-21')",0.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",1,2016,Proposed,1.0,37.7502213295,-122.487605
14384,,1441-1443 OCEAN AV,6941059,2015-12-23,PL APPROVED,,,2015-10-29,2015-12-23,2015-10-29,2015-12-23,PL APPROVED,"('2015-12-23',)",0.0,"('PL APPROVED',)",4,2015,Proposed,0.0,37.7239991836,-122.45793987200001
13103,,3339 ANZA ST,1567032,2014-07-21,BP FILED,,,2014-07-21,2014-07-21,2014-07-21,2014-07-21,BP FILED,"('2014-07-21', '2014-07-21', '2014-07-21', '2014-07-21', '2014-07-21')",0.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",3,2015,Proposed,1.0,37.7779327724,-122.484241447
15392,,423 28TH ST,6612044,2015-04-06,BP FILED,,,2015-04-06,2015-04-06,2015-04-06,2015-04-06,BP FILED,"('2015-04-06', '2015-04-06', '2015-04-06', '2015-04-06')",0.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",1,2016,Proposed,1.0,37.7447452909,-122.43186200000001
14648,2011-10-25,1225 DOLORES ST,6534029,2015-04-03,BP ISSUED,,,2007-03-30 07:00:00,2011-10-25,2007-03-30,2015-04-03,BP ISSUED,"('2011-10-25', '2011-10-25', '2011-10-25', '2011-10-25', '2011-10-25', '2011-10-25', '2013-07-24', '2013-07-24', '2013-07-24', '2013-07-24', '2013-07-24', '2013-07-24', '2015-04-03', '2015-04-03', '2015-04-03', '2015-04-03', '2015-04-03')",1256.0,"('BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED')",1,2016,Building Permit Approved,3.0,37.7498370308,-122.42454
1595,,205 FRANKLIN ST,816003,2012-10-10,CONSTRUCTION,2012-10-10,2.01004E+11,2010-04-13,2012-10-10,2010-04-13,2012-10-10,CONSTRUCTION,"('2012-10-10',)",0.0,"('CONSTRUCTION',)",3,2012,Under Construction,0.0,-122.42127099999999,37.776253000000004
13897,2014-08-20,778 VALLEJO ST,0130020,2015-10-22,CONSTRUCTION,2015-03-27,,2013-11-05,2013-11-05,2013-11-05,2015-10-22,CONSTRUCTION,"('2013-11-05', '2013-11-05', '2014-08-20', '2015-03-27', '2015-06-15', '2015-10-22', '2015-10-22')",716.0,"('BP FILED', 'BP FILED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",4,2015,Under Construction,1.0,37.7986075252,-122.410102329
14775,,15 JOY ST,5577005,2015-06-22,BP FILED,,,2015-06-22,2015-06-22,2015-06-22,2015-06-22,BP FILED,"('2015-06-22', '2015-06-22', '2015-06-22', '2015-06-22')",0.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",1,2016,Proposed,1.0,37.743659111,-122.406896
15762,,98 PENNSYLVANIA AV,3948002,2014-06-05,PL FILED,,,2013-04-25,2014-06-05,2013-04-25,2014-06-05,PL FILED,"('2014-06-05', '2014-06-05')",0.0,"('PL FILED', 'PL FILED')",1,2016,Proposed,45.0,37.765561807,-122.394221
15049,,2201 MARKET ST,3559001,2014-06-09,PL FILED,,,2014-06-09,2014-06-09,2014-06-09,2014-06-09,PL FILED,"('2014-06-09', '2014-06-09')",0.0,"('PL FILED', 'PL FILED')",1,2016,Proposed,9.0,37.765360259299996,-122.43119399999999
15553,,600 VAN NESS AV,3763009,2015-09-24,PL FILED,,,2015-09-24,2015-09-24,2015-09-24,2015-09-24,PL FILED,"('2015-09-24',)",0.0,"('PL FILED',)",1,2016,Proposed,150.0,37.7828088662,-122.394354
15065,,225 17TH AV,1416003,2014-03-26,BP FILED,,,2014-03-26,2014-03-26,2014-03-26,2014-03-26,BP FILED,"('2014-03-26', '2014-03-26', '2014-03-26', '2014-03-26', '2014-03-26', '2014-03-26', '2014-03-26', '2014-03-26', '2014-03-26')",0.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",1,2016,Proposed,1.0,37.7837830708,-122.47673400000001
14734,,1400 07TH ST,3833001,2016-03-03,CONSTRUCTION,2016-03-03,,2000-05-18,2016-03-03,2000-05-18,2016-03-03,CONSTRUCTION,"('2016-03-03',)",0.0,"('CONSTRUCTION',)",1,2016,Under Construction,65.0,37.7671083415,-122.39659499999999
15163,2011-06-06,268 MADISON ST,5943008,2014-01-08,CONSTRUCTION,2013-07-25,,2007-11-07 08:00:00,2011-06-06,2007-11-07,2014-01-08,CONSTRUCTION,"('2011-06-06', '2011-06-06', '2011-06-06', '2011-06-06', '2011-06-06', '2011-06-06', '2013-07-25', '2013-09-13', '2014-01-08', '2014-01-08', '2014-01-08', '2014-01-08', '2014-01-08', '2014-01-08', '2014-01-08', '2014-01-08', '2014-01-08')",947.0,"('BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",1,2016,Under Construction,1.0,37.7257224458,-122.422804
15380,,4152 24TH ST,2831013,2016-03-25,BP FILED,,,2016-03-25,2016-03-25,2016-03-25,2016-03-25,BP FILED,"('2016-03-25',)",0.0,"('BP FILED',)",1,2016,Proposed,5.0,37.751467164699996,-122.43531000000002
15109,,2419 2421 & 2435 LOMBARD ST,0937028,2012-04-13,BP FILED,,,2012-04-13,2012-04-13,2012-04-13,2012-04-13,BP FILED,"('2012-04-13', '2012-04-13', '2012-04-13', '2012-04-13', '2012-04-13')",0.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",1,2016,Proposed,8.0,37.7988614311,-122.441503
15444,,474 11TH AV,1534026,2008-03-10,BP FILED,,,2008-03-10,2008-03-10,2008-03-10,2008-03-10,BP FILED,"('2008-03-10', '2008-03-10', '2008-03-10', '2008-03-10', '2008-03-10', '2008-03-10', '2008-03-10', '2008-03-10', '2008-03-10', '2008-03-10', '2008-03-10', '2008-03-10', '2008-03-10', '2008-03-10', '2008-03-10', '2008-03-10', '2008-03-10')",0.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",1,2016,Proposed,1.0,37.7793527786,-122.469202
14247,,1340 ALABAMA ST,4271008,2015-11-24,CONSTRUCTION,2014-03-12,,2013-12-13,2013-12-13,2013-12-13,2015-11-24,CONSTRUCTION,"('2013-12-13', '2014-03-12', '2014-03-12', '2014-03-12', '2014-03-12', '2014-03-12', '2014-03-12', '2014-03-12', '2015-11-24')",711.0,"('BP FILED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",4,2015,Under Construction,1.0,37.7502255371,-122.41100541200001
13567,2015-06-29,52 INNES CT,4591C082,2015-12-11,CONSTRUCTION,2015-10-20,,2014-12-05,2014-12-05,2014-12-05,2015-12-11,CONSTRUCTION,"('2014-12-05', '2014-12-05', '2015-06-29', '2015-10-20', '2015-12-11')",371.0,"('BP FILED', 'BP FILED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION')",4,2015,Under Construction,8.0,37.7276887999,-122.36746942299999
1295,,2255-2257 PINE ST,0660027,2011-02-01,CONSTRUCTION,2011-02-01,,2007-03-09 08:00:00,2011-02-01,2007-03-09 00:00:00,2011-02-01,CONSTRUCTION,"('2011-02-01', '2011-02-01')",0.0,"('CONSTRUCTION', 'CONSTRUCTION')",2,2012,Under Construction,1.0,37.787664,-122.432878
12336,,265 SHIPLEY STREET,3753089,2014-08-15,PL FILED,,,2014-08-15,2014-08-15,2014-08-15,2014-08-15,PL FILED,"('2014-08-15', '2014-08-15', '2014-08-15', '2014-08-15', '2014-08-15')",0.0,"('PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED')",3,2015,Proposed,9.0,37.7786482969,-122.40406305
