,BP_date,address,apn,best_date,best_stat,comp_date,con_date,dbi_permit,first_date,first_project_record_date,firstfiled,latest_project_record_date,latest_project_status,project_dates,project_duration_days,project_statuses,report_quarter,report_year,status,units,unitsnet,x,y,zoning,zoning_simplified
11716,2012-07-23,4141 23RD ST,2804041,2013-12-05,CONSTRUCTION,01/01/2016,2012-12-06,201112160822,2011-12-16,2011-12-16,2011-12-16,2013-12-05,CONSTRUCTION,"('2011-12-16', '2011-12-16', '2012-07-23', '2012-07-23', '2012-12-06', '2013-04-03', '2013-04-03', '2013-04-03', '2013-12-05', '2013-12-05', '2013-12-05', '2013-12-05', '2013-12-05', '2013-12-05', '2013-12-05', '2013-12-05', '2013-12-05')",1477.0,"('BP FILED', 'BP FILED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",4,2015,Under Construction,2.0,1.0,-122.435100016,37.75259689,RH-2,RH-2
16409,,4267 23RD ST,2805036,2011-07-11,BP FILED,,,201107119929,2011-07-11,2011-07-11,2011-07-11,2011-07-11,BP FILED,"('2011-07-11', '2011-07-11', '2011-07-11', '2011-07-11', '2011-07-11', '2011-07-11', '2011-07-11', '2011-07-11', '2011-07-11', '2011-07-11', '2011-07-11', '2011-07-11', '2011-07-11', '2011-07-11', '2011-07-11', '2011-07-11', '2011-07-11', '2011-07-11', '2011-07-11')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",1,2016,Proposed,2.0,1.0,-122.43793799999999,37.752425029499996,RH-2,RH-2
2250,2015-08-06,429 GRAND VIEW AV,2807040,2015-08-06,BP ISSUED,,,201311192313,2013-10-21,2013-12-06,2013-10-21,2015-08-06,BP ISSUED,"('2013-12-06', '2013-12-06', '2013-12-06', '2013-12-06', '2014-10-16', '2014-10-16', '2014-10-16', '2014-10-16', '2014-10-16', '2014-10-16', '2015-08-06', '2015-08-06', '2015-08-06', '2015-08-06', '2015-08-06')",,"('PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED')",2,2017,Building Permit Approved,2.0,1.0,,,RM-1,RM-1
30475,,11 CASTENADA AV,2819036,2008-09-05,CONSTRUCTION,10/01/2009,2008-09-05,200104277839,2001-04-27,2008-09-05,2001-04-27,2008-09-05,CONSTRUCTION,"('2008-09-05',)",3079.0,"('CONSTRUCTION',)",3,2009,Under Construction,1.0,1.0,-122.461955,37.750871000000004,RH-1(D),RH-1(D)
15833,2008-05-02,83 PANORAMA DR,2821010,2015-03-17,CONSTRUCTION,04/01/2016,2014-09-23,200711077576,2007-11-07,2008-05-02,2007-11-07,2015-03-17,CONSTRUCTION,"('2008-05-02', '2008-05-02', '2008-05-02', '2010-06-03', '2010-06-03', '2010-06-03', '2010-06-03', '2010-06-03', '2010-06-03', '2011-12-21', '2012-03-02', '2012-03-02', '2012-03-02', '2012-03-02', '2012-03-02', '2012-03-02', '2012-03-02', '2012-03-02', '2012-03-02', '2014-04-04', '2014-09-23', '2015-03-17', '2015-03-17', '2015-03-17', '2015-03-17', '2015-03-17')",3068.0,"('BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP REINSTATED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",1,2016,Under Construction,1.0,1.0,-122.45095800000001,37.7468757324,RH-1,RH-1
11539,2010-05-26,1240 TWIN PEAKS BL,2821021,2010-05-26,BP APPROVED,,,200810224853,2008-10-22,2008-10-22,2008-10-22,2010-05-26,BP APPROVED,"('2008-10-22', '2008-10-22', '2008-10-22', '2010-05-26', '2010-05-26', '2010-05-26', '2010-05-26', '2010-05-26', '2010-05-26', '2010-05-26', '2010-05-26', '2010-05-26', '2010-05-26', '2010-05-26', '2010-05-26', '2010-05-26', '2010-05-26', '2010-05-26', '2010-05-26', '2010-05-26', '2010-05-26', '2010-05-26', '2010-05-26', '2010-05-26', '2010-05-26', '2010-05-26')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED')",4,2015,Building Permit Approved,1.0,1.0,-122.45070812700001,37.7464455024,RH-1,RH-1
1963,2010-05-26,1230 TWIN PEAKS BL,2821022,2010-05-26,BP APPROVED,,,200810224855,2008-10-22,2008-10-22,2008-10-22,2010-05-26,BP APPROVED,"('2008-10-22', '2008-10-22', '2008-10-22', '2010-05-26', '2010-05-26', '2010-05-26', '2010-05-26', '2010-05-26', '2010-05-26', '2010-05-26', '2010-05-26', '2010-05-26', '2010-05-26', '2010-05-26', '2010-05-26', '2010-05-26', '2010-05-26', '2010-05-26', '2010-05-26', '2010-05-26', '2010-05-26', '2010-05-26', '2010-05-26', '2010-05-26', '2010-05-26', '2010-05-26', '2010-05-26', '2010-05-26', '2010-05-26', '2010-05-26', '2010-05-26', '2010-05-26')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED')",2,2017,Building Permit Approved,1.0,1.0,,,RH-1,RH-1
4731,2012-03-02,83 PANORAMA DR,2821023,2015-03-17,CONSTRUCTION,07/01/2015,2014-09-23,200711077576,2007-11-07,2012-03-02,2007-11-07,2015-03-17,CONSTRUCTION,"('2012-03-02', '2012-03-02', '2012-03-02', '2014-04-04', '2014-09-23', '2015-03-17')",2793.0,"('BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION')",2,2015,Under Construction,1.0,1.0,-122.45098222600001,37.7469380522,RH-1,RH-1
27295,,23 MIDCREST WY,2822022,2008-01-09,BP FILED,,,200801092182,2008-01-09,2008-01-09,2008-01-09,2008-01-09,BP FILED,"('2008-01-09', '2008-01-09', '2008-01-09', '2008-01-09', '2008-01-09', '2008-01-09', '2008-01-09', '2008-01-09', '2008-01-09', '2008-01-09', '2008-01-09')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",1,2012,Proposed,1.0,1.0,-122.449781,37.747355999999996,RH-1,RH-1
2060,2015-03-18,36 KNOLLVIEW WAY,2823A016,2016-04-11,CONSTRUCTION,07/01/2017,2016-04-11,201406037375,2014-07-31,2014-07-31,2014-07-31,2016-04-11,CONSTRUCTION,"('2014-07-31', '2014-07-31', '2014-07-31', '2014-07-31', '2014-07-31', '2014-07-31', '2014-07-31', '2015-03-18', '2016-04-11', '2016-04-11', '2016-04-11', '2016-04-11')",1066.0,"('PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",2,2017,Under Construction,1.0,1.0,,,RH-1,RH-1
2296,2017-07-27,4466 24TH ST,2828016A,2017-07-27,BP ISSUED,,,201603293298,2015-11-03,2015-12-22,2015-11-03,2017-07-27,BP ISSUED,"('2015-12-22', '2016-03-29', '2016-03-29', '2016-03-29', '2016-03-29', '2016-03-29', '2017-07-27')",,"('PL APPROVED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED')",2,2017,Building Permit Approved,2.0,1.0,,,,
7259,2015-02-04,4376 24TH ST,2829010,2017-02-27,CONSTRUCTION,,2015-10-09,201301168071,2013-01-16,2013-01-16,2013-01-16,2017-02-27,CONSTRUCTION,"('2013-01-16', '2013-01-16', '2013-01-16', '2013-01-16', '2013-01-16', '2013-01-16', '2013-01-16', '2015-02-04', '2015-02-04', '2015-02-04', '2015-10-09', '2015-10-09', '2016-02-05', '2016-06-22', '2016-06-22', '2016-06-22', '2017-02-27')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",1,2017,Under Construction,1.0,1.0,-122.440146125,37.7511704114,RH-2,RH-2
25201,2011-11-22,722 DIAMOND ST,2830004,2012-07-10,CONSTRUCTION,10/01/2012,2012-07-10,201012207050,2010-12-20,2010-12-20,2010-12-20,2012-07-10,CONSTRUCTION,"('2010-12-20', '2010-12-20', '2010-12-20', '2010-12-20', '2011-11-22', '2011-11-22', '2012-07-10', '2012-07-10')",651.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION')",3,2012,Under Construction,2.0,1.0,-122.43652379999999,37.7515157,RH-2,RH-2
2262,,4148 24TH ST,2831012,2016-05-26,BP FILED,,,201605268465,2016-05-26,2016-05-26,2016-05-26,2016-05-26,BP FILED,"('2016-05-26', '2016-05-26', '2016-05-26', '2016-05-26', '2016-05-26')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",2,2017,Proposed,2.0,1.0,,,,
1234,,4152 - 4154 - 24TH ST,2831013,2016-04-08,PL FILED,,,,2016-04-04,2016-04-08,2016-04-04,2016-04-08,PL FILED,"('2016-04-08', '2016-04-08', '2016-04-08', '2016-04-08', '2016-04-08')",,"('PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED')",2,2017,Proposed,5.0,4.0,,,,
1332,,4152 24TH ST,2831013,2016-03-25,BP FILED,,,201603253145,2016-03-25,2016-03-25,2016-03-25,2016-03-25,BP FILED,"('2016-03-25', '2016-03-25', '2016-03-25', '2016-03-25', '2016-03-25', '2016-03-25')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",2,2017,Proposed,5.0,4.0,,,,
29682,2013-04-18,70 CRESTLINE DR,2845005,2013-05-15,BP ISSUED,,,200908255545,2008-12-17,2008-12-17,2008-12-17,2013-05-15,BP ISSUED,"('2008-12-17', '2008-12-17', '2008-12-17', '2008-12-17', '2009-08-25', '2009-08-25', '2009-08-25', '2009-08-25', '2009-08-25', '2009-08-25', '2009-08-25', '2009-08-25', '2012-07-05', '2012-07-05', '2013-04-18', '2013-05-15', '2013-05-15', '2013-05-15', '2013-05-15', '2013-05-15', '2013-05-15', '2013-05-15', '2013-05-15', '2013-05-15', '2013-05-15', '2013-05-15', '2013-05-15', '2013-05-15', '2013-05-15', '2013-05-15')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'PL FILED', 'PL FILED', 'BP APPROVED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED')",4,2016,Building Permit Approved,5.0,5.0,-122.445910054,37.7515802796,RM-1,RM-1
1986,2017-09-18,2181 09TH AV,2860004,2017-09-18,BP REINSTATED,,,201503191328,2015-03-19,2015-03-19,2015-03-19,2017-09-18,BP REINSTATED,"('2015-03-19', '2015-03-19', '2015-03-19', '2015-03-19', '2015-03-19', '2015-03-19', '2015-03-19', '2015-03-19', '2015-03-19', '2017-09-18')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP REINSTATED')",2,2017,Building Permit Approved,1.0,1.0,,,,
28831,2013-05-06,160 SAN MARCOS AV,2861011,2014-01-23,CONSTRUCTION,01/01/2017,2013-07-10,200810315629,2008-10-31,2008-10-31,2008-10-31,2014-01-23,CONSTRUCTION,"('2008-10-31', '2008-10-31', '2008-10-31', '2008-10-31', '2008-10-31', '2008-10-31', '2008-10-31', '2008-10-31', '2008-10-31', '2008-10-31', '2008-10-31', '2008-10-31', '2008-10-31', '2008-10-31', '2008-10-31', '2013-05-06', '2013-07-10', '2013-11-21', '2014-01-23', '2014-01-23', '2014-01-23', '2014-01-23', '2014-01-23', '2014-01-23', '2014-01-23', '2014-01-23', '2014-01-23', '2014-01-23', '2014-01-23', '2014-01-23')",2984.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",4,2016,Under Construction,1.0,1.0,-122.46511538899999,37.7470932081,RH-1(D),RH-1(D)
10719,2012-07-25,273 MAGELLAN AV,2864029A,2013-06-11,CONSTRUCTION,07/01/2013,2013-03-27,201110035952,2011-10-03,2011-10-03,2011-10-03,2013-06-11,CONSTRUCTION,"('2011-10-03', '2011-10-03', '2012-07-25', '2012-07-25', '2012-07-25', '2013-03-27', '2013-06-11')",637.0,"('BP FILED', 'BP FILED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION')",2,2013,Under Construction,1.0,1.0,-122.46099199999999,37.746607,RH-1(D),RH-1(D)
1961,,40 DORANTES AV,2880022,2016-09-06,BP FILED,,,201609066826,2016-09-06,2016-09-06,2016-09-06,2016-09-06,BP FILED,"('2016-09-06', '2016-09-06', '2016-09-06', '2016-09-06')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",2,2017,Proposed,1.0,1.0,,,,
24075,2011-11-22,701 PORTOLA DR,2901C001,2012-06-28,CONSTRUCTION,07/01/2012,2012-06-28,201107250987,2007-07-03,2008-12-10,2007-07-03,2012-06-28,CONSTRUCTION,"('2008-12-10', '2008-12-10', '2008-12-10', '2008-12-10', '2008-12-10', '2008-12-10', '2011-01-28', '2011-01-28', '2011-07-25', '2011-11-22', '2011-11-22', '2012-06-28')",1825.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'PL FILED', 'PL FILED', 'BP FILED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION')",2,2012,Under Construction,0.0,0.0,-122.45326000000001,37.744306,NC-1,NC-1
3757,,40 EDGEHILL WY,2923008,2013-06-06,CONSTRUCTION,01/01/2014,2013-06-06,200907203020,2009-07-20,2013-06-06,2009-07-20,2013-06-06,CONSTRUCTION,"('2013-06-06', '2013-06-06')",1626.0,"('CONSTRUCTION', 'CONSTRUCTION')",4,2013,Under Construction,1.0,1.0,-122.45985,37.743389,RH-1(D),RH-1(D)
15016,,112 KENSINGTON WY,2923078,2008-01-23,BP FILED,,,200801233118,2008-01-23,2008-01-23,2008-01-23,2008-01-23,BP FILED,"('2008-01-23', '2008-01-23', '2008-01-23', '2008-01-23', '2008-01-23', '2008-01-23', '2008-01-23', '2008-01-23', '2008-01-23', '2008-01-23', '2008-01-23', '2008-01-23', '2008-01-23', '2008-01-23')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",4,2012,Proposed,1.0,1.0,-122.45995,37.741392,RH-1(D),RH-1(D)
1788,2016-05-11,127 EDGEHILL WY,2933007,2016-05-11,BP ISSUED,,,201405296982,2014-05-29,2014-05-29,2014-05-29,2016-05-11,BP ISSUED,"('2014-05-29', '2014-05-29', '2014-05-29', '2014-05-29', '2014-05-29', '2014-05-29', '2014-05-29', '2014-05-29', '2016-05-11', '2016-05-11', '2016-05-11', '2016-05-11', '2016-05-11')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED')",2,2017,Building Permit Approved,1.0,1.0,,,RH-1(D),RH-1(D)
2108,2009-12-02,69 GARCIA AV,2936A001D,2012-08-20,BP FILED,,,201208207720,2005-07-14,2009-12-02,2005-07-14,2012-08-20,BP FILED,"('2009-12-02', '2009-12-02', '2012-08-20', '2012-08-20', '2012-08-20', '2012-08-20', '2012-08-20', '2012-08-20', '2012-08-20', '2012-08-20', '2012-08-20', '2012-08-20', '2012-08-20', '2012-08-20', '2012-08-20', '2012-08-20', '2012-08-20', '2012-08-20', '2012-08-20', '2012-08-20', '2012-08-20', '2012-08-20')",,"('BP REINSTATED', 'BP REINSTATED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",2,2017,Proposed,1.0,1.0,,,RH-1(D),RH-1(D)
16529,2015-09-22,56 ROCKWOOD CT,2936A026,2016-03-25,CONSTRUCTION,04/01/2016,2016-03-25,201505015186,2015-05-01,2015-05-01,2015-05-01,2016-03-25,CONSTRUCTION,"('2015-05-01', '2015-09-22', '2015-09-22', '2016-03-25')",336.0,"('BP FILED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION')",1,2016,Under Construction,2.0,1.0,-122.457536,37.7431467256,RH-1(D),RH-1(D)
20004,,234 TERESITA BL,2959007,2015-10-16,BP FILED,,,201510169995,2015-10-16,2015-10-16,2015-10-16,2015-10-16,BP FILED,"('2015-10-16', '2015-10-16', '2015-10-16', '2015-10-16')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",3,2016,Proposed,1.0,1.0,-122.450923672,37.7423270867,RH-1(D),RH-1(D)
1504,2017-03-15,256 CASITAS AV,2973A034,2017-03-15,BP ISSUED,,,201704073430,2017-03-15,2017-03-15,,2017-03-15,BP ISSUED,"('2017-03-15', '2017-03-15')",,"('BP ISSUED', 'BP ISSUED')",2,2017,Building Permit Approved,1.0,1.0,,,,
26539,2005-09-08,69 WEST PORTAL AV,2979A019,2005-09-08,BP APPROVED,,,,2005-05-19,2005-09-08,2005-05-19,2005-09-08,BP APPROVED,"('2005-09-08', '2005-09-08', '2005-09-08', '2005-09-08', '2005-09-08')",,"('BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED')",3,2010,Building Permit Approved,0.0,,-122.46643,37.740026,NCD,NCD
12130,,99 WEST PORTAL AV,2979A021A,2013-03-25,CONSTRUCTION,01/01/2016,2013-03-25,201203287036,2008-10-02,2009-05-14,2008-10-02,2013-03-25,CONSTRUCTION,"('2009-05-14', '2009-05-14', '2009-05-14', '2009-05-14', '2009-05-14', '2009-05-14', '2009-05-14', '2009-05-14', '2009-05-14', '2009-05-14', '2009-05-14', '2009-05-14', '2009-05-14', '2009-05-14', '2009-05-14', '2009-05-14', '2009-05-14', '2009-05-14', '2009-05-14', '2013-03-25', '2013-03-25', '2013-03-25', '2013-03-25', '2013-03-25', '2013-03-25', '2013-03-25')",2647.0,"('PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",4,2015,Under Construction,0.0,0.0,-122.466630959,37.739727679299996,NCD,NCD
17386,2013-06-05,15 WEST PORTAL AV,2979A029,2014-08-06,CONSTRUCTION,10/01/2014,2013-09-04,201302250889,2013-02-25,2013-02-25,2013-02-25,2014-08-06,CONSTRUCTION,"('2013-02-25', '2013-06-05', '2013-09-04', '2013-10-25', '2014-01-07', '2014-05-07', '2014-08-06')",583.0,"('BP FILED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",3,2014,Under Construction,0.0,0.0,-122.465753,37.740559000000005,WEST PORTAL,WEST PORTAL
11751,2011-04-06,1325 PORTOLA DR,2987A036,2013-12-20,CONSTRUCTION,01/01/2016,2012-01-04,200609061483,2006-09-06,2006-09-06,2006-09-06,2013-12-20,CONSTRUCTION,"('2006-09-06', '2006-09-06', '2006-09-06', '2006-09-06', '2006-09-06', '2006-09-06', '2006-09-06', '2011-04-06', '2011-04-06', '2012-01-04', '2012-01-04', '2012-01-04', '2012-01-04', '2012-01-04', '2012-01-04', '2012-01-04', '2013-09-16', '2013-12-20', '2013-12-20', '2013-12-20', '2013-12-20', '2013-12-20', '2013-12-20', '2013-12-20', '2013-12-20', '2013-12-20')",3404.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP REINSTATED', 'BP REINSTATED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",4,2015,Under Construction,1.0,1.0,-122.46462499399999,37.7396378536,RH-1(D),RH-1(D)
1517,,400 LANSDALE AV,2993028,2017-05-19,BP FILED,,,201705197200,2017-05-19,2017-05-19,,2017-05-19,BP FILED,"('2017-05-19',)",,"('BP FILED',)",2,2017,Proposed,2.0,1.0,,,,
1756,2013-11-18,287 CRESTA VISTA DR,2993088,2015-04-21,CONSTRUCTION,07/01/2017,2015-04-21,201302069581,2013-02-06,2013-02-06,2013-02-06,2015-04-21,CONSTRUCTION,"('2013-02-06', '2013-02-06', '2013-02-06', '2013-11-18', '2013-11-18', '2013-11-18', '2013-11-18', '2013-11-18', '2015-04-21', '2015-04-21', '2015-04-21', '2015-04-21', '2015-04-21', '2015-04-21', '2015-04-21', '2015-04-21', '2015-04-21')",1606.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",2,2017,Under Construction,1.0,1.0,,,RH-1(D),RH-1(D)
4661,2008-06-23,287 CRESTA VISTA DR,2993090,2015-04-21,CONSTRUCTION,07/01/2015,2015-04-21,201302069581,2007-11-13,2008-06-23,2007-11-13,2015-04-21,CONSTRUCTION,"('2008-06-23', '2008-06-23', '2008-06-23', '2008-06-23', '2008-06-23', '2008-06-23', '2008-06-23', '2008-06-23', '2008-06-23', '2015-04-21')",2787.0,"('BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION')",2,2015,Under Construction,1.0,1.0,-122.45353081,37.735693491599996,RH-1(D),RH-1(D)
30166,,401 MYRA WY,3008035,2004-07-02,BP FILED,,,200407027971,2004-07-02,2004-07-02,2004-07-02,2004-07-02,BP FILED,"('2004-07-02',)",,"('BP FILED',)",3,2009,Proposed,1.0,1.0,-122.45328700000002,37.736969,RH-1,RH-1
27542,2010-06-02,154 MIRALOMA DR,3011047,2011-10-05,CONSTRUCTION,04/01/2012,2011-03-07,200902041396,2009-02-04,2009-02-04,2009-02-04,2011-10-05,CONSTRUCTION,"('2009-02-04', '2009-02-04', '2009-02-04', '2010-06-02', '2010-09-02', '2010-09-02', '2011-03-07', '2011-06-03', '2011-07-01', '2011-10-05', '2011-10-05')",1152.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'BP REINSTATED', 'BP REINSTATED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",1,2012,Under Construction,1.0,1.0,-122.46139699999999,37.736899,RH-1(D),RH-1(D)
14108,2010-10-07,207 LOS PALMOS DR,3027A001,2013-12-13,CONSTRUCTION,07/01/2014,2011-08-24,200805061381,2008-05-06,2008-05-06,2008-05-06,2013-12-13,CONSTRUCTION,"('2008-05-06', '2008-05-06', '2008-05-06', '2008-05-06', '2008-05-06', '2010-10-07', '2010-10-07', '2011-06-27', '2011-08-24', '2011-08-24', '2011-08-24', '2011-08-24', '2011-08-24', '2011-08-24', '2013-02-04', '2013-02-04', '2013-02-04', '2013-12-13', '2013-12-13', '2013-12-13')",2247.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'BP ISSUED', 'BP REINSTATED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",2,2014,Under Construction,3.0,3.0,-122.44909059999999,37.7358847,RH-1,RH-1
